,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.7125,0.45,0.4,0.466666666666667,0.2,0.7,0.266666666666667,0.56,0.758064516129032,0.683673469387755,0.602564102564103,0.817073170731707,0.671428571428571,0.744444444444444
1,0.65,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.670454545454545,0.633928571428571,0.59,0.71,0.627659574468085,0.669811320754717
2,0.69375,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.717647058823529,0.666666666666667,0.709302325581395,0.675675675675676,0.713450292397661,0.671140939597315
3,0.7,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.734177215189873,0.666666666666667,0.682352941176471,0.72,0.707317073170732,0.692307692307692
4,0.65625,0.4,0.409090909090909,0.388888888888889,0.45,0.35,0.428571428571429,0.368421052631579,0.689189189189189,0.627906976744186,0.614457831325301,0.701298701298701,0.64968152866242,0.662576687116564
5,0.725,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.759493670886076,0.691358024691358,0.705882352941177,0.746666666666667,0.731707317073171,0.717948717948718
6,0.71875,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.792452830188679,0.682242990654206,0.552631578947368,0.869047619047619,0.651162790697674,0.764397905759162
7,0.70625,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.777777777777778,0.65979381443299,0.597560975609756,0.82051282051282,0.675862068965517,0.731428571428571
8,0.71875,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.736842105263158,0.702380952380952,0.691358024691358,0.746835443037975,0.713375796178344,0.723926380368098
9,0.66875,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.698630136986301,0.64367816091954,0.621951219512195,0.717948717948718,0.658064516129032,0.678787878787879
mean,0.695,0.4575,0.45647193386323837,0.4518083387201034,0.465,0.4499999999999999,0.4507028781883807,0.4421631748376263,0.7334729045888159,0.6658296293972892,0.6368061352349124,0.7525058814919883,0.6799709529171207,0.7056770538513161
std,0.027290871489688024,0.05898446123062129,0.060834183437824305,0.07038478039134795,0.15101508386765727,0.16832508230603463,0.10036042063724605,0.10346198025273916,0.03962612143728801,0.024854742887553977,0.05556440350133751,0.06238299373274232,0.034504103336218846,0.03549072572505368
min,0.65,0.4,0.4,0.375,0.2,0.3,0.266666666666667,0.333333333333333,0.670454545454545,0.627906976744186,0.552631578947368,0.675675675675676,0.627659574468085,0.662576687116564
25%,0.6749999999999999,0.425,0.416666666666667,0.40294117647058825,0.41250000000000003,0.3125,0.4350649350649355,0.3568111455108357,0.7033843674456081,0.6477070742979025,0.5988117573483427,0.7119871794871795,0.6528882220555136,0.6730526743949561
50%,0.703125,0.45,0.437391304347826,0.4365079365079365,0.5,0.375,0.46785225718194245,0.3997155049786625,0.7355096602265154,0.666666666666667,0.618204525418748,0.7333333333333335,0.673645320197044,0.705128205128205
75%,0.7171875,0.45,0.45979020979021024,0.46607142857142875,0.5375000000000001,0.6,0.48571428571428577,0.5348214285714288,0.759136382196815,0.6833158497043678,0.6891067538126363,0.799513738808274,0.711861115426441,0.7295530236634528
max,0.725,0.575,0.571428571428571,0.6,0.7,0.7,0.622222222222222,0.608695652173913,0.792452830188679,0.702380952380952,0.709302325581395,0.869047619047619,0.731707317073171,0.764397905759162
