train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.75,0.425,0.333333333333333,0.451612903225806,0.15,0.7,0.206896551724138,0.549019607843137,0.740384615384615,0.760416666666667,0.77,0.73,0.754901960784314,0.744897959183674
0.77,0.5,0.5,0,1,0,0.666666666666667,0,0.77,0.77,0.77,0.77,0.77,0.77
0.835,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.845360824742268,0.825242718446602,0.82,0.85,0.83248730964467,0.83743842364532
0.78,0.575,1,0.540540540540541,0.15,1,0.260869565217391,0.701754385964912,0.797872340425532,0.764150943396226,0.75,0.81,0.77319587628866,0.786407766990291
1,0.425,0.451612903225806,0.333333333333333,0.7,0.15,0.549019607843137,0.206896551724138,1,1,1,1,1,1
0.92,0.6,0.833333333333333,0.558823529411765,0.25,0.95,0.384615384615385,0.703703703703704,0.9375,0.903846153846154,0.9,0.94,0.918367346938776,0.92156862745098
0.679166666666667,0.45,0.25,0.472222222222222,0.05,0.85,0.0833333333333333,0.607142857142857,0.683760683760684,0.67479674796748,0.666666666666667,0.691666666666667,0.675105485232067,0.683127572016461
0.83,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.83,0.83,0.83,0.83,0.83,0.83
0.770833333333333,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.768595041322314,0.773109243697479,0.775,0.766666666666667,0.771784232365145,0.769874476987448
0.775,0.5,0,0.5,0,1,0,0.666666666666667,0.777777777777778,0.772277227722772,0.77,0.78,0.773869346733668,0.776119402985075
0.795,0.5,0.5,0.5,0.1,0.9,0.166666666666667,0.642857142857143,0.797979797979798,0.792079207920792,0.79,0.8,0.793969849246231,0.796019900497513
0.83,0.4,0.166666666666667,0.441176470588235,0.05,0.75,0.0769230769230769,0.555555555555556,0.817307692307692,0.84375,0.85,0.81,0.833333333333333,0.826530612244898
