,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.78125,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.788235294117647,0.773333333333333,0.797619047619048,0.763157894736842,0.792899408284024,0.768211920529801
1,0.765,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.762376237623762,0.767676767676768,0.77,0.76,0.766169154228856,0.763819095477387
2,0.79375,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.8,0.7875,0.790123456790123,0.79746835443038,0.795031055900621,0.792452830188679
3,0.7375,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.743589743589744,0.731707317073171,0.725,0.75,0.734177215189873,0.740740740740741
4,0.75625,0.375,0.391304347826087,0.352941176470588,0.45,0.3,0.418604651162791,0.324324324324324,0.788732394366197,0.730337078651685,0.7,0.8125,0.741721854304636,0.769230769230769
5,0.79375,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.7625,0.825,0.813333333333333,0.776470588235294,0.787096774193548,0.8
6,0.775,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.775,0.775,0.775,0.775,0.775,0.775
7,0.7625,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.774647887323944,0.752808988764045,0.714285714285714,0.807228915662651,0.743243243243243,0.77906976744186
8,0.7875,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.821917808219178,0.758620689655172,0.740740740740741,0.835443037974684,0.779220779220779,0.795180722891566
9,0.7625,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.772727272727273,0.75531914893617,0.689189189189189,0.825581395348837,0.728571428571428,0.788888888888889
mean,0.7715,0.4625,0.46248039678622516,0.46182650346467824,0.53,0.395,0.4906776070330814,0.42085260742120695,0.7789726637967745,0.7657303324090343,0.7515291481958147,0.7902850186388688,0.7643130913137008,0.7772594735389693
std,0.018093123310006776,0.04750730937913075,0.045902523760934094,0.052748045092278824,0.12952906151816965,0.07975657409336934,0.07989456732964231,0.04985363362052128,0.021958836930244217,0.02762945642482086,0.0435563395661011,0.02947258328526082,0.025297565078381785,0.0178678681511006
min,0.7375,0.375,0.388888888888889,0.352941176470588,0.35,0.3,0.368421052631579,0.324324324324324,0.743589743589744,0.730337078651685,0.689189189189189,0.75,0.728571428571428,0.740740740740741
25%,0.7625,0.4375,0.4334365325077397,0.4380952380952385,0.41250000000000003,0.35,0.42206159648020125,0.40294117647058825,0.7650568181818183,0.7534365288070762,0.7169642857142855,0.7661184210526315,0.7421022015392877,0.768466632705043
50%,0.77,0.475,0.4772256728778465,0.47213622291021695,0.525,0.375,0.499716392512762,0.42640692640692646,0.7748239436619719,0.7631487286659699,0.7553703703703705,0.786969471332837,0.770584577114428,0.77703488372093
75%,0.7859375,0.49375,0.495,0.49456521739130427,0.6375,0.45,0.5572463768115943,0.4373764007910345,0.7886081193040595,0.7745833333333333,0.7863425925925922,0.8111822289156627,0.7851277754503557,0.7915618448637315
max,0.79375,0.525,0.518518518518518,0.538461538461538,0.7,0.55,0.595744680851064,0.511627906976744,0.821917808219178,0.825,0.813333333333333,0.835443037974684,0.795031055900621,0.8
