train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.735,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.747368421052632,0.723809523809524,0.71,0.76,0.728205128205128,0.741463414634146
0.775,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.789473684210526,0.761904761904762,0.75,0.8,0.769230769230769,0.780487804878049
0.845,0.525,0.514285714285714,0.6,0.9,0.15,0.654545454545455,0.24,0.848484848484849,0.841584158415842,0.84,0.85,0.844221105527638,0.845771144278607
0.83,0.575,0.545454545454545,0.714285714285714,0.9,0.25,0.679245283018868,0.37037037037037,0.78448275862069,0.892857142857143,0.91,0.75,0.842592592592593,0.815217391304348
1,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,1,1,1,1,1,1
0.945,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.94949494949495,0.940594059405941,0.94,0.95,0.944723618090452,0.945273631840796
0.725,0.5,0.5,0,1,0,0.666666666666667,0,0.721311475409836,0.728813559322034,0.733333333333333,0.716666666666667,0.727272727272727,0.722689075630252
0.8,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.788461538461538,0.8125,0.82,0.78,0.803921568627451,0.795918367346939
0.704166666666667,0.4,0.4375,0.25,0.7,0.1,0.538461538461538,0.142857142857143,0.696,0.71304347826087,0.725,0.683333333333333,0.710204081632653,0.697872340425532
0.84,0.5,0,0.5,0,1,0,0.666666666666667,0.846938775510204,0.833333333333333,0.83,0.85,0.838383838383838,0.841584158415842
0.785,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.813186813186813,0.761467889908257,0.74,0.83,0.774869109947644,0.794258373205742
0.825,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.821782178217822,0.828282828282828,0.83,0.82,0.825870646766169,0.824120603015075
0.82,0.5,0.5,0,1,0,0.666666666666667,0,0.807692307692308,0.833333333333333,0.84,0.8,0.823529411764706,0.816326530612245
0.915,0.5,0.5,0,1,0,0.666666666666667,0,0.927835051546392,0.902912621359223,0.9,0.93,0.913705583756345,0.916256157635468
0.85,0.425,0.448275862068966,0.363636363636364,0.65,0.2,0.530612244897959,0.258064516129032,0.843137254901961,0.857142857142857,0.86,0.84,0.851485148514851,0.848484848484849
0.785,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.776699029126214,0.793814432989691,0.8,0.77,0.788177339901478,0.781725888324873
0.795,0.4,0.333333333333333,0.428571428571429,0.2,0.6,0.25,0.5,0.786407766990291,0.804123711340206,0.81,0.78,0.798029556650246,0.791878172588833
0.825,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.835051546391753,0.815533980582524,0.81,0.84,0.822335025380711,0.827586206896552
0.79,0.45,0.333333333333333,0.470588235294118,0.1,0.8,0.153846153846154,0.592592592592593,0.808510638297872,0.773584905660377,0.76,0.82,0.783505154639175,0.796116504854369
0.755,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.774193548387097,0.738317757009346,0.72,0.79,0.746113989637306,0.763285024154589
0.78,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.769230769230769,0.791666666666667,0.8,0.76,0.784313725490196,0.775510204081633
0.765,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.71900826446281,0.835443037974684,0.87,0.66,0.787330316742081,0.737430167597765
0.835,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.852631578947368,0.819047619047619,0.81,0.86,0.830769230769231,0.839024390243902
0.805,0.45,0,0.473684210526316,0,0.9,0,0.620689655172414,0.814432989690722,0.796116504854369,0.79,0.82,0.802030456852792,0.807881773399015
0.755,0.5,0,0.5,0,1,0,0.666666666666667,0.774193548387097,0.738317757009346,0.72,0.79,0.746113989637306,0.763285024154589
0.985,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.970873786407767,1,1,0.97,0.985221674876847,0.984771573604061
0.75,0.6,0.666666666666667,0.571428571428571,0.4,0.8,0.5,0.666666666666667,0.790697674418605,0.719298245614035,0.68,0.82,0.731182795698925,0.766355140186916
0.825,0.45,0.25,0.472222222222222,0.05,0.85,0.0833333333333333,0.607142857142857,0.798165137614679,0.857142857142857,0.87,0.78,0.832535885167464,0.816753926701571
0.845,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.855670103092783,0.83495145631068,0.83,0.86,0.842639593908629,0.847290640394089
0.815,0.5,0.5,0,1,0,0.666666666666667,0,0.794392523364486,0.838709677419355,0.85,0.78,0.821256038647343,0.808290155440415
0.855,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.838095238095238,0.873684210526316,0.88,0.83,0.858536585365854,0.851282051282051
0.82,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.82,0.82,0.82,0.82,0.82,0.82
0.675,0.5,0.5,0,1,0,0.666666666666667,0,0.692307692307692,0.660550458715596,0.63,0.72,0.659685863874346,0.688995215311005
0.81,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.798076923076923,0.822916666666667,0.83,0.79,0.813725490196079,0.806122448979592
0.86,0.575,0.540540540540541,1,1,0.15,0.701754385964912,0.260869565217391,0.839622641509434,0.882978723404255,0.89,0.83,0.864077669902913,0.855670103092783
0.785,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.776699029126214,0.793814432989691,0.8,0.77,0.788177339901478,0.781725888324873
0.845,0.525,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915,0.841584158415842,0.848484848484849,0.85,0.84,0.845771144278607,0.844221105527638
