train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.725,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.718446601941748,0.731958762886598,0.74,0.71,0.729064039408867,0.720812182741117
0.77,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.78125,0.759615384615385,0.75,0.79,0.76530612244898,0.774509803921569
0.85,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.843137254901961,0.857142857142857,0.86,0.84,0.851485148514851,0.848484848484849
0.805,0.375,0.368421052631579,0.380952380952381,0.35,0.4,0.358974358974359,0.390243902439024,0.774774774774775,0.842696629213483,0.86,0.75,0.815165876777251,0.793650793650793
1,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,1,1,1,1,1,1
0.965,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.942857142857143,0.989473684210526,0.99,0.94,0.965853658536585,0.964102564102564
0.75,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.734375,0.767857142857143,0.783333333333333,0.716666666666667,0.758064516129032,0.741379310344828
0.765,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.778947368421053,0.752380952380952,0.74,0.79,0.758974358974359,0.770731707317073
0.7375,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.766355140186916,0.714285714285714,0.683333333333333,0.791666666666667,0.722466960352423,0.75098814229249
0.8,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.826086956521739,0.777777777777778,0.76,0.84,0.791666666666667,0.807692307692308
0.76,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.76530612244898,0.754901960784314,0.75,0.77,0.757575757575757,0.762376237623762
0.82,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.813725490196078,0.826530612244898,0.83,0.81,0.821782178217822,0.818181818181818
0.825,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,0.842105263157895,0.80952380952381,0.8,0.85,0.82051282051282,0.829268292682927
0.87,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.87,0.87,0.87,0.87,0.87,0.87
0.775,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.777777777777778,0.772277227722772,0.77,0.78,0.773869346733668,0.776119402985075
0.815,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.794392523364486,0.838709677419355,0.85,0.78,0.821256038647343,0.808290155440415
0.74,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.735294117647059,0.744897959183674,0.75,0.73,0.742574257425743,0.737373737373737
0.785,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.8,0.771428571428571,0.76,0.81,0.77948717948718,0.790243902439024
0.735,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.728155339805825,0.742268041237113,0.75,0.72,0.738916256157635,0.730964467005076
0.78,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.78,0.78,0.78,0.78,0.78,0.78
0.825,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.821782178217822,0.828282828282828,0.83,0.82,0.825870646766169,0.824120603015075
0.785,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.782178217821782,0.787878787878788,0.79,0.78,0.786069651741294,0.78391959798995
0.855,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.873684210526316,0.838095238095238,0.83,0.88,0.851282051282051,0.858536585365854
0.815,0.5,0.5,0.5,0.15,0.85,0.230769230769231,0.62962962962963,0.838709677419355,0.794392523364486,0.78,0.85,0.808290155440415,0.821256038647343
0.71,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.714285714285714,0.705882352941177,0.7,0.72,0.707070707070707,0.712871287128713
0.98,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.970588235294118,0.989795918367347,0.99,0.97,0.98019801980198,0.97979797979798
0.735,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.752688172043011,0.719626168224299,0.7,0.77,0.725388601036269,0.743961352657005
0.79,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.784313725490196,0.795918367346939,0.8,0.78,0.792079207920792,0.787878787878788
0.77,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.78125,0.759615384615385,0.75,0.79,0.76530612244898,0.774509803921569
0.86,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.852941176470588,0.86734693877551,0.87,0.85,0.861386138613861,0.858585858585858
0.835,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.860215053763441,0.813084112149533,0.8,0.87,0.829015544041451,0.840579710144927
0.815,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.794392523364486,0.838709677419355,0.85,0.78,0.821256038647343,0.808290155440415
0.71,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.690909090909091,0.733333333333333,0.76,0.66,0.723809523809524,0.694736842105263
0.83,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.83,0.83,0.83,0.83,0.83,0.83
0.85,0.475,0.485714285714286,0.4,0.85,0.1,0.618181818181818,0.16,0.836538461538462,0.864583333333333,0.87,0.83,0.852941176470588,0.846938775510204
0.78,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.818181818181818,0.75,0.72,0.84,0.765957446808511,0.792452830188679
0.815,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.846153846153846,0.788990825688073,0.77,0.86,0.806282722513089,0.822966507177034
0.8,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.794117647058823,0.806122448979592,0.81,0.79,0.801980198019802,0.797979797979798
0.745,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.752577319587629,0.737864077669903,0.73,0.76,0.741116751269036,0.748768472906404
0.795,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.817204301075269,0.775700934579439,0.76,0.83,0.787564766839378,0.801932367149758
0.8,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.8125,0.788461538461538,0.78,0.82,0.795918367346939,0.803921568627451
0.815,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.794392523364486,0.838709677419355,0.85,0.78,0.821256038647343,0.808290155440415
0.995,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,0.99009900990099,0.99,1,0.994974874371859,0.995024875621891
0.965,0.725,0.666666666666667,0.846153846153846,0.9,0.55,0.765957446808511,0.666666666666667,0.942857142857143,0.989473684210526,0.99,0.94,0.965853658536585,0.964102564102564
0.795,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.792079207920792,0.797979797979798,0.8,0.79,0.796019900497513,0.793969849246231
0.770833333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.787610619469027,0.755905511811024,0.741666666666667,0.8,0.763948497854077,0.777327935222672
0.905,0.775,0.72,0.866666666666667,0.9,0.65,0.8,0.742857142857143,0.926315789473684,0.885714285714286,0.88,0.93,0.902564102564102,0.907317073170732
0.805,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.801980198019802,0.808080808080808,0.81,0.8,0.805970149253731,0.804020100502513
0.99,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.99,0.99,0.99,0.99,0.99,0.99
1,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,1,1,1,1,1,1
0.785,0.7,0.642857142857143,0.833333333333333,0.9,0.5,0.75,0.625,0.771428571428571,0.8,0.81,0.76,0.790243902439024,0.77948717948718
0.84,0.7,0.785714285714286,0.653846153846154,0.55,0.85,0.647058823529412,0.739130434782609,0.826923076923077,0.854166666666667,0.86,0.82,0.843137254901961,0.836734693877551
