,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.79375,0.575,0.615384615384615,0.555555555555556,0.4,0.75,0.484848484848485,0.638297872340426,0.833333333333333,0.761363636363636,0.740740740740741,0.848101265822785,0.784313725490196,0.802395209580838
1,0.735,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.728155339805825,0.742268041237113,0.75,0.72,0.738916256157635,0.730964467005076
2,0.79375,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.804878048780488,0.782051282051282,0.795180722891566,0.792207792207792,0.8,0.787096774193548
3,0.775,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.790123456790123,0.759493670886076,0.771084337349398,0.779220779220779,0.780487804878049,0.769230769230769
4,0.79375,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.797619047619048,0.789473684210526,0.807228915662651,0.779220779220779,0.802395209580838,0.784313725490196
5,0.775,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.758241758241758,0.797101449275362,0.831325301204819,0.714285714285714,0.793103448275862,0.753424657534247
6,0.78125,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.797101449275362,0.769230769230769,0.723684210526316,0.833333333333333,0.758620689655172,0.8
7,0.7375,0.375,0.407407407407407,0.307692307692308,0.55,0.2,0.468085106382979,0.242424242424242,0.728395061728395,0.746835443037975,0.746835443037975,0.728395061728395,0.7375,0.7375
8,0.8,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.775,0.825,0.815789473684211,0.785714285714286,0.794871794871795,0.804878048780488
9,0.83125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.839506172839506,0.822784810126582,0.829268292682927,0.833333333333333,0.834355828220859,0.828025477707006
mean,0.7816249999999999,0.5,0.5103770283661588,0.48512380593262944,0.5549999999999999,0.445,0.5248980102859371,0.4569078653121205,0.7852353668413838,0.7795602786419322,0.7811137437780603,0.7813812344867196,0.7824564757130406,0.7797829129522167
std,0.02877142921178732,0.06123724356957946,0.0595856077736684,0.08128019131242764,0.08316649966583096,0.17551511489201024,0.0356290213389343,0.1289142950702675,0.03842017701201717,0.02914982925808702,0.039572908856815046,0.04838724330428776,0.030108460390937525,0.031496682454233225
min,0.735,0.375,0.407407407407407,0.307692307692308,0.4,0.2,0.468085106382979,0.242424242424242,0.728155339805825,0.742268041237113,0.723684210526316,0.714285714285714,0.7375,0.730964467005076
25%,0.775,0.45625,0.4695652173913045,0.4457720588235295,0.55,0.3625,0.5,0.39977477477477474,0.7624313186813185,0.7599611622554661,0.7476265822784812,0.741101491101491,0.7640874684608913,0.7573761854583776
50%,0.7875,0.525,0.521739130434783,0.529411764705882,0.55,0.45,0.530813953488372,0.486486486486486,0.7936124530327424,0.7756410256410255,0.783132530120482,0.7824675324675325,0.788708586883029,0.785705249841872
75%,0.79375,0.5437500000000001,0.5429347826086958,0.5386029411764708,0.6,0.525,0.558139534883721,0.5341216216216216,0.803063298490128,0.7951945080091529,0.8136493341788209,0.8230519480519478,0.7987179487179488,0.8017964071856285
max,0.83125,0.575,0.615384615384615,0.555555555555556,0.7,0.75,0.56,0.638297872340426,0.839506172839506,0.825,0.831325301204819,0.848101265822785,0.834355828220859,0.828025477707006
