train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.695,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.693069306930693,0.696969696969697,0.7,0.69,0.696517412935323,0.693467336683417
0.73,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.74468085106383,0.716981132075472,0.7,0.76,0.721649484536082,0.737864077669903
0.845,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.841584158415842,0.848484848484849,0.85,0.84,0.845771144278607,0.844221105527638
0.81,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.787037037037037,0.83695652173913,0.85,0.77,0.817307692307692,0.802083333333333
1,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,1,1,1,1,1,1
0.97,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.951923076923077,0.989583333333333,0.99,0.95,0.970588235294118,0.969387755102041
0.675,0.6,0.5625,0.75,0.9,0.3,0.692307692307692,0.428571428571428,0.677966101694915,0.672131147540984,0.666666666666667,0.683333333333333,0.672268907563025,0.677685950413223
0.76,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.782608695652174,0.740740740740741,0.72,0.8,0.75,0.769230769230769
0.6875,0.375,0.333333333333333,0.4,0.25,0.5,0.285714285714286,0.444444444444444,0.702702702702703,0.674418604651163,0.65,0.725,0.675324675324675,0.698795180722892
0.845,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,0.841584158415842,0.848484848484849,0.85,0.84,0.845771144278607,0.844221105527638
0.75,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.75,0.75,0.75,0.75,0.75,0.75
0.81,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.798076923076923,0.822916666666667,0.83,0.79,0.813725490196079,0.806122448979592
0.845,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.855670103092783,0.83495145631068,0.83,0.86,0.842639593908629,0.847290640394089
0.875,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.864077669902913,0.88659793814433,0.89,0.86,0.876847290640394,0.873096446700508
0.79,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.773584905660377,0.808510638297872,0.82,0.76,0.796116504854369,0.783505154639175
0.785,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.766355140186916,0.806451612903226,0.82,0.75,0.792270531400966,0.77720207253886
0.835,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.852631578947368,0.819047619047619,0.81,0.86,0.830769230769231,0.839024390243902
0.795,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.817204301075269,0.775700934579439,0.76,0.83,0.787564766839378,0.801932367149758
0.78,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.791666666666667,0.769230769230769,0.76,0.8,0.775510204081633,0.784313725490196
0.765,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.77319587628866,0.757281553398058,0.75,0.78,0.761421319796954,0.768472906403941
0.78,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.78,0.78,0.78,0.78,0.78,0.78
0.765,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.747663551401869,0.78494623655914,0.8,0.73,0.772946859903382,0.756476683937824
0.85,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.880434782608696,0.824074074074074,0.81,0.89,0.84375,0.855769230769231
0.805,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.796116504854369,0.814432989690722,0.82,0.79,0.807881773399015,0.802030456852792
0.75,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.771739130434783,0.731481481481482,0.71,0.79,0.739583333333333,0.759615384615385
0.98,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.970588235294118,0.989795918367347,0.99,0.97,0.98019801980198,0.97979797979798
