,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.83125,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.859154929577465,0.808988764044944,0.782051282051282,0.878048780487805,0.818791946308725,0.842105263157895
1,0.84,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.854166666666667,0.826923076923077,0.82,0.86,0.836734693877551,0.843137254901961
2,0.8625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.85,0.875,0.871794871794872,0.853658536585366,0.860759493670886,0.864197530864198
3,0.88125,0.325,0.333333333333333,0.315789473684211,0.35,0.3,0.341463414634146,0.307692307692308,0.91304347826087,0.857142857142857,0.828947368421053,0.928571428571429,0.868965517241379,0.891428571428571
4,0.81875,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.835443037974684,0.802469135802469,0.804878048780488,0.833333333333333,0.819875776397516,0.817610062893082
5,0.85,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.853658536585366,0.846153846153846,0.853658536585366,0.846153846153846,0.853658536585366,0.846153846153846
6,0.8375,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.804597701149425,0.876712328767123,0.886075949367089,0.790123456790123,0.843373493975904,0.831168831168831
7,0.8875,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.892857142857143,0.881578947368421,0.892857142857143,0.881578947368421,0.892857142857143,0.881578947368421
8,0.825,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.842857142857143,0.811111111111111,0.776315789473684,0.869047619047619,0.808219178082192,0.839080459770115
9,0.84375,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.857142857142857,0.831325301204819,0.825,0.8625,0.840764331210191,0.846625766871166
mean,0.8477500000000001,0.5075,0.5123882635742215,0.5030018026299492,0.57,0.445,0.5304353879530488,0.4599409645706648,0.856292149307162,0.8417405368518669,0.8341578989330977,0.8603015948337942,0.8444000110206853,0.8503086534578086
std,0.022941653045158807,0.08901466795484388,0.0977449234471517,0.09384759650477523,0.15846485765339619,0.18476712069220783,0.0995230655017179,0.13724624010980255,0.029637020493044057,0.02991495979607104,0.04105211242499793,0.03560028497949173,0.025699553424586772,0.022540663140822533
min,0.81875,0.325,0.333333333333333,0.315789473684211,0.35,0.2,0.341463414634146,0.275862068965517,0.804597701149425,0.802469135802469,0.776315789473684,0.790123456790123,0.808219178082192,0.817610062893082
25%,0.8328125000000001,0.475,0.483870967741935,0.444444444444444,0.45,0.3125,0.49162679425837347,0.33682983682983697,0.8446428571428573,0.8150641025641026,0.808658536585366,0.848030018761726,0.8240905057675247,0.83983666061706
50%,0.8418749999999999,0.5125,0.5092592592592591,0.5192307692307689,0.6,0.5,0.5783972125435539,0.49446290143964544,0.8539126016260165,0.8387395736793325,0.8269736842105264,0.8612500000000001,0.8420689125930475,0.8446455505279036
75%,0.859375,0.56875,0.5649350649350644,0.5730994152046788,0.7,0.5375000000000001,0.588235294117647,0.548245614035088,0.8586519114688129,0.8705357142857142,0.8672607879924955,0.8757984901277585,0.858984254399506,0.85980458986594
max,0.8875,0.625,0.692307692307692,0.625,0.75,0.8,0.636363636363636,0.680851063829787,0.91304347826087,0.881578947368421,0.892857142857143,0.928571428571429,0.892857142857143,0.891428571428571
