train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.7625,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.755555555555556,0.771428571428571,0.80952380952381,0.710526315789474,0.781609195402299,0.73972602739726
0.75625,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.763888888888889,0.75,0.714285714285714,0.795180722891566,0.738255033557047,0.771929824561403
0.8375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506
0.83125,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.823529411764706,0.84,0.853658536585366,0.807692307692308,0.838323353293413,0.823529411764706
1,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1,1,1,1,1,1
0.96875,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.974025974025974,0.963855421686747,0.961538461538462,0.975609756097561,0.967741935483871,0.96969696969697
0.786458333333333,0.475,0.485714285714286,0.4,0.85,0.1,0.618181818181818,0.16,0.767857142857143,0.8125,0.851485148514851,0.714285714285714,0.807511737089202,0.760233918128655
0.7875,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.805194805194805,0.771084337349398,0.765432098765432,0.810126582278481,0.784810126582279,0.790123456790123
0.729166666666667,0.425,0.333333333333333,0.451612903225806,0.15,0.7,0.206896551724138,0.549019607843137,0.767441860465116,0.69811320754717,0.673469387755102,0.787234042553192,0.717391304347826,0.74
0.83125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.795698924731183,0.880597014925373,0.902439024390244,0.756410256410256,0.845714285714286,0.813793103448276
0.81875,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.815789473684211,0.821428571428571,0.805194805194805,0.831325301204819,0.810457516339869,0.826347305389222
0.8125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.814285714285714,0.811111111111111,0.77027027027027,0.848837209302326,0.791666666666667,0.829545454545454
0.86875,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.901408450704225,0.842696629213483,0.82051282051282,0.914634146341463,0.859060402684564,0.87719298245614
0.875,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.865853658536585,0.884615384615385,0.8875,0.8625,0.876543209876543,0.873417721518987
0.8125,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.813953488372093,0.810810810810811,0.833333333333333,0.789473684210526,0.823529411764706,0.8
0.8,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.775280898876405,0.830985915492958,0.851851851851852,0.746835443037975,0.811764705882353,0.786666666666667
0.78125,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.773809523809524,0.789473684210526,0.802469135802469,0.759493670886076,0.787878787878788,0.774193548387097
0.81875,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.835443037974684,0.802469135802469,0.804878048780488,0.833333333333333,0.819875776397516,0.817610062893082
0.81875,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.829268292682927,0.807692307692308,0.819277108433735,0.818181818181818,0.824242424242424,0.812903225806452
0.84375,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.835294117647059,0.853333333333333,0.865853658536585,0.82051282051282,0.850299401197605,0.836601307189543
0.85,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.818181818181818,0.888888888888889,0.9,0.8,0.857142857142857,0.842105263157895
0.8,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.767441860465116,0.837837837837838,0.846153846153846,0.75609756097561,0.804878048780488,0.794871794871795
0.9,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.95,0.85,0.863636363636364,0.944444444444444,0.904761904761905,0.894736842105263
0.8,0.425,0.333333333333333,0.451612903225806,0.15,0.7,0.206896551724138,0.549019607843137,0.795180722891566,0.805194805194805,0.814814814814815,0.784810126582278,0.804878048780488,0.794871794871795
0.74375,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.75,0.738095238095238,0.721518987341772,0.765432098765432,0.735483870967742,0.751515151515151
0.98125,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.974358974358974,0.98780487804878,0.987012987012987,0.975903614457831,0.980645161290323,0.981818181818182
0.73125,0.375,0.333333333333333,0.4,0.25,0.5,0.285714285714286,0.444444444444444,0.759036144578313,0.701298701298701,0.732558139534884,0.72972972972973,0.745562130177515,0.71523178807947
0.7875,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.802631578947368,0.773809523809524,0.7625,0.8125,0.782051282051282,0.792682926829268
0.83125,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.816091954022989,0.849315068493151,0.865853658536585,0.794871794871795,0.840236686390533,0.821192052980132
0.825,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.80952380952381,0.842105263157895,0.85,0.8,0.829268292682927,0.82051282051282
0.86875,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.91044776119403,0.838709677419355,0.802631578947368,0.928571428571429,0.853146853146853,0.88135593220339
0.825,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.842105263157895,0.80952380952381,0.8,0.85,0.82051282051282,0.829268292682927
0.7,0.6,0.666666666666667,0.571428571428571,0.4,0.8,0.5,0.666666666666667,0.716417910447761,0.688172043010753,0.623376623376623,0.771084337349398,0.666666666666667,0.727272727272727
0.8125,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.813953488372093,0.810810810810811,0.833333333333333,0.789473684210526,0.823529411764706,0.8
