,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.78125,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.826086956521739,0.747252747252747,0.7125,0.85,0.76510067114094,0.795321637426901
1,0.775,0.375,0.333333333333333,0.4,0.25,0.5,0.285714285714286,0.444444444444444,0.802197802197802,0.752293577981651,0.73,0.82,0.764397905759162,0.784688995215311
2,0.78125,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.808219178082192,0.758620689655172,0.7375,0.825,0.77124183006536,0.790419161676647
3,0.78125,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.8125,0.760416666666667,0.693333333333333,0.858823529411765,0.748201438848921,0.806629834254144
4,0.825,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.847222222222222,0.806818181818182,0.782051282051282,0.865853658536585,0.813333333333333,0.835294117647059
5,0.7875,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.813333333333333,0.764705882352941,0.753086419753086,0.822784810126582,0.782051282051282,0.792682926829268
6,0.8875,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.888888888888889,0.886075949367089,0.888888888888889,0.886075949367089,0.888888888888889,0.886075949367089
7,0.80625,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.807228915662651,0.805194805194805,0.817073170731707,0.794871794871795,0.812121212121212,0.8
8,0.775,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.791666666666667,0.761363636363636,0.730769230769231,0.817073170731707,0.76,0.788235294117647
9,0.7625,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.731707317073171,0.794871794871795,0.789473684210526,0.738095238095238,0.759493670886076,0.765432098765432
mean,0.79625,0.42000000000000004,0.4007489406018817,0.43144123509340887,0.30999999999999994,0.53,0.34812989802153893,0.47483604488649334,0.8129051280648667,0.7837613931524685,0.7634676009738053,0.827857815114076,0.7864830233095177,0.8044780015299497
std,0.036586085697525306,0.057493961035534474,0.07008518413238994,0.05182528238407612,0.051639777949432225,0.10055402085998903,0.05464926683733569,0.07174274425617744,0.039914191356011826,0.04209463404732767,0.05784422273888538,0.04168605035915724,0.042107487139993086,0.03371970672083569
min,0.7625,0.35,0.333333333333333,0.35,0.25,0.35,0.285714285714286,0.35,0.731707317073171,0.747252747252747,0.693333333333333,0.738095238095238,0.748201438848921,0.765432098765432
25%,0.7765625,0.38125,0.358455882352941,0.4022727272727273,0.2625,0.4625,0.3083538083538082,0.4325396825396827,0.8034555805640142,0.7590696839080457,0.7301923076923077,0.8178048780487803,0.7610994764397905,0.788781261007397
50%,0.78125,0.4125,0.384615384615385,0.4283333333333335,0.3,0.525,0.338095238095238,0.471717171717172,0.810359589041096,0.7630347593582885,0.745293209876543,0.823892405063291,0.76817125060315,0.7940022821280845
75%,0.8015625,0.425,0.39722222222222225,0.444444444444444,0.35,0.6,0.3638157894736842,0.51063829787234,0.8228985507246376,0.8026140526140525,0.787618083670715,0.8566176470588237,0.8046037296037295,0.804972375690608
max,0.8875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.888888888888889,0.886075949367089,0.888888888888889,0.886075949367089,0.888888888888889,0.886075949367089
