train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.66,0.5,0.5,0,1,0,0.666666666666667,0,0.666666666666667,0.653846153846154,0.64,0.68,0.653061224489796,0.666666666666667
0.665,0.6,0.555555555555556,1,1,0.2,0.714285714285714,0.333333333333333,0.673684210526316,0.657142857142857,0.64,0.69,0.656410256410256,0.673170731707317
0.685,0.5,0.5,0,1,0,0.666666666666667,0,0.666666666666667,0.707865168539326,0.74,0.63,0.701421800947867,0.666666666666667
0.61,0.5,0,0.5,0,1,0,0.666666666666667,0.634146341463415,0.593220338983051,0.52,0.7,0.571428571428571,0.642201834862385
0.81,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.822916666666667,0.798076923076923,0.79,0.83,0.806122448979592,0.813725490196079
0.78,0.3,0.366666666666667,0.1,0.55,0.05,0.44,0.0666666666666667,0.75,0.818181818181818,0.84,0.72,0.792452830188679,0.765957446808511
0.608333333333333,0.4,0.25,0.4375,0.1,0.7,0.142857142857143,0.538461538461538,0.625,0.595588235294118,0.541666666666667,0.675,0.580357142857143,0.6328125
0.66,0.5,0,0.5,0,1,0,0.666666666666667,0.670212765957447,0.650943396226415,0.63,0.69,0.649484536082474,0.669902912621359
0.633333333333333,0.55,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667,0.637931034482759,0.629032258064516,0.616666666666667,0.65,0.627118644067797,0.639344262295082
0.65,0.5,0.5,0,1,0,0.666666666666667,0,0.65,0.65,0.65,0.65,0.65,0.65
0.655,0.5,0,0.5,0,1,0,0.666666666666667,0.650485436893204,0.65979381443299,0.67,0.64,0.660098522167488,0.649746192893401
0.72,0.5,0,0.5,0,1,0,0.666666666666667,0.72,0.72,0.72,0.72,0.72,0.72
0.685,0.5,0.5,0,1,0,0.666666666666667,0,0.679611650485437,0.690721649484536,0.7,0.67,0.689655172413793,0.680203045685279
0.62,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.622448979591837,0.617647058823529,0.61,0.63,0.616161616161616,0.623762376237624
0.61,0.5,0,0.5,0,1,0,0.666666666666667,0.671875,0.580882352941177,0.43,0.79,0.524390243902439,0.669491525423729
0.665,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.685393258426966,0.648648648648649,0.61,0.72,0.645502645502645,0.682464454976303
0.675,0.5,0.5,0,1,0,0.666666666666667,0,0.657657657657658,0.696629213483146,0.73,0.62,0.691943127962085,0.656084656084656
0.69,0.525,0.512820512820513,1,1,0.05,0.677966101694915,0.0952380952380952,0.69,0.69,0.69,0.69,0.69,0.69
0.625,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674
0.62,0.5,0,0.5,0,1,0,0.666666666666667,0.633333333333333,0.609090909090909,0.57,0.67,0.6,0.638095238095238
0.63,0.5,0,0.5,0,1,0,0.666666666666667,0.647727272727273,0.616071428571429,0.57,0.69,0.606382978723404,0.650943396226415
0.64,0.5,0.5,0,1,0,0.666666666666667,0,0.620689655172414,0.666666666666667,0.72,0.56,0.666666666666667,0.608695652173913
0.71,0.475,0,0.487179487179487,0,0.95,0,0.644067796610169,0.723404255319149,0.69811320754717,0.68,0.74,0.701030927835052,0.718446601941748
0.66,0.525,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915,0.686046511627907,0.640350877192982,0.59,0.73,0.634408602150538,0.682242990654206
0.675,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,0.64,0.733333333333333,0.8,0.55,0.711111111111111,0.628571428571429
