,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.66875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.645161290322581,0.701492537313433,0.75,0.5875,0.69364161849711,0.639455782312925
1,0.6125,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.616279069767442,0.608108108108108,0.646341463414634,0.576923076923077,0.630952380952381,0.592105263157895
2,0.675,0.475,0.428571428571429,0.484848484848485,0.15,0.8,0.222222222222222,0.60377358490566,0.698412698412698,0.65979381443299,0.571428571428571,0.771084337349398,0.628571428571429,0.711111111111111
3,0.5625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.569620253164557,0.555555555555556,0.555555555555556,0.569620253164557,0.5625,0.5625
4,0.9875,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158
5,0.8625,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.86046511627907,0.864864864864865,0.880952380952381,0.842105263157895,0.870588235294118,0.853333333333333
6,0.677083333333333,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.683673469387755,0.670212765957447,0.683673469387755,0.670212765957447,0.683673469387755,0.670212765957447
7,0.63125,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.619047619047619,0.644736842105263,0.658227848101266,0.604938271604938,0.638036809815951,0.624203821656051
8,0.614583333333333,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.605504587155963,0.626506024096386,0.680412371134021,0.547368421052632,0.640776699029126,0.584269662921348
9,0.625,0.7,0.9,0.633333333333333,0.45,0.95,0.6,0.76,0.613636363636364,0.638888888888889,0.675,0.575,0.642857142857143,0.605263157894737
10,0.6375,0.275,0.2,0.32,0.15,0.4,0.171428571428571,0.355555555555556,0.593406593406593,0.695652173913043,0.72,0.564705882352941,0.650602409638554,0.623376623376623
11,0.7625,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.758620689655172,0.767123287671233,0.795180722891566,0.727272727272727,0.776470588235294,0.746666666666667
12,0.85,0.4,0.423076923076923,0.357142857142857,0.55,0.25,0.478260869565217,0.294117647058823,0.8375,0.8625,0.858974358974359,0.841463414634146,0.848101265822785,0.851851851851852
13,0.66875,0.6,0.75,0.5625,0.3,0.9,0.428571428571428,0.692307692307692,0.671428571428571,0.666666666666667,0.61038961038961,0.72289156626506,0.639455782312925,0.69364161849711
14,0.56875,0.425,0.0,0.459459459459459,0.0,0.85,0.0,0.596491228070175,0.857142857142857,0.555555555555556,0.0810810810810811,0.988372093023256,0.148148148148148,0.711297071129707
15,0.6125,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.653846153846154,0.592592592592593,0.435897435897436,0.780487804878049,0.523076923076923,0.673684210526316
16,0.6,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.594202898550725,0.604395604395604,0.532467532467532,0.662650602409639,0.561643835616438,0.632183908045977
17,0.5875,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.569620253164557,0.604938271604938,0.584415584415584,0.590361445783133,0.576923076923077,0.597560975609756
18,0.68125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.65625,0.71875,0.777777777777778,0.582278481012658,0.711864406779661,0.643356643356643
19,0.65625,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.666666666666667,0.645569620253165,0.658536585365854,0.653846153846154,0.662576687116564,0.64968152866242
20,0.675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.662162162162162,0.686046511627907,0.644736842105263,0.702380952380952,0.653333333333333,0.694117647058823
21,0.64375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.623853211009174,0.686274509803922,0.80952380952381,0.460526315789474,0.704663212435233,0.551181102362205
22,0.8,0.5,0.5,0.5,0.2,0.8,0.285714285714286,0.615384615384615,0.810810810810811,0.790697674418605,0.769230769230769,0.829268292682927,0.789473684210526,0.80952380952381
23,0.66875,0.575,1.0,0.540540540540541,0.15,1.0,0.260869565217391,0.701754385964912,0.707692307692308,0.642105263157895,0.575,0.7625,0.63448275862069,0.697142857142857
24,0.6625,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.666666666666667,0.657894736842105,0.682926829268293,0.641025641025641,0.674698795180723,0.649350649350649
25,0.95625,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.941176470588235,0.973333333333333,0.975609756097561,0.935897435897436,0.958083832335329,0.954248366013072
