,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.66875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.645161290322581,0.701492537313433,0.75,0.5875,0.69364161849711,0.639455782312925
1,0.62,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.609090909090909,0.633333333333333,0.67,0.57,0.638095238095238,0.6
2,0.65625,0.575,0.636363636363636,0.551724137931034,0.35,0.8,0.451612903225806,0.653061224489796,0.683544303797468,0.62962962962963,0.642857142857143,0.671052631578947,0.662576687116564,0.64968152866242
3,0.6875,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177
4,0.70625,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.69,0.733333333333333,0.811764705882353,0.586666666666667,0.745945945945946,0.651851851851852
5,0.65,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.628571428571429,0.666666666666667,0.594594594594595,0.697674418604651,0.611111111111111,0.681818181818182
6,0.65625,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.645161290322581,0.671641791044776,0.731707317073171,0.576923076923077,0.685714285714286,0.620689655172414
7,0.68125,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.666666666666667,0.695121951219512,0.675324675324675,0.686746987951807,0.670967741935484,0.690909090909091
8,0.68125,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.673913043478261,0.691176470588235,0.746987951807229,0.61038961038961,0.708571428571429,0.648275862068966
9,0.6375,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.652777777777778,0.625,0.5875,0.6875,0.618421052631579,0.654761904761905
mean,0.6645000000000001,0.505,0.5066549678391785,0.5044971144335932,0.365,0.645,0.4192458061574552,0.5637506310927166,0.656155337669434,0.6753278066070096,0.6877403054205835,0.6380335745055936,0.6701711776285413,0.6543326210498932
std,0.025618732295811308,0.056273143387113776,0.08267260767249579,0.0439796359409783,0.10554093465991711,0.09846036991827953,0.08774292185375793,0.057497452815122314,0.02507988872805174,0.036665382120845164,0.07176613895939343,0.056164559160183314,0.041196641959516514,0.03183381804208786
min,0.62,0.425,0.384615384615385,0.444444444444444,0.25,0.5,0.303030303030303,0.48780487804878,0.609090909090909,0.625,0.5875,0.57,0.611111111111111,0.6
25%,0.6515625,0.475,0.461538461538462,0.4775132275132272,0.3,0.6,0.35561497326203195,0.5150501672240805,0.645161290322581,0.6416666666666665,0.648809523809524,0.5868750000000003,0.6442156003505696,0.6416608022519352
50%,0.6625,0.4875,0.48684210526315796,0.4907407407407405,0.32499999999999996,0.65,0.407624633431085,0.553191489361702,0.6597222222222225,0.6814091308165054,0.6726623376623375,0.6407211209842785,0.6688172043010755,0.6507666902571361
75%,0.68125,0.5437500000000001,0.5595238095238092,0.5354251012145745,0.4375,0.7,0.46832579185520395,0.6065217391304347,0.6721014492753625,0.6998998907899527,0.7431677931237145,0.6873117469879517,0.691659785301404,0.6750541125541127
max,0.70625,0.6,0.636363636363636,0.583333333333333,0.55,0.8,0.555555555555556,0.653061224489796,0.69,0.733333333333333,0.811764705882353,0.705882352941177,0.745945945945946,0.705882352941177
