train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.77,0.45,0,0.473684210526316,0,0.9,0,0.620689655172414,0.787234042553192,0.754716981132076,0.74,0.8,0.762886597938144,0.776699029126214
0.76,0.3,0.346153846153846,0.214285714285714,0.45,0.15,0.391304347826087,0.176470588235294,0.788888888888889,0.736363636363636,0.71,0.81,0.747368421052632,0.771428571428571
0.87,0.55,0.526315789473684,1,1,0.1,0.689655172413793,0.181818181818182,0.902173913043478,0.842592592592593,0.83,0.91,0.864583333333333,0.875
0.79,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.79,0.79,0.79,0.79,0.79,0.79
1,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,1,1,1,1,1,1
0.96,0.425,0.451612903225806,0.333333333333333,0.7,0.15,0.549019607843137,0.206896551724138,0.96,0.96,0.96,0.96,0.96,0.96
0.75,0.5,0.5,0,1,0,0.666666666666667,0,0.734375,0.767857142857143,0.783333333333333,0.716666666666667,0.758064516129032,0.741379310344828
0.81,0.6,0.555555555555556,1,1,0.2,0.714285714285714,0.333333333333333,0.787037037037037,0.83695652173913,0.85,0.77,0.817307692307692,0.802083333333333
0.708333333333333,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.740384615384615,0.683823529411765,0.641666666666667,0.775,0.6875,0.7265625
0.85,0.5,0.5,0.5,0.15,0.85,0.230769230769231,0.62962962962963,0.830188679245283,0.872340425531915,0.88,0.82,0.854368932038835,0.845360824742268
0.825,0.6,0.566666666666667,0.7,0.85,0.35,0.68,0.466666666666667,0.815533980582524,0.835051546391753,0.84,0.81,0.827586206896552,0.822335025380711
0.86,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.846153846153846,0.875,0.88,0.84,0.862745098039216,0.857142857142857
0.84,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.84,0.84,0.84,0.84,0.84,0.84
0.89,0.5,0.5,0,1,0,0.666666666666667,0,0.882352941176471,0.897959183673469,0.9,0.88,0.891089108910891,0.888888888888889
0.79,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.802083333333333,0.778846153846154,0.77,0.81,0.785714285714286,0.794117647058824
0.82,0.575,0.540540540540541,1,1,0.15,0.701754385964912,0.260869565217391,0.833333333333333,0.807692307692308,0.8,0.84,0.816326530612245,0.823529411764706
0.855,0.55,1,0.526315789473684,0.1,1,0.181818181818182,0.689655172413793,0.81981981981982,0.898876404494382,0.91,0.8,0.862559241706161,0.846560846560847
0.84,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.846938775510204,0.833333333333333,0.83,0.85,0.838383838383838,0.841584158415842
0.82,0.4,0.3,0.433333333333333,0.15,0.65,0.2,0.52,0.833333333333333,0.807692307692308,0.8,0.84,0.816326530612245,0.823529411764706
0.835,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.885057471264368,0.79646017699115,0.77,0.9,0.823529411764706,0.845070422535211
0.86,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.846153846153846,0.875,0.88,0.84,0.862745098039216,0.857142857142857
0.84,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.820754716981132,0.861702127659574,0.87,0.81,0.844660194174757,0.835051546391753
0.88,0.35,0.363636363636364,0.333333333333333,0.4,0.3,0.380952380952381,0.315789473684211,0.887755102040816,0.872549019607843,0.87,0.89,0.878787878787879,0.881188118811881
0.86,0.5,0,0.5,0,1,0,0.666666666666667,0.846153846153846,0.875,0.88,0.84,0.862745098039216,0.857142857142857
0.745,0.45,0,0.473684210526316,0,0.9,0,0.620689655172414,0.752577319587629,0.737864077669903,0.73,0.76,0.741116751269036,0.748768472906404
0.985,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.970873786407767,1,1,0.97,0.985221674876847,0.984771573604061
0.795,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.792079207920792,0.797979797979798,0.8,0.79,0.796019900497513,0.793969849246231
0.85,0.475,0.4,0.485714285714286,0.1,0.85,0.16,0.618181818181818,0.836538461538462,0.864583333333333,0.87,0.83,0.852941176470588,0.846938775510204
0.87,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.885416666666667,0.855769230769231,0.85,0.89,0.86734693877551,0.872549019607843
0.89,0.5,0.5,0,1,0,0.666666666666667,0,0.882352941176471,0.897959183673469,0.9,0.88,0.891089108910891,0.888888888888889
0.885,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.853211009174312,0.923076923076923,0.93,0.84,0.889952153110048,0.879581151832461
0.815,0.55,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667,0.831578947368421,0.8,0.79,0.84,0.81025641025641,0.819512195121951
0.735,0.5,0.5,0,1,0,0.666666666666667,0,0.732673267326733,0.737373737373737,0.74,0.73,0.736318407960199,0.733668341708543
0.815,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.811881188118812,0.818181818181818,0.82,0.81,0.81592039800995,0.814070351758794
0.89,0.5,0.5,0,1,0,0.666666666666667,0,0.861111111111111,0.923913043478261,0.93,0.85,0.894230769230769,0.885416666666667
0.81,0.35,0.333333333333333,0.363636363636364,0.3,0.4,0.315789473684211,0.380952380952381,0.803921568627451,0.816326530612245,0.82,0.8,0.811881188118812,0.808080808080808
0.825,0.5,0,0.5,0,1,0,0.666666666666667,0.828282828282828,0.821782178217822,0.82,0.83,0.824120603015075,0.825870646766169
0.88,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.872549019607843,0.887755102040816,0.89,0.87,0.881188118811881,0.878787878787879
0.73,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,0.74468085106383,0.716981132075472,0.7,0.76,0.721649484536082,0.737864077669903
0.83,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.817307692307692,0.84375,0.85,0.81,0.833333333333333,0.826530612244898
0.85,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.824074074074074,0.880434782608696,0.89,0.81,0.855769230769231,0.84375
0.83,0.5,0.5,0,1,0,0.666666666666667,0,0.8,0.866666666666667,0.88,0.78,0.838095238095238,0.821052631578947
