train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.7625,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.739583333333333,0.796875,0.845238095238095,0.671052631578947,0.788888888888889,0.728571428571429
0.85,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.873239436619718,0.831460674157303,0.805194805194805,0.891566265060241,0.837837837837838,0.86046511627907
0.85,0.7,0.633333333333333,0.9,0.95,0.45,0.76,0.6,0.839506172839506,0.860759493670886,0.860759493670886,0.839506172839506,0.85,0.85
0.8125,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.802325581395349,0.824324324324324,0.841463414634146,0.782051282051282,0.821428571428571,0.802631578947368
1,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,1,1,1,1,1,1
0.98125,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.987012987012987,0.975903614457831,0.974358974358974,0.98780487804878,0.980645161290323,0.981818181818182
0.796875,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,0.781818181818182,0.817073170731707,0.851485148514851,0.736263736263736,0.815165876777251,0.774566473988439
0.775,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.727272727272727,0.852459016393443,0.888888888888889,0.658227848101266,0.8,0.742857142857143
0.760416666666667,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.76,0.760869565217391,0.775510204081633,0.74468085106383,0.767676767676768,0.752688172043011
0.81875,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.819277108433735,0.818181818181818,0.829268292682927,0.807692307692308,0.824242424242424,0.812903225806452
0.79375,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.814285714285714,0.777777777777778,0.74025974025974,0.843373493975904,0.775510204081633,0.809248554913295
0.85625,0.4,0.357142857142857,0.423076923076923,0.25,0.55,0.294117647058823,0.478260869565217,0.849315068493151,0.862068965517241,0.837837837837838,0.872093023255814,0.843537414965986,0.867052023121387
0.86875,0.575,0.545454545454545,0.714285714285714,0.9,0.25,0.679245283018868,0.37037037037037,0.901408450704225,0.842696629213483,0.82051282051282,0.914634146341463,0.859060402684564,0.87719298245614
0.85625,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.87012987012987,0.843373493975904,0.8375,0.875,0.853503184713376,0.858895705521472
0.78125,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.763440860215054,0.805970149253731,0.845238095238095,0.710526315789474,0.80225988700565,0.755244755244755
0.875,0.325,0.266666666666667,0.36,0.2,0.45,0.228571428571429,0.4,0.867469879518072,0.883116883116883,0.888888888888889,0.860759493670886,0.878048780487805,0.871794871794872
0.75,0.35,0.333333333333333,0.363636363636364,0.3,0.4,0.315789473684211,0.380952380952381,0.725274725274725,0.782608695652174,0.814814814814815,0.683544303797468,0.767441860465116,0.72972972972973
0.875,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.869047619047619,0.881578947368421,0.890243902439024,0.858974358974359,0.879518072289157,0.87012987012987
0.83125,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.804347826086957,0.867647058823529,0.891566265060241,0.766233766233766,0.845714285714286,0.813793103448276
0.85625,0.425,0.454545454545455,0.285714285714286,0.75,0.1,0.566037735849057,0.148148148148148,0.873417721518987,0.839506172839506,0.841463414634146,0.871794871794872,0.857142857142857,0.855345911949686
0.85625,0.7,0.681818181818182,0.722222222222222,0.75,0.65,0.714285714285714,0.684210526315789,0.87012987012987,0.843373493975904,0.8375,0.875,0.853503184713376,0.858895705521472
0.8375,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.842105263157895,0.833333333333333,0.82051282051282,0.853658536585366,0.831168831168831,0.843373493975904
0.875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.886363636363636,0.861111111111111,0.886363636363636,0.861111111111111,0.886363636363636,0.861111111111111
0.83125,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.813953488372093,0.851351351351351,0.864197530864197,0.79746835443038,0.838323353293413,0.823529411764706
0.83125,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.833333333333333,0.829268292682927,0.822784810126582,0.839506172839506,0.828025477707006,0.834355828220859
0.9875,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.974683544303797,1,1,0.975903614457831,0.987179487179487,0.98780487804878
0.80625,0.275,0.263157894736842,0.285714285714286,0.25,0.3,0.256410256410256,0.292682926829268,0.802197802197802,0.811594202898551,0.848837209302326,0.756756756756757,0.824858757062147,0.783216783216783
0.83125,0.35,0.25,0.392857142857143,0.15,0.55,0.1875,0.458333333333333,0.844155844155844,0.819277108433735,0.8125,0.85,0.828025477707006,0.834355828220859
0.89375,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.891566265060241,0.896103896103896,0.902439024390244,0.884615384615385,0.896969696969697,0.890322580645161
0.86875,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.904109589041096,0.839080459770115,0.825,0.9125,0.862745098039216,0.874251497005988
0.8625,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.864864864864865,0.86046511627907,0.842105263157895,0.880952380952381,0.853333333333333,0.870588235294118
0.875,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.884615384615385,0.865853658536585,0.8625,0.8875,0.873417721518987,0.876543209876543
0.75625,0.65,0.8,0.6,0.4,0.9,0.533333333333333,0.72,0.7375,0.775,0.766233766233766,0.746987951807229,0.751592356687898,0.760736196319018
0.89375,0.375,0.407407407407407,0.307692307692308,0.55,0.2,0.468085106382979,0.242424242424242,0.903614457831325,0.883116883116883,0.892857142857143,0.894736842105263,0.898203592814371,0.888888888888889
0.93125,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.924050632911392,0.938271604938272,0.935897435897436,0.926829268292683,0.929936305732484,0.932515337423313
0.85625,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.925373134328358,0.806451612903226,0.775,0.9375,0.843537414965986,0.867052023121387
0.83125,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.814814814814815,0.848101265822785,0.846153846153846,0.817073170731707,0.830188679245283,0.832298136645963
0.8875,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.873563218390805,0.904109589041096,0.91566265060241,0.857142857142857,0.894117647058823,0.88
0.775,0.5,0.5,0.5,0.75,0.25,0.6,0.333333333333333,0.823529411764706,0.739130434782609,0.7,0.85,0.756756756756757,0.790697674418605
0.85,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.835164835164835,0.869565217391304,0.894117647058824,0.8,0.863636363636364,0.833333333333333
0.8375,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.826666666666667,0.847058823529412,0.826666666666667,0.847058823529412,0.826666666666667,0.847058823529412
0.85,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.868421052631579,0.833333333333333,0.825,0.875,0.846153846153846,0.853658536585366
1,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,1,1,1,1,1,1
0.99375,0.725,0.68,0.8,0.85,0.6,0.755555555555556,0.685714285714286,0.987654320987654,1,1,0.9875,0.993788819875776,0.993710691823899
0.81875,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.833333333333333,0.804878048780488,0.802469135802469,0.835443037974684,0.817610062893082,0.819875776397516
0.765625,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.777777777777778,0.752688172043011,0.77,0.760869565217391,0.773869346733668,0.756756756756757
0.89375,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,0.871794871794872,0.914634146341463,0.906666666666667,0.882352941176471,0.888888888888889,0.898203592814371
0.875,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.869047619047619,0.881578947368421,0.890243902439024,0.858974358974359,0.879518072289157,0.87012987012987
0.99375,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.988095238095238,1,1,0.987012987012987,0.994011976047904,0.993464052287582
1,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,1,1,1,1,1,1
0.7625,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.726315789473684,0.815384615384615,0.851851851851852,0.670886075949367,0.784090909090909,0.736111111111111
0.8625,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.868421052631579,0.857142857142857,0.846153846153846,0.878048780487805,0.857142857142857,0.867469879518072
