,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.73125,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.719101123595506,0.746478873239437,0.780487804878049,0.67948717948718,0.748538011695907,0.711409395973154
1,0.755,0.675,0.652173913043478,0.705882352941177,0.75,0.6,0.697674418604651,0.648648648648649,0.762886597938144,0.747572815533981,0.74,0.77,0.751269035532995,0.758620689655172
2,0.83125,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.833333333333333,0.829268292682927,0.822784810126582,0.839506172839506,0.828025477707006,0.834355828220859
3,0.81875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.84,0.8,0.7875,0.85,0.812903225806452,0.824242424242424
4,0.775,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.788732394366197,0.764044943820225,0.727272727272727,0.819277108433735,0.756756756756757,0.790697674418605
5,0.8,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.804878048780488,0.794871794871795,0.804878048780488,0.794871794871795,0.804878048780488,0.794871794871795
6,0.74375,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.729411764705882,0.76,0.775,0.7125,0.751515151515152,0.735483870967742
7,0.83125,0.35,0.363636363636364,0.333333333333333,0.4,0.3,0.380952380952381,0.315789473684211,0.80952380952381,0.855263157894737,0.860759493670886,0.802469135802469,0.834355828220859,0.828025477707006
8,0.7875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.8,0.776470588235294,0.759493670886076,0.814814814814815,0.779220779220779,0.795180722891566
9,0.775,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.780487804878049,0.769230769230769,0.780487804878049,0.769230769230769,0.780487804878049,0.769230769230769
mean,0.784875,0.535,0.5393929817957277,0.5334267184483903,0.535,0.5349999999999999,0.5333050009521124,0.5309044202843387,0.7868354877121408,0.7843201235509165,0.7838664360492859,0.785215697548027,0.7847950120114444,0.7842118648179092
std,0.03549476682867805,0.0843274042711568,0.0802442800319573,0.09334021193570075,0.1055409346599171,0.13133925536563698,0.08136161400458317,0.10238697040616954,0.04014554362197922,0.03572211940970672,0.03902201737427022,0.05428811813893977,0.0331669612445875,0.040642710752928995
min,0.73125,0.35,0.363636363636364,0.333333333333333,0.4,0.3,0.380952380952381,0.315789473684211,0.719101123595506,0.746478873239437,0.727272727272727,0.67948717948718,0.748538011695907,0.711409395973154
25%,0.76,0.525,0.5222567287784683,0.5244360902255639,0.4625,0.4625,0.5119260584376862,0.4930699930699928,0.7672868996731202,0.7610112359550563,0.763370253164557,0.7694230769230768,0.7528255528255533,0.7612732095490713
50%,0.78125,0.5375000000000001,0.5358851674641145,0.5339366515837101,0.55,0.525,0.525435540069686,0.531450577663671,0.7943661971830985,0.7728506787330316,0.780487804878049,0.798670465337132,0.779854292049414,0.7927847346451999
75%,0.8140625,0.56875,0.5928571428571427,0.558888888888889,0.5875,0.6375,0.5681063122923584,0.6164596273291925,0.8083623693379794,0.7987179487179488,0.800533536585366,0.818161535029005,0.810896931549961,0.8169769989047095
max,0.83125,0.675,0.652173913043478,0.705882352941177,0.75,0.7,0.697674418604651,0.648648648648649,0.84,0.855263157894737,0.860759493670886,0.85,0.834355828220859,0.834355828220859
