,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.775,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.761904761904762,0.789473684210526,0.8,0.75,0.780487804878049,0.769230769230769
1,0.80625,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.825,0.7875,0.795180722891566,0.818181818181818,0.809815950920245,0.802547770700637
2,0.90625,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.935897435897436,0.878048780487805,0.879518072289157,0.935064935064935,0.906832298136646,0.905660377358491
3,0.8,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.814814814814815,0.784810126582278,0.795180722891566,0.805194805194805,0.804878048780488,0.794871794871795
4,1.0,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1.0,1.0,1.0,1.0,1.0,1.0
5,0.98125,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
6,0.765625,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.727272727272727,0.817073170731707,0.842105263157895,0.690721649484536,0.780487804878049,0.748603351955307
7,0.775,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.7625,0.7875,0.782051282051282,0.768292682926829,0.772151898734177,0.777777777777778
8,0.744791666666667,0.4,0.357142857142857,0.423076923076923,0.25,0.55,0.294117647058823,0.478260869565217,0.740384615384615,0.75,0.777777777777778,0.709677419354839,0.758620689655172,0.729281767955801
9,0.8875,0.675,0.733333333333333,0.64,0.55,0.8,0.628571428571429,0.711111111111111,0.918918918918919,0.86046511627907,0.85,0.925,0.883116883116883,0.891566265060241
10,0.79375,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.779069767441861,0.810810810810811,0.827160493827161,0.759493670886076,0.802395209580838,0.784313725490196
11,0.875,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.896103896103896,0.855421686746988,0.851851851851852,0.89873417721519,0.873417721518987,0.876543209876543
12,0.875,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,0.888888888888889,0.860759493670886,0.867469879518072,0.883116883116883,0.878048780487805,0.871794871794872
13,0.85,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.852272727272727,0.847222222222222,0.872093023255814,0.824324324324324,0.862068965517241,0.835616438356165
