train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.79375,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.783783783783784,0.802325581395349,0.773333333333333,0.811764705882353,0.778523489932886,0.807017543859649
0.80625,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.793103448275862,0.821917808219178,0.841463414634146,0.769230769230769,0.816568047337278,0.794701986754967
0.89375,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.894736842105263,0.892857142857143,0.883116883116883,0.903614457831325,0.888888888888889,0.898203592814371
0.79375,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.802325581395349,0.783783783783784,0.811764705882353,0.773333333333333,0.807017543859649,0.778523489932886
1,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,1,1,1,1,1,1
0.9875,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,1,0.974025974025974,0.976470588235294,1,0.988095238095238,0.986842105263158
0.765625,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.755102040816326,0.776595744680851,0.778947368421053,0.752577319587629,0.766839378238342,0.764397905759162
0.825,0.625,0.727272727272727,0.586206896551724,0.4,0.85,0.516129032258065,0.693877551020408,0.849315068493151,0.804597701149425,0.784810126582278,0.864197530864197,0.815789473684211,0.833333333333333
0.729166666666667,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.729166666666667,0.729166666666667,0.729166666666667,0.729166666666667,0.729166666666667,0.729166666666667
0.825,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.835443037974684,0.814814814814815,0.814814814814815,0.835443037974684,0.825,0.825
0.7875,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.782051282051282,0.792682926829268,0.782051282051282,0.792682926829268,0.782051282051282,0.792682926829268
0.84375,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.855263157894737,0.833333333333333,0.822784810126582,0.864197530864197,0.838709677419355,0.848484848484848
0.85,0.425,0.451612903225806,0.333333333333333,0.7,0.15,0.549019607843137,0.206896551724138,0.831460674157303,0.873239436619718,0.891566265060241,0.805194805194805,0.86046511627907,0.837837837837838
0.84375,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.855263157894737,0.833333333333333,0.822784810126582,0.864197530864197,0.838709677419355,0.848484848484848
0.78125,0.4,0.423076923076923,0.357142857142857,0.55,0.25,0.478260869565217,0.294117647058823,0.765432098765432,0.79746835443038,0.794871794871795,0.768292682926829,0.779874213836478,0.782608695652174
0.825,0.375,0.333333333333333,0.4,0.25,0.5,0.285714285714286,0.444444444444444,0.859154929577465,0.797752808988764,0.772151898734177,0.876543209876543,0.813333333333333,0.835294117647059
