,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8625,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.855263157894737,0.869047619047619,0.855263157894737,0.869047619047619,0.855263157894737,0.869047619047619
1,0.845,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.83495145631068,0.855670103092783,0.86,0.83,0.847290640394089,0.842639593908629
2,0.8875,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.897435897435897,0.878048780487805,0.875,0.9,0.886075949367089,0.888888888888889
3,0.90625,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.904109589041096,0.908045977011494,0.891891891891892,0.918604651162791,0.897959183673469,0.913294797687861
4,0.88125,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.886363636363636,0.875,0.896551724137931,0.863013698630137,0.891428571428571,0.868965517241379
5,0.89375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.905405405405405,0.883720930232558,0.87012987012987,0.91566265060241,0.887417218543046,0.899408284023669
6,0.8625,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.892307692307692,0.842105263157895,0.794520547945205,0.919540229885057,0.840579710144927,0.879120879120879
7,0.86875,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.853658536585366,0.884615384615385,0.886075949367089,0.851851851851852,0.869565217391304,0.867924528301887
8,0.875,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.868421052631579,0.880952380952381,0.868421052631579,0.880952380952381,0.868421052631579,0.880952380952381
9,0.84375,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.848101265822785,0.839506172839506,0.8375,0.85,0.842767295597484,0.84472049689441
mean,0.872625,0.5400000000000001,0.5351527467194404,0.5497892559273634,0.615,0.465,0.566294342871738,0.4958352729722276,0.8746017689798873,0.8716712611437426,0.8635354193998304,0.8798673082132249,0.8686767997066294,0.8754962986067604
std,0.02026259896130471,0.03944053188733075,0.033820221356499425,0.05667221938986142,0.1292069829554287,0.1225878369895553,0.06947937648530748,0.07674099826925052,0.025642933200539675,0.020937523337716733,0.03004230211767291,0.03219232448901304,0.021416328061417314,0.02208835481474769
min,0.84375,0.475,0.482758620689655,0.454545454545455,0.35,0.25,0.411764705882353,0.32258064516129,0.83495145631068,0.839506172839506,0.794520547945205,0.83,0.840579710144927,0.842639593908629
25%,0.8625,0.525,0.52,0.5252100840336135,0.525,0.4,0.5449402891263353,0.464069264069264,0.8540596919127087,0.859014482081492,0.8564473684210527,0.8546423135464232,0.849283769769251,0.86818477553676
50%,0.871875,0.525,0.5240274599542335,0.533333333333333,0.65,0.45,0.5746031746031744,0.5003861003861,0.8773923444976075,0.8765243902439025,0.8692754613807245,0.875,0.8689931350114415,0.874084249084249
75%,0.8859374999999999,0.575,0.558888888888889,0.591304347826087,0.7,0.525,0.6111111111111109,0.534791965566714,0.8961538461538457,0.8830287929125138,0.8833069620253168,0.9117469879518075,0.8870819012490567,0.886904761904762
max,0.90625,0.6,0.588235294117647,0.642857142857143,0.75,0.65,0.652173913043478,0.604651162790698,0.905405405405405,0.908045977011494,0.896551724137931,0.919540229885057,0.897959183673469,0.913294797687861
