train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.535,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.585365853658537,0.522012578616352,0.24,0.83,0.340425531914894,0.640926640926641
0.485,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.48780487804878,0.480519480519481,0.6,0.37,0.538116591928251,0.418079096045198
0.62,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.607142857142857,0.636363636363636,0.68,0.56,0.641509433962264,0.595744680851064
0.48,0.625,0.857142857142857,0.575757575757576,0.3,0.95,0.444444444444444,0.716981132075472,0.416666666666667,0.488636363636364,0.1,0.86,0.161290322580645,0.623188405797101
0.58,0.55,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667,0.553333333333333,0.66,0.83,0.33,0.664,0.44
0.65,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.767857142857143,0.604166666666667,0.43,0.87,0.551282051282051,0.713114754098361
0.483333333333333,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.472222222222222,0.488095238095238,0.283333333333333,0.683333333333333,0.354166666666667,0.569444444444444
0.545,0.45,0.375,0.46875,0.15,0.75,0.214285714285714,0.576923076923077,0.621621621621622,0.52760736196319,0.23,0.86,0.335766423357664,0.653992395437262
0.529166666666667,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.522875816993464,0.540229885057471,0.666666666666667,0.391666666666667,0.586080586080586,0.454106280193237
0.53,0.5,0.5,0.5,0.15,0.85,0.230769230769231,0.62962962962963,0.666666666666667,0.516483516483517,0.12,0.94,0.203389830508475,0.666666666666667
0.59,0.5,0.5,0.5,0.2,0.8,0.285714285714286,0.615384615384615,0.573770491803279,0.615384615384615,0.7,0.48,0.630630630630631,0.539325842696629
0.525,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.575757575757576,0.514970059880239,0.19,0.86,0.285714285714286,0.644194756554307
0.57,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.602941176470588,0.553030303030303,0.41,0.73,0.488095238095238,0.629310344827586
0.525,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.52212389380531,0.528735632183908,0.59,0.46,0.553990610328638,0.491978609625669
0.51,0.55,0.666666666666667,0.529411764705882,0.2,0.9,0.307692307692308,0.666666666666667,0.583333333333333,0.50531914893617,0.07,0.95,0.125,0.659722222222222
0.56,0.525,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455,0.583333333333333,0.546875,0.42,0.7,0.488372093023256,0.614035087719298
0.51,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.505154639175258,0.666666666666667,0.98,0.04,0.666666666666667,0.0754716981132075
0.56,0.5,0,0.5,0,1,0,0.666666666666667,0.551724137931034,0.571428571428571,0.64,0.48,0.592592592592593,0.521739130434783
0.55,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.608695652173913,0.532467532467532,0.28,0.82,0.383561643835616,0.645669291338583
0.57,0.5,0.5,0.5,0.05,0.95,0.0909090909090909,0.655172413793103,0.571428571428571,0.568627450980392,0.56,0.58,0.565656565656566,0.574257425742574
0.555,0.375,0.272727272727273,0.413793103448276,0.15,0.6,0.193548387096774,0.489795918367347,0.555555555555556,0.554455445544555,0.55,0.56,0.552763819095477,0.557213930348259
0.615,0.525,0.514285714285714,0.6,0.9,0.15,0.654545454545455,0.24,0.603603603603604,0.629213483146067,0.67,0.56,0.635071090047393,0.592592592592593
0.555,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.739130434782609,0.531073446327684,0.17,0.94,0.276422764227642,0.67870036101083
0.58,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.576923076923077,0.583333333333333,0.6,0.56,0.588235294117647,0.571428571428571
0.535,0.525,0.666666666666667,0.513513513513513,0.1,0.95,0.173913043478261,0.666666666666667,0.64,0.52,0.16,0.91,0.256,0.661818181818182
0.555,0.475,0.487179487179487,0,0.95,0,0.644067796610169,0,0.529100529100529,1,1,0.11,0.692041522491349,0.198198198198198
0.555,0.475,0.333333333333333,0.486486486486487,0.05,0.9,0.0869565217391304,0.631578947368421,0.761904761904762,0.53072625698324,0.16,0.95,0.264462809917355,0.681003584229391
0.58,0.5,0.5,0.5,0.05,0.95,0.0909090909090909,0.655172413793103,1,0.543478260869565,0.16,1,0.275862068965517,0.704225352112676
0.5,0.5,0,0.5,0,1,0,0.666666666666667,0.5,0.5,0.01,0.99,0.0196078431372549,0.664429530201342
0.515,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.515151515151515,0.514851485148515,0.51,0.52,0.512562814070352,0.517412935323383
0.52,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.525,0.516666666666667,0.42,0.62,0.466666666666667,0.563636363636364
0.525,0.5,0,0.5,0,1,0,0.666666666666667,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915
0.52,0.5,0.5,0,1,0,0.666666666666667,0,0.510869565217391,0.625,0.94,0.1,0.661971830985915,0.172413793103448
0.54,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.541666666666667,0.538461538461538,0.52,0.56,0.530612244897959,0.549019607843137
0.57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5546875,0.597222222222222,0.71,0.43,0.62280701754386,0.5
0.545,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.537190082644628,0.556962025316456,0.65,0.44,0.588235294117647,0.491620111731844
0.565,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.675675675675676,0.539877300613497,0.25,0.88,0.364963503649635,0.669201520912548
0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.53,0.53,0.53,0.53
0.52,0.4,0.428571428571429,0.333333333333333,0.6,0.2,0.5,0.25,0.528571428571429,0.515384615384615,0.37,0.67,0.435294117647059,0.582608695652174
0.515,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.515151515151515,0.514851485148515,0.51,0.52,0.512562814070352,0.517412935323383
0.525,0.425,0.457142857142857,0.2,0.8,0.05,0.581818181818182,0.08,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296
0.525,0.525,1,0.512820512820513,0.05,1,0.0952380952380952,0.677966101694915,0.6,0.514285714285714,0.15,0.9,0.24,0.654545454545455
0.455,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.457943925233645,0.451612903225806,0.49,0.42,0.473429951690821,0.435233160621762
0.57,0.6,0.666666666666667,0.571428571428571,0.4,0.8,0.5,0.666666666666667,0.547297297297297,0.634615384615385,0.81,0.33,0.653225806451613,0.434210526315789
0.52,0.425,0.285714285714286,0.454545454545455,0.1,0.75,0.148148148148148,0.566037735849057,0.51063829787234,0.666666666666667,0.96,0.08,0.666666666666667,0.142857142857143
0.525,0.425,0.448275862068966,0.363636363636364,0.65,0.2,0.530612244897959,0.258064516129032,0.51685393258427,0.548387096774194,0.766666666666667,0.283333333333333,0.61744966442953,0.373626373626374
0.595,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.6,0.59047619047619,0.57,0.62,0.584615384615385,0.604878048780488
0.53,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.519736842105263,0.5625,0.79,0.27,0.626984126984127,0.364864864864865
0.645,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.588957055214724,0.891891891891892,0.96,0.33,0.730038022813688,0.481751824817518
0.74,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.928571428571429,0.666666666666667,0.52,0.96,0.666666666666667,0.786885245901639
0.505,0.55,1,0.526315789473684,0.1,1,0.181818181818182,0.689655172413793,1,0.50251256281407,0.01,1,0.0198019801980198,0.668896321070234
0.53,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.534090909090909,0.526785714285714,0.47,0.59,0.5,0.556603773584906
