train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.7125,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.684782608695652,0.75,0.7875,0.6375,0.732558139534884,0.689189189189189
0.81875,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.819277108433735,0.818181818181818,0.829268292682927,0.807692307692308,0.824242424242424,0.812903225806452
0.9,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.906666666666667,0.894117647058824,0.883116883116883,0.91566265060241,0.894736842105263,0.904761904761905
0.7875,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,0.813333333333333,0.764705882352941,0.753086419753086,0.822784810126582,0.782051282051282,0.792682926829268
1,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1,1,1,1,1,1
0.9625,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.943181818181818,0.986111111111111,0.988095238095238,0.934210526315789,0.965116279069767,0.95945945945946
0.796875,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.792079207920792,0.802197802197802,0.816326530612245,0.776595744680851,0.804020100502513,0.789189189189189
0.79375,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.767441860465116,0.824324324324324,0.835443037974684,0.753086419753086,0.8,0.787096774193548
0.692708333333333,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.702127659574468,0.683673469387755,0.680412371134021,0.705263157894737,0.691099476439791,0.694300518134715
0.875,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.884615384615385,0.865853658536585,0.8625,0.8875,0.873417721518987,0.876543209876543
0.83125,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.833333333333333,0.829545454545455,0.8,0.858823529411765,0.816326530612245,0.84393063583815
0.825,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.839506172839506,0.810126582278481,0.819277108433735,0.831168831168831,0.829268292682927,0.82051282051282
0.85,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.846153846153846,0.853658536585366,0.846153846153846,0.853658536585366,0.846153846153846,0.853658536585366
0.84375,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.893939393939394,0.808510638297872,0.766233766233766,0.91566265060241,0.825174825174825,0.858757062146893
0.75625,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.73972602739726,0.770114942528736,0.72972972972973,0.779069767441861,0.73469387755102,0.774566473988439
0.85625,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.831325301204819,0.883116883116883,0.884615384615385,0.829268292682927,0.857142857142857,0.855345911949686
0.81875,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.815789473684211,0.821428571428571,0.805194805194805,0.831325301204819,0.810457516339869,0.826347305389222
0.8375,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.807228915662651,0.87012987012987,0.87012987012987,0.807228915662651,0.8375,0.8375
0.84375,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.85,0.8375,0.839506172839506,0.848101265822785,0.84472049689441,0.842767295597484
0.84375,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.843373493975904,0.844155844155844,0.853658536585366,0.833333333333333,0.848484848484848,0.838709677419355
0.84375,0.6,0.590909090909091,0.611111111111111,0.65,0.55,0.619047619047619,0.578947368421053,0.822784810126582,0.864197530864197,0.855263157894737,0.833333333333333,0.838709677419355,0.848484848484848
0.80625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.819277108433735,0.792207792207792,0.80952380952381,0.802631578947368,0.81437125748503,0.797385620915033
0.86875,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.91304347826087,0.835164835164835,0.807692307692308,0.926829268292683,0.857142857142857,0.878612716763006
0.80625,0.4,0.357142857142857,0.423076923076923,0.25,0.55,0.294117647058823,0.478260869565217,0.810126582278481,0.802469135802469,0.8,0.8125,0.80503144654088,0.807453416149068
0.7375,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.732558139534884,0.743243243243243,0.768292682926829,0.705128205128205,0.75,0.723684210526316
0.9875,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.976190476190476,1,1,0.974358974358974,0.987951807228916,0.987012987012987
0.8,0.35,0.285714285714286,0.384615384615385,0.2,0.5,0.235294117647059,0.434782608695652,0.838235294117647,0.771739130434783,0.730769230769231,0.865853658536585,0.780821917808219,0.816091954022989
0.8125,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.851351351351351,0.779069767441861,0.768292682926829,0.858974358974359,0.807692307692308,0.817073170731707
0.85625,0.65,0.625,0.6875,0.75,0.55,0.681818181818182,0.611111111111111,0.853658536585366,0.858974358974359,0.864197530864197,0.848101265822785,0.858895705521472,0.853503184713376
0.8625,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.864864864864865,0.86046511627907,0.842105263157895,0.880952380952381,0.853333333333333,0.870588235294118
0.89375,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.902777777777778,0.886363636363636,0.866666666666667,0.917647058823529,0.884353741496599,0.901734104046243
0.8875,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385
0.825,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.811111111111111,0.842857142857143,0.869047619047619,0.776315789473684,0.839080459770115,0.808219178082192
0.89375,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.928571428571429,0.866666666666667,0.844155844155844,0.939759036144578,0.884353741496599,0.901734104046243
0.94375,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.910112359550562,0.985915492957746,0.98780487804878,0.897435897435897,0.947368421052632,0.939597315436242
0.80625,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.876923076923077,0.757894736842105,0.7125,0.9,0.786206896551724,0.822857142857143
