,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.73125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.71875,0.75,0.811764705882353,0.64,0.762430939226519,0.690647482014388
1,0.7625,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.767441860465116,0.756756756756757,0.785714285714286,0.736842105263158,0.776470588235294,0.746666666666667
2,0.89375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.901234567901235,0.886075949367089,0.890243902439024,0.897435897435897,0.895705521472393,0.89171974522293
3,0.7625,0.4,0.388888888888889,0.409090909090909,0.35,0.45,0.368421052631579,0.428571428571429,0.729166666666667,0.8125,0.853658536585366,0.666666666666667,0.786516853932584,0.732394366197183
4,1.0,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.987341772151899,0.987654320987654,0.987341772151899,0.987654320987654,0.987341772151899,0.987654320987654
6,0.776041666666667,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.75,0.80952380952381,0.835051546391753,0.715789473684211,0.790243902439024,0.759776536312849
7,0.83125,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.831325301204819,0.831168831168831,0.841463414634146,0.82051282051282,0.836363636363636,0.825806451612903
8,0.729166666666667,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.731182795698925,0.727272727272727,0.715789473684211,0.742268041237113,0.723404255319149,0.73469387755102
9,0.85,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.842105263157895,0.857142857142857,0.842105263157895,0.857142857142857,0.842105263157895,0.857142857142857
10,0.8125,0.45,0.375,0.46875,0.15,0.75,0.214285714285714,0.576923076923077,0.815789473684211,0.80952380952381,0.794871794871795,0.829268292682927,0.805194805194805,0.819277108433735
11,0.85,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.819277108433735,0.883116883116883,0.883116883116883,0.819277108433735,0.85,0.85
