,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8125,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.851351351351351,0.779069767441861,0.768292682926829,0.858974358974359,0.807692307692308,0.817073170731707
1,0.83,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.84375,0.817307692307692,0.81,0.85,0.826530612244898,0.833333333333333
2,0.79375,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,0.79746835443038,0.790123456790123,0.7875,0.8,0.792452830188679,0.795031055900621
3,0.8375,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.849315068493151,0.827586206896552,0.805194805194805,0.867469879518072,0.826666666666667,0.847058823529412
4,0.86875,0.325,0.294117647058824,0.347826086956522,0.25,0.4,0.27027027027027,0.372093023255814,0.813953488372093,0.932432432432432,0.933333333333333,0.811764705882353,0.869565217391304,0.867924528301887
5,0.85,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.88,0.823529411764706,0.814814814814815,0.886075949367089,0.846153846153846,0.853658536585366
6,0.88125,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.881578947368421,0.880952380952381,0.87012987012987,0.891566265060241,0.875816993464052,0.88622754491018
7,0.875,0.35,0.333333333333333,0.363636363636364,0.3,0.4,0.315789473684211,0.380952380952381,0.9,0.85,0.857142857142857,0.894736842105263,0.878048780487805,0.871794871794872
8,0.825,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.844155844155844,0.807228915662651,0.802469135802469,0.848101265822785,0.822784810126582,0.827160493827161
9,0.81875,0.425,0.444444444444444,0.384615384615385,0.6,0.25,0.51063829787234,0.303030303030303,0.837837837837838,0.802325581395349,0.784810126582278,0.851851851851852,0.810457516339869,0.826347305389222
mean,0.83925,0.4250000000000001,0.4189591604757846,0.42757253671979756,0.44000000000000006,0.41,0.42670167006354937,0.41547565884775184,0.8499410892009077,0.8310555845643746,0.8233687625927255,0.8560541118582012,0.835616958075601,0.842560966430376
std,0.028916786743266552,0.06666666666666668,0.07510208756892257,0.06428917891277486,0.1390443574307614,0.06582805886043833,0.10319250167446768,0.05542894072659672,0.03105470106924482,0.046133403598969225,0.04971607108208758,0.031655785716264616,0.030337493635873687,0.027972238319663563
min,0.79375,0.325,0.294117647058824,0.347826086956522,0.25,0.25,0.27027027027027,0.303030303030303,0.79746835443038,0.779069767441861,0.768292682926829,0.8,0.792452830188679,0.795031055900621
25%,0.8203125,0.38125,0.364705882352941,0.3862876254180605,0.325,0.4,0.343243243243243,0.38571428571428573,0.8393158783783785,0.8035514149621745,0.7912422839506172,0.8485759493670888,0.8135393397865472,0.8265506024987067
50%,0.83375,0.425,0.4365079365079365,0.4105263157894735,0.42500000000000004,0.4,0.43003851091142453,0.4144305307096005,0.8467354563244975,0.820418552036199,0.8075974025974025,0.8554131054131056,0.8265986394557825,0.8401960784313725
75%,0.8640625,0.45,0.448611111111111,0.4534090909090912,0.5625,0.45,0.49547872340425503,0.4553571428571428,0.8728378378378377,0.844396551724138,0.8465608465608465,0.8814244319048348,0.8637123745819395,0.8643580303727567
max,0.88125,0.525,0.521739130434783,0.533333333333333,0.65,0.5,0.577777777777778,0.486486486486486,0.9,0.932432432432432,0.933333333333333,0.894736842105263,0.878048780487805,0.88622754491018
