,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.9,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.891566265060241,0.909090909090909,0.91358024691358,0.886075949367089,0.902439024390244,0.897435897435897
1,0.9,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.905405405405405,0.895348837209302,0.881578947368421,0.916666666666667,0.893333333333333,0.905882352941176
2,0.85,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,0.843137254901961,0.857142857142857,0.86,0.84,0.851485148514851,0.848484848484849
3,0.86875,0.35,0.4,0.2,0.6,0.1,0.48,0.133333333333333,0.850574712643678,0.89041095890411,0.902439024390244,0.833333333333333,0.875739644970414,0.860927152317881
4,0.89375,0.625,0.586206896551724,0.727272727272727,0.85,0.4,0.693877551020408,0.516129032258065,0.875,0.916666666666667,0.927710843373494,0.857142857142857,0.900584795321637,0.885906040268456
5,0.89375,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.877777777777778,0.914285714285714,0.929411764705882,0.853333333333333,0.902857142857143,0.882758620689655
6,0.8625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.868421052631579,0.857142857142857,0.846153846153846,0.878048780487805,0.857142857142857,0.867469879518072
7,0.88125,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.885714285714286,0.877777777777778,0.849315068493151,0.908045977011494,0.867132867132867,0.892655367231638
8,0.86875,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.884615384615385,0.853658536585366,0.851851851851852,0.886075949367089,0.867924528301887,0.869565217391304
9,0.86875,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.848101265822785,0.888888888888889,0.881578947368421,0.857142857142857,0.864516129032258,0.872727272727273
mean,0.8787499999999999,0.51,0.5109811357865958,0.5086680561552684,0.665,0.35500000000000004,0.5716210954324488,0.40275376663774687,0.8730313404573099,0.8860414003694448,0.884362054061889,0.8715865703852523,0.878315547099749,0.8783812649006201
std,0.017480147469502536,0.07472170590486632,0.05233240524062698,0.14759570767410182,0.14151953143569188,0.17392527130926086,0.07025511460432,0.15076071263276605,0.020422740150923362,0.02396281052959446,0.032391950739250316,0.02795749098429187,0.019731315495216013,0.017720398674254845
min,0.85,0.35,0.4,0.2,0.45,0.1,0.48,0.133333333333333,0.843137254901961,0.853658536585366,0.846153846153846,0.833333333333333,0.851485148514851,0.848484848484849
25%,0.86875,0.48124999999999996,0.48706896551724127,0.4659090909090912,0.6,0.21250000000000002,0.5241502683363151,0.31141439205955346,0.8550362976406533,0.8623015873015872,0.8538888888888889,0.8542857142857141,0.8651703135574103,0.86799371398638
50%,0.875,0.525,0.5240274599542335,0.5227743271221534,0.65,0.375,0.5683229813664594,0.4491255961844195,0.876388888888889,0.8896499238964994,0.881578947368421,0.867595818815331,0.8718320866361505,0.8777429467084641
75%,0.89375,0.5437500000000001,0.529411764705882,0.5735294117647057,0.7375,0.4875,0.5977191413237928,0.5314712824547597,0.8854395604395607,0.9056553911205072,0.910794941282746,0.886075949367089,0.898771929824561,0.8909680354908425
max,0.9,0.625,0.586206896551724,0.727272727272727,0.9,0.6,0.693877551020408,0.558139534883721,0.905405405405405,0.916666666666667,0.929411764705882,0.916666666666667,0.902857142857143,0.905882352941176
