,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.80952380952381,0.815789473684211,0.829268292682927,0.794871794871795,0.819277108433735,0.805194805194805
1,0.78125,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.816901408450704,0.752808988764045,0.725,0.8375,0.768211920529801,0.792899408284024
2,0.93125,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.914634146341463,0.948717948717949,0.949367088607595,0.91358024691358,0.93167701863354,0.930817610062893
3,0.89375,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.854166666666667,0.953125,0.964705882352941,0.813333333333333,0.906077348066298,0.877697841726619
4,1.0,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
5,0.96875,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.9875,0.95,0.951807228915663,0.987012987012987,0.969325153374233,0.968152866242038
6,0.8125,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.795918367346939,0.829787234042553,0.829787234042553,0.795918367346939,0.8125,0.8125
7,0.84375,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.857142857142857,0.831325301204819,0.825,0.8625,0.840764331210191,0.846625766871166
8,0.739583333333333,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.747368421052632,0.731958762886598,0.731958762886598,0.747368421052632,0.739583333333333,0.739583333333333
9,0.925,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.9125,0.9375,0.935897435897436,0.914634146341463,0.924050632911392,0.925925925925926
10,0.89375,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.922077922077922,0.867469879518072,0.865853658536585,0.923076923076923,0.893081761006289,0.894409937888199
11,0.9125,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.903614457831325,0.922077922077922,0.925925925925926,0.89873417721519,0.914634146341463,0.91025641025641
