,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.825,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.833333333333333,0.817073170731707,0.8125,0.8375,0.822784810126582,0.827160493827161
1,0.80625,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.810126582278481,0.802469135802469,0.8,0.8125,0.80503144654088,0.807453416149068
2,0.78,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.78,0.78,0.78,0.78,0.78,0.78
3,0.8,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.788888888888889,0.814285714285714,0.845238095238095,0.75,0.816091954022988,0.780821917808219
4,0.825,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.783132530120482,0.87012987012987,0.866666666666667,0.788235294117647,0.822784810126582,0.82716049382716
5,0.83125,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.822222222222222,0.842857142857143,0.870588235294118,0.786666666666667,0.845714285714286,0.813793103448276
6,0.8375,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.824324324324324,0.848837209302326,0.824324324324324,0.848837209302326,0.824324324324324,0.848837209302326
7,0.8125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.80952380952381,0.815789473684211,0.829268292682927,0.794871794871795,0.819277108433735,0.805194805194805
8,0.80625,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.773809523809524,0.842105263157895,0.844155844155844,0.771084337349398,0.807453416149068,0.805031446540881
9,0.78125,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.760869565217391,0.808823529411765,0.843373493975904,0.714285714285714,0.8,0.758620689655172
0,0.80625,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.8,0.813333333333333,0.829268292682927,0.782051282051282,0.81437125748503,0.797385620915033
1,0.80625,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.782608695652174,0.838235294117647,0.867469879518072,0.74025974025974,0.822857142857143,0.786206896551724
2,0.785,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.761467889908257,0.813186813186813,0.83,0.74,0.794258373205742,0.774869109947644
3,0.8125,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.764044943820225,0.873239436619718,0.883116883116883,0.746987951807229,0.819277108433735,0.805194805194805
4,0.7875,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.760869565217391,0.823529411764706,0.853658536585366,0.717948717948718,0.804597701149425,0.767123287671233
5,0.825,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.825581395348837,0.824324324324324,0.845238095238095,0.802631578947368,0.835294117647059,0.813333333333333
6,0.83125,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.822784810126582,0.839506172839506,0.833333333333333,0.829268292682927,0.828025477707006,0.834355828220859
7,0.78125,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.816901408450704,0.752808988764045,0.725,0.8375,0.768211920529801,0.792899408284024
8,0.79375,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.797297297297297,0.790697674418605,0.766233766233766,0.819277108433735,0.781456953642384,0.804733727810651
9,0.80625,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.833333333333333,0.784090909090909,0.759493670886076,0.851851851851852,0.794701986754967,0.816568047337278
0,0.94375,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.947368421052632,0.94047619047619,0.935064935064935,0.951807228915663,0.941176470588235,0.946107784431138
1,0.925,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.917647058823529,0.933333333333333,0.939759036144578,0.909090909090909,0.928571428571429,0.921052631578947
2,0.925,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.947368421052632,0.904761904761905,0.9,0.95,0.923076923076923,0.926829268292683
3,0.93125,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.904761904761905,0.960526315789474,0.962025316455696,0.901234567901235,0.932515337423313,0.929936305732484
4,0.93125,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.945945945945946,0.918604651162791,0.909090909090909,0.951807228915663,0.927152317880795,0.93491124260355
5,0.93125,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.938271604938272,0.924050632911392,0.926829268292683,0.935897435897436,0.932515337423313,0.929936305732484
6,0.925,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.916666666666667,0.934210526315789,0.939024390243902,0.91025641025641,0.927710843373494,0.922077922077922
7,0.93125,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.914634146341463,0.948717948717949,0.949367088607595,0.91358024691358,0.93167701863354,0.930817610062893
8,0.90625,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.930555555555556,0.886363636363636,0.87012987012987,0.939759036144578,0.899328859060403,0.912280701754386
9,0.93125,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.935064935064935,0.927710843373494,0.923076923076923,0.939024390243902,0.929032258064516,0.933333333333333
0,0.975,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.98780487804878,0.961538461538462,0.964285714285714,0.986842105263158,0.975903614457831,0.974025974025974
1,0.98125,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
2,0.97,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.989583333333333,0.951923076923077,0.95,0.99,0.969387755102041,0.970588235294118
3,0.9875,0.575,0.615384615384615,0.555555555555556,0.4,0.75,0.484848484848485,0.638297872340426,0.987179487179487,0.98780487804878,0.987179487179487,0.98780487804878,0.987179487179487,0.98780487804878
4,0.98125,0.7,0.666666666666667,0.75,0.8,0.6,0.727272727272727,0.666666666666667,0.965909090909091,1.0,1.0,0.96,0.982658959537572,0.979591836734694
5,0.98125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.964285714285714,0.962025316455696,1.0,0.980645161290323,0.981818181818182
6,0.99375,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,1.0,0.98780487804878,0.987341772151899,1.0,0.993630573248408,0.993865030674847
7,0.96875,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.9875,0.95,0.951807228915663,0.987012987012987,0.969325153374233,0.968152866242038
8,0.96875,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.952380952380952,0.986842105263158,0.987654320987654,0.949367088607595,0.96969696969697,0.967741935483871
9,0.9875,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,1.0,0.973684210526316,0.976744186046512,1.0,0.988235294117647,0.986666666666667
0,0.875,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.864197530864197,0.886075949367089,0.886075949367089,0.864197530864197,0.875,0.875
1,0.85625,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.857142857142857,0.855421686746988,0.846153846153846,0.865853658536585,0.851612903225806,0.860606060606061
2,0.795,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.792079207920792,0.797979797979798,0.8,0.79,0.796019900497513,0.793969849246231
3,0.825,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.863013698630137,0.793103448275862,0.777777777777778,0.873417721518987,0.818181818181818,0.831325301204819
4,0.85625,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.85,0.8625,0.860759493670886,0.851851851851852,0.855345911949686,0.857142857142857
5,0.83125,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.839506172839506,0.822784810126582,0.829268292682927,0.833333333333333,0.834355828220859,0.828025477707006
6,0.825,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.814814814814815,0.835443037974684,0.835443037974684,0.814814814814815,0.825,0.825
7,0.84375,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.857142857142857,0.831325301204819,0.825,0.8625,0.840764331210191,0.846625766871166
8,0.85,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.871428571428571,0.833333333333333,0.802631578947368,0.892857142857143,0.835616438356164,0.862068965517241
9,0.8125,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.831168831168831,0.795180722891566,0.790123456790123,0.835443037974684,0.810126582278481,0.814814814814815
0,0.90625,0.675,0.705882352941177,0.652173913043478,0.6,0.75,0.648648648648649,0.697674418604651,0.901234567901235,0.911392405063291,0.9125,0.9,0.906832298136646,0.905660377358491
1,0.89375,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.870588235294118,0.92,0.925,0.8625,0.896969696969697,0.890322580645161
2,0.895,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.891089108910891,0.898989898989899,0.9,0.89,0.895522388059702,0.894472361809045
3,0.86875,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.876543209876543,0.860759493670886,0.865853658536585,0.871794871794872,0.871165644171779,0.866242038216561
4,0.90625,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.902439024390244,0.91025641025641,0.91358024691358,0.89873417721519,0.907975460122699,0.904458598726115
