,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.90625,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.906666666666667,0.905882352941176,0.894736842105263,0.916666666666667,0.900662251655629,0.911242603550296
1,0.8875,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.878048780487805,0.897435897435897,0.9,0.875,0.888888888888889,0.886075949367089
2,0.935,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.967741935483871,0.906542056074766,0.9,0.97,0.932642487046632,0.93719806763285
3,0.93125,0.65,0.625,0.6875,0.75,0.55,0.681818181818182,0.611111111111111,0.96,0.905882352941176,0.9,0.9625,0.929032258064516,0.933333333333333
4,0.9625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.947368421052632,0.976190476190476,0.972972972972973,0.953488372093023,0.96,0.964705882352941
5,0.91875,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.893617021276596,0.954545454545455,0.96551724137931,0.863013698630137,0.928176795580111,0.906474820143885
6,0.95,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.91566265060241,0.987012987012987,0.987012987012987,0.91566265060241,0.95,0.95
7,0.89375,0.675,0.705882352941177,0.652173913043478,0.6,0.75,0.648648648648649,0.697674418604651,0.911764705882353,0.880434782608696,0.849315068493151,0.931034482758621,0.879432624113475,0.905027932960894
8,0.9125,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.891566265060241,0.935064935064935,0.936708860759494,0.888888888888889,0.91358024691358,0.911392405063291
9,0.8625,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.855263157894737,0.869047619047619,0.855263157894737,0.869047619047619,0.855263157894737,0.869047619047619
mean,0.916,0.5574999999999999,0.5526868754194427,0.565895675438514,0.6449999999999999,0.47000000000000003,0.5916516449464612,0.5076088041341231,0.9127699604407311,0.9218038913863182,0.9161527130617915,0.9145302378687366,0.9137678710157567,0.9174498613452198
std,0.030177714367467332,0.07732507139774697,0.0787092947686669,0.08721226060086706,0.10658851303546321,0.13784048752090222,0.07605904620094571,0.11287645493721707,0.036248066606554975,0.03984181631841453,0.047755524208102106,0.03960458238284249,0.03272700808037071,0.029082253951789084
min,0.8625,0.425,0.421052631578947,0.428571428571429,0.4,0.2,0.41025641025641,0.275862068965517,0.855263157894737,0.869047619047619,0.849315068493151,0.863013698630137,0.855263157894737,0.869047619047619
25%,0.8968750000000001,0.50625,0.5054347826086958,0.5073529411764706,0.6,0.41250000000000003,0.5656634746922025,0.45454545454545425,0.8920789541143297,0.8995475113122168,0.8960526315789473,0.8784722222222222,0.891832229580574,0.9053896547566418
50%,0.9156249999999999,0.575,0.560386473429952,0.588235294117647,0.65,0.475,0.604651162790698,0.513513513513513,0.90921568627451,0.906212204507971,0.9,0.9161646586345384,0.9208785212468455,0.9113175043067935
75%,0.9340625,0.59375,0.5788043478260868,0.6225961538461537,0.7375,0.5,0.6378143133462285,0.551801801801802,0.9394419784400765,0.949675324675325,0.958315146224356,0.9478748997594224,0.931739929801103,0.9362318840579708
max,0.9625,0.675,0.705882352941177,0.6875,0.75,0.75,0.681818181818182,0.697674418604651,0.967741935483871,0.987012987012987,0.987012987012987,0.97,0.96,0.964705882352941
