,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.81875,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.793103448275862,0.849315068493151,0.8625,0.775,0.826347305389222,0.810457516339869
1,0.8125,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.797752808988764,0.830985915492958,0.855421686746988,0.766233766233766,0.825581395348837,0.797297297297297
2,0.9375,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.939759036144578,0.935064935064935,0.939759036144578,0.935064935064935,0.939759036144578,0.935064935064935
3,0.81875,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.813953488372093,0.824324324324324,0.843373493975904,0.792207792207792,0.828402366863905,0.80794701986755
4,1.0,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,1.0,1.0,1.0,1.0,1.0,1.0
5,0.98125,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
6,0.8125,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.804123711340206,0.821052631578947,0.821052631578947,0.804123711340206,0.8125,0.8125
7,0.83125,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.814814814814815,0.848101265822785,0.846153846153846,0.817073170731707,0.830188679245283,0.832298136645963
8,0.770833333333333,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.783505154639175,0.757894736842105,0.767676767676768,0.774193548387097,0.775510204081633,0.765957446808511
9,0.88125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.896103896103896,0.867469879518072,0.8625,0.9,0.878980891719745,0.883435582822086
10,0.88125,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.897435897435897,0.865853658536585,0.864197530864197,0.89873417721519,0.880503144654088,0.881987577639752
11,0.89375,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.9,0.8875,0.888888888888889,0.89873417721519,0.894409937888199,0.893081761006289
12,0.85625,0.425,0.459459459459459,0.0,0.85,0.0,0.596491228070175,0.0,0.884615384615385,0.829268292682927,0.831325301204819,0.883116883116883,0.857142857142857,0.855345911949686
13,0.875,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.902439024390244,0.846153846153846,0.86046511627907,0.891891891891892,0.880952380952381,0.868421052631579
14,0.825,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.787234042553192,0.878787878787879,0.902439024390244,0.743589743589744,0.840909090909091,0.805555555555556
15,0.85625,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.862068965517241,0.849315068493151,0.872093023255814,0.837837837837838,0.867052023121387,0.843537414965986
16,0.80625,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.794520547945205,0.816091954022989,0.783783783783784,0.825581395348837,0.789115646258503,0.820809248554913
17,0.875,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.869047619047619,0.881578947368421,0.890243902439024,0.858974358974359,0.879518072289157,0.87012987012987
18,0.88125,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.862068965517241,0.904109589041096,0.914634146341463,0.846153846153846,0.887573964497041,0.874172185430464
19,0.88125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.906666666666667,0.858823529411765,0.85,0.9125,0.87741935483871,0.884848484848485
20,0.9,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.877777777777778,0.928571428571429,0.94047619047619,0.855263157894737,0.908045977011494,0.89041095890411
21,0.88125,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.872093023255814,0.891891891891892,0.903614457831325,0.857142857142857,0.887573964497042,0.874172185430464
22,0.90625,0.575,0.551724137931034,0.636363636363636,0.8,0.35,0.653061224489796,0.451612903225806,0.890243902439024,0.923076923076923,0.924050632911392,0.888888888888889,0.906832298136646,0.905660377358491
23,0.88125,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.8875,0.875,0.876543209876543,0.886075949367089,0.881987577639751,0.880503144654088
24,0.83125,0.375,0.368421052631579,0.380952380952381,0.35,0.4,0.358974358974359,0.390243902439024,0.857142857142857,0.807228915662651,0.804878048780488,0.858974358974359,0.830188679245283,0.832298136645963
25,0.9875,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.975903614457831,1.0,1.0,0.974683544303797,0.98780487804878,0.987179487179487
26,0.81875,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.819277108433735,0.818181818181818,0.829268292682927,0.807692307692308,0.824242424242424,0.812903225806452
