,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.825,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.802325581395349,0.851351351351351,0.8625,0.7875,0.831325301204819,0.818181818181818
1,0.81875,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.793103448275862,0.849315068493151,0.8625,0.775,0.826347305389222,0.810457516339869
2,0.77,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.759615384615385,0.78125,0.79,0.75,0.774509803921569,0.76530612244898
3,0.7625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.739583333333333,0.796875,0.845238095238095,0.671052631578947,0.788888888888889,0.728571428571429
4,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.79746835443038,0.851851851851852,0.84,0.811764705882353,0.818181818181818,0.831325301204819
5,0.775,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.802469135802469,0.746835443037975,0.764705882352941,0.786666666666667,0.783132530120482,0.766233766233766
6,0.81875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.808219178082192,0.827586206896552,0.797297297297297,0.837209302325581,0.802721088435374,0.832369942196532
7,0.79375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.781609195402299,0.808219178082192,0.829268292682927,0.756410256410256,0.804733727810651,0.781456953642384
8,0.775,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.753086419753086,0.79746835443038,0.792207792207792,0.759036144578313,0.772151898734177,0.777777777777778
9,0.79375,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.765957446808511,0.833333333333333,0.867469879518072,0.714285714285714,0.813559322033898,0.769230769230769
0,0.79375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.781609195402299,0.808219178082192,0.829268292682927,0.756410256410256,0.804733727810651,0.781456953642384
1,0.8125,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.797752808988764,0.830985915492958,0.855421686746988,0.766233766233766,0.825581395348837,0.797297297297297
2,0.775,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.777777777777778,0.772277227722772,0.77,0.78,0.773869346733668,0.776119402985075
3,0.8,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.747252747252747,0.869565217391304,0.883116883116883,0.72289156626506,0.80952380952381,0.789473684210526
4,0.775,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.761363636363636,0.791666666666667,0.817073170731707,0.730769230769231,0.788235294117647,0.76
5,0.80625,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.804597701149425,0.808219178082192,0.833333333333333,0.776315789473684,0.818713450292398,0.791946308724832
6,0.78125,0.725,0.8,0.68,0.6,0.85,0.685714285714286,0.755555555555556,0.765432098765432,0.79746835443038,0.794871794871795,0.768292682926829,0.779874213836478,0.782608695652174
7,0.7875,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.773809523809524,0.802631578947368,0.8125,0.7625,0.792682926829268,0.782051282051282
8,0.8125,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.830985915492958,0.797752808988764,0.766233766233766,0.855421686746988,0.797297297297297,0.825581395348837
9,0.775,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.779220779220779,0.771084337349398,0.759493670886076,0.790123456790123,0.769230769230769,0.780487804878049
0,0.91875,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.921052631578947,0.916666666666667,0.909090909090909,0.927710843373494,0.915032679738562,0.922155688622754
1,0.9375,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.939759036144578,0.935064935064935,0.939759036144578,0.935064935064935,0.939759036144578,0.935064935064935
2,0.905,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.926315789473684,0.885714285714286,0.88,0.93,0.902564102564102,0.907317073170732
3,0.9375,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.936708860759494,0.938271604938272,0.936708860759494,0.938271604938272,0.936708860759494,0.938271604938272
4,0.91875,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.944444444444444,0.897727272727273,0.883116883116883,0.951807228915663,0.912751677852349,0.923976608187134
5,0.95,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.951219512195122,0.948717948717949,0.951219512195122,0.948717948717949,0.951219512195122,0.948717948717949
6,0.94375,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.939759036144578,0.948051948051948,0.951219512195122,0.935897435897436,0.945454545454545,0.941935483870968
7,0.9,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.89873417721519,0.901234567901235,0.89873417721519,0.901234567901235,0.89873417721519,0.901234567901235
8,0.9,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.917808219178082,0.885057471264368,0.87012987012987,0.927710843373494,0.893333333333333,0.905882352941177
9,0.9125,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.921052631578947,0.904761904761905,0.897435897435897,0.926829268292683,0.909090909090909,0.91566265060241
0,0.8375,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.816091954022989,0.863013698630137,0.876543209876543,0.79746835443038,0.845238095238095,0.828947368421053
1,0.81875,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.813953488372093,0.824324324324324,0.843373493975904,0.792207792207792,0.828402366863905,0.80794701986755
2,0.805,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.796116504854369,0.814432989690722,0.82,0.79,0.807881773399015,0.802030456852792
3,0.86875,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.886075949367089,0.851851851851852,0.853658536585366,0.884615384615385,0.869565217391304,0.867924528301887
4,0.78125,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.777777777777778,0.785714285714286,0.823529411764706,0.733333333333333,0.8,0.758620689655172
5,0.89375,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.865168539325843,0.929577464788732,0.939024390243902,0.846153846153846,0.900584795321637,0.885906040268456
6,0.8625,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.843373493975904,0.883116883116883,0.886075949367089,0.839506172839506,0.864197530864197,0.860759493670886
7,0.89375,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.886363636363636,0.902777777777778,0.917647058823529,0.866666666666667,0.901734104046243,0.884353741496599
8,0.8375,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.885714285714286,0.8,0.775,0.9,0.826666666666667,0.847058823529412
9,0.83125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.839506172839506,0.822784810126582,0.829268292682927,0.833333333333333,0.834355828220859,0.828025477707006
0,0.9875,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,1.0,0.974358974358974,0.976190476190476,1.0,0.987951807228916,0.987012987012987
1,0.98125,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
2,0.975,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.97979797979798,0.97029702970297,0.97,0.98,0.974874371859296,0.975124378109453
3,0.98125,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.987012987012987,0.975903614457831,0.974358974358974,0.98780487804878,0.980645161290323,0.981818181818182
4,0.975,0.65,0.625,0.6875,0.75,0.55,0.681818181818182,0.611111111111111,0.976470588235294,0.973333333333333,0.976470588235294,0.973333333333333,0.976470588235294,0.973333333333333
