,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.825,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.802325581395349,0.851351351351351,0.8625,0.7875,0.831325301204819,0.818181818181818
1,0.81875,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.793103448275862,0.849315068493151,0.8625,0.775,0.826347305389222,0.810457516339869
2,0.77,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.759615384615385,0.78125,0.79,0.75,0.774509803921569,0.76530612244898
3,0.7625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.739583333333333,0.796875,0.845238095238095,0.671052631578947,0.788888888888889,0.728571428571429
4,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.79746835443038,0.851851851851852,0.84,0.811764705882353,0.818181818181818,0.831325301204819
5,0.775,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.802469135802469,0.746835443037975,0.764705882352941,0.786666666666667,0.783132530120482,0.766233766233766
6,0.81875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.808219178082192,0.827586206896552,0.797297297297297,0.837209302325581,0.802721088435374,0.832369942196532
7,0.79375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.781609195402299,0.808219178082192,0.829268292682927,0.756410256410256,0.804733727810651,0.781456953642384
8,0.775,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.753086419753086,0.79746835443038,0.792207792207792,0.759036144578313,0.772151898734177,0.777777777777778
9,0.79375,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.765957446808511,0.833333333333333,0.867469879518072,0.714285714285714,0.813559322033898,0.769230769230769
mean,0.7957500000000001,0.5574999999999999,0.5644563182252307,0.5539925451786065,0.5349999999999999,0.58,0.5441587729139029,0.5621954946007326,0.7803437477898867,0.8144085787476787,0.8251187239297124,0.7648925421727831,0.8015551684720899,0.7880911395828145
std,0.024510485284646815,0.04090979236211192,0.04410226325116315,0.041938114360650536,0.0944281031614353,0.11832159566199231,0.05351968791233692,0.07174855756271269,0.0241487080360339,0.034665629268028825,0.03647220827122589,0.04738623581963664,0.021157480697647987,0.03379858320315772
min,0.7625,0.475,0.48,0.466666666666667,0.4,0.35,0.470588235294118,0.4,0.739583333333333,0.746835443037975,0.764705882352941,0.671052631578947,0.772151898734177,0.728571428571429
25%,0.775,0.55,0.5468750000000002,0.538461538461538,0.4625,0.5125,0.5032051282051282,0.5375741595253785,0.7612009001636665,0.797023338607595,0.7934801684801682,0.751602564102564,0.7845716198125837,0.7669830169830167
50%,0.79375,0.55,0.5683229813664594,0.5520833333333335,0.55,0.6,0.5487179487179485,0.588137472283814,0.7873563218390804,0.817902692489372,0.8346341463414635,0.7670180722891565,0.8037274081230126,0.779617365710081
75%,0.81875,0.575,0.5770676691729325,0.584033613445378,0.6,0.6875,0.593673218673219,0.6065217391304347,0.8011112746541068,0.8453196347031965,0.8581845238095238,0.7872916666666667,0.817026194144838,0.8162507427213308
max,0.825,0.625,0.647058823529412,0.608695652173913,0.65,0.7,0.604651162790698,0.651162790697674,0.808219178082192,0.851851851851852,0.867469879518072,0.837209302325581,0.831325301204819,0.832369942196532
