,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.70625,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.739130434782609,0.681318681318681,0.6375,0.775,0.684563758389262,0.725146198830409
1,0.70625,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.714285714285714,0.698795180722892,0.6875,0.725,0.700636942675159,0.711656441717792
2,0.67,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.673469387755102,0.666666666666667,0.66,0.68,0.666666666666667,0.673267326732673
3,0.74375,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.752941176470588,0.733333333333333,0.761904761904762,0.723684210526316,0.757396449704142,0.728476821192053
4,0.6875,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177
5,0.70625,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.706521739130435,0.705882352941177,0.764705882352941,0.64,0.734463276836158,0.671328671328671
6,0.675,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.689655172413793,0.666666666666667,0.540540540540541,0.790697674418605,0.606060606060606,0.723404255319149
7,0.6875,0.575,0.666666666666667,0.548387096774194,0.3,0.85,0.413793103448276,0.666666666666667,0.710526315789474,0.666666666666667,0.658536585365854,0.717948717948718,0.683544303797468,0.691358024691358
8,0.7375,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.716049382716049,0.759493670886076,0.753246753246753,0.72289156626506,0.734177215189873,0.740740740740741
9,0.6625,0.55,0.541666666666667,0.5625,0.65,0.45,0.590909090909091,0.5,0.666666666666667,0.657534246575342,0.698795180722892,0.623376623376623,0.682352941176471,0.64
0,0.75,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.728260869565217,0.779411764705882,0.817073170731707,0.67948717948718,0.770114942528736,0.726027397260274
1,0.725,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.705263157894737,0.753846153846154,0.807228915662651,0.636363636363636,0.752808988764045,0.690140845070423
2,0.68,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.673076923076923,0.6875,0.7,0.66,0.686274509803922,0.673469387755102
3,0.7125,0.4,0.409090909090909,0.388888888888889,0.45,0.35,0.428571428571429,0.368421052631579,0.69620253164557,0.728395061728395,0.714285714285714,0.710843373493976,0.705128205128205,0.719512195121951
4,0.69375,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.666666666666667,0.737704918032787,0.804878048780488,0.576923076923077,0.729281767955801,0.647482014388489
5,0.6875,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.688888888888889,0.685714285714286,0.738095238095238,0.631578947368421,0.71264367816092,0.657534246575342
6,0.69375,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.683544303797468,0.703703703703704,0.692307692307692,0.695121951219512,0.687898089171975,0.699386503067485
7,0.65625,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.628865979381443,0.698412698412698,0.7625,0.55,0.689265536723164,0.615384615384615
8,0.7,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.683544303797468,0.716049382716049,0.701298701298701,0.698795180722892,0.692307692307692,0.707317073170732
9,0.725,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.721518987341772,0.728395061728395,0.721518987341772,0.728395061728395,0.721518987341772,0.728395061728395
0,0.8125,0.7,0.785714285714286,0.653846153846154,0.55,0.85,0.647058823529412,0.739130434782609,0.783132530120482,0.844155844155844,0.844155844155844,0.783132530120482,0.8125,0.8125
1,0.7875,0.6,0.7,0.566666666666667,0.35,0.85,0.466666666666667,0.68,0.788235294117647,0.786666666666667,0.807228915662651,0.766233766233766,0.797619047619048,0.776315789473684
2,0.765,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.730434782608696,0.811764705882353,0.84,0.69,0.781395348837209,0.745945945945946
3,0.7875,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.784810126582278,0.790123456790123,0.784810126582278,0.790123456790123,0.784810126582278,0.790123456790123
4,0.80625,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.802631578947368,0.80952380952381,0.792207792207792,0.819277108433735,0.797385620915033,0.81437125748503
5,0.7875,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.779069767441861,0.797297297297297,0.817073170731707,0.756410256410256,0.797619047619048,0.776315789473684
6,0.7625,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.72,0.833333333333333,0.878048780487805,0.641025641025641,0.791208791208791,0.72463768115942
7,0.75,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.753246753246753,0.746987951807229,0.734177215189873,0.765432098765432,0.743589743589744,0.75609756097561
8,0.81875,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.8,0.8375,0.831168831168831,0.807228915662651,0.815286624203822,0.822085889570552
9,0.76875,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.741176470588235,0.8,0.807692307692308,0.731707317073171,0.773006134969325,0.764331210191083
0,0.9,0.725,0.695652173913043,0.764705882352941,0.8,0.65,0.744186046511628,0.702702702702703,0.914634146341463,0.884615384615385,0.892857142857143,0.907894736842105,0.903614457831325,0.896103896103896
1,0.89375,0.75,0.916666666666667,0.678571428571429,0.55,0.95,0.6875,0.791666666666667,0.872093023255814,0.918918918918919,0.925925925925926,0.860759493670886,0.898203592814371,0.888888888888889
2,0.9,0.675,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667,0.87037037037037,0.934782608695652,0.94,0.86,0.903846153846154,0.895833333333333
3,0.925,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.9125,0.9375,0.935897435897436,0.914634146341463,0.924050632911392,0.925925925925926
4,0.90625,0.725,0.764705882352941,0.695652173913043,0.65,0.8,0.702702702702703,0.744186046511628,0.906976744186046,0.905405405405405,0.917647058823529,0.893333333333333,0.912280701754386,0.899328859060403
5,0.9375,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.91566265060241,0.961038961038961,0.962025316455696,0.91358024691358,0.938271604938272,0.936708860759494
6,0.90625,0.675,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667,0.9,0.9125,0.911392405063291,0.901234567901235,0.905660377358491,0.906832298136646
7,0.94375,0.75,0.727272727272727,0.777777777777778,0.8,0.7,0.761904761904762,0.736842105263158,0.930232558139535,0.959459459459459,0.963855421686747,0.922077922077922,0.946745562130178,0.940397350993378
8,0.925,0.675,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667,0.91566265060241,0.935064935064935,0.938271604938272,0.911392405063291,0.926829268292683,0.923076923076923
9,0.9125,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.9,0.928571428571429,0.941860465116279,0.878378378378378,0.920454545454546,0.902777777777778
0,0.73125,0.525,0.514285714285714,0.6,0.9,0.15,0.654545454545455,0.24,0.7,0.771428571428571,0.79746835443038,0.666666666666667,0.745562130177515,0.71523178807947
1,0.7,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,0.659574468085106,0.757575757575758,0.794871794871795,0.609756097560976,0.72093023255814,0.675675675675676
2,0.715,0.525,0.512820512820513,1.0,1.0,0.05,0.677966101694915,0.0952380952380952,0.669291338582677,0.794520547945205,0.85,0.58,0.748898678414097,0.670520231213873
3,0.69375,0.55,0.526315789473684,1.0,1.0,0.1,0.689655172413793,0.181818181818182,0.66,0.75,0.814814814814815,0.569620253164557,0.729281767955801,0.647482014388489
4,0.6875,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.652631578947368,0.738461538461539,0.784810126582278,0.592592592592593,0.71264367816092,0.657534246575342
5,0.675,0.55,0.527777777777778,0.75,0.95,0.15,0.678571428571428,0.25,0.674418604651163,0.675675675675676,0.707317073170732,0.641025641025641,0.69047619047619,0.657894736842105
6,0.71875,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.7125,0.725,0.721518987341772,0.716049382716049,0.716981132075472,0.720496894409938
7,0.70625,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.67741935483871,0.746268656716418,0.7875,0.625,0.728323699421965,0.680272108843538
8,0.76875,0.425,0.454545454545455,0.285714285714286,0.75,0.1,0.566037735849057,0.148148148148148,0.746835443037975,0.790123456790123,0.776315789473684,0.761904761904762,0.761290322580645,0.775757575757576
9,0.775,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.784810126582278,0.765432098765432,0.765432098765432,0.784810126582278,0.775,0.775
0,0.75,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.785714285714286,0.722222222222222,0.6875,0.8125,0.733333333333333,0.764705882352941
1,0.73125,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.753424657534247,0.71264367816092,0.6875,0.775,0.718954248366013,0.74251497005988
2,0.71,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.714285714285714,0.705882352941177,0.7,0.72,0.707070707070707,0.712871287128713
3,0.7375,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.738095238095238,0.736842105263158,0.75609756097561,0.717948717948718,0.746987951807229,0.727272727272727
4,0.71875,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.736842105263158,0.702380952380952,0.691358024691358,0.746835443037975,0.713375796178344,0.723926380368098
5,0.7625,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.771428571428571,0.755555555555556,0.710526315789474,0.80952380952381,0.73972602739726,0.781609195402299
6,0.66875,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.683544303797468,0.654320987654321,0.658536585365854,0.67948717948718,0.670807453416149,0.666666666666667
7,0.7625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.77027027027027,0.755813953488372,0.730769230769231,0.792682926829268,0.75,0.773809523809524
8,0.7625,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.775,0.75,0.75609756097561,0.769230769230769,0.765432098765432,0.759493670886076
9,0.775,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.759493670886076,0.790123456790123,0.779220779220779,0.771084337349398,0.769230769230769,0.780487804878049
0,0.725,0.6,0.666666666666667,0.571428571428571,0.4,0.8,0.5,0.666666666666667,0.691358024691358,0.759493670886076,0.746666666666667,0.705882352941177,0.717948717948718,0.731707317073171
1,0.69375,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.695121951219512,0.692307692307692,0.703703703703704,0.683544303797468,0.699386503067485,0.687898089171975
2,0.715,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.693693693693694,0.741573033707865,0.77,0.66,0.729857819905213,0.698412698412698
3,0.74375,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.8,0.71,0.623376623376623,0.855421686746988,0.700729927007299,0.775956284153005
