,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.7875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.786666666666667,0.788235294117647,0.766233766233766,0.807228915662651,0.776315789473684,0.797619047619048
1,0.75625,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.747126436781609,0.767123287671233,0.792682926829268,0.717948717948718,0.769230769230769,0.741721854304636
2,0.75,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.731481481481482,0.771739130434783,0.79,0.71,0.759615384615385,0.739583333333333
3,0.7625,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.767441860465116,0.756756756756757,0.785714285714286,0.736842105263158,0.776470588235294,0.746666666666667
4,0.75625,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.76,0.752941176470588,0.730769230769231,0.780487804878049,0.745098039215686,0.766467065868263
5,0.80625,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.797619047619048,0.815789473684211,0.827160493827161,0.784810126582278,0.812121212121212,0.8
6,0.7875,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.764044943820225,0.816901408450704,0.839506172839506,0.734177215189873,0.8,0.773333333333333
7,0.78125,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.775,0.7875,0.784810126582278,0.777777777777778,0.779874213836478,0.782608695652174
8,0.775,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.8125,0.75,0.684210526315789,0.857142857142857,0.742857142857143,0.8
9,0.81875,0.7,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714,0.830985915492958,0.808988764044944,0.776315789473684,0.857142857142857,0.802721088435374,0.832369942196532
mean,0.778125,0.5625,0.5720522774327123,0.5556777046482928,0.515,0.61,0.539829801361589,0.5799353192831452,0.7772866352327105,0.7815975291630866,0.777740331858497,0.7763558377588218,0.7764304228021024,0.7780369938973986
std,0.02267868860112213,0.0699702317656111,0.07949222836334886,0.06382211088429512,0.08181958472422385,0.10488088481701516,0.07384616777582641,0.07944031837053185,0.030201276394441093,0.02579400848099495,0.04451349021727184,0.05296923857098654,0.023513341059295107,0.030292522532021023
min,0.75,0.475,0.478260869565217,0.470588235294118,0.4,0.4,0.444444444444444,0.432432432432432,0.731481481481482,0.75,0.684210526315789,0.71,0.742857142857143,0.739583333333333
25%,0.7578125,0.5125,0.5125,0.5096153846153845,0.4625,0.5625,0.483170134638923,0.5465909090909087,0.7610112359550563,0.759348389485376,0.7687542720437455,0.7348434377081943,0.7620192307692311,0.751616766467066
50%,0.778125,0.55,0.555555555555556,0.545454545454545,0.525,0.6,0.526315789473684,0.571428571428571,0.771220930232558,0.7796195652173915,0.785262206148282,0.7791327913279136,0.776393188854489,0.7779710144927534
75%,0.7875,0.5875,0.5928571428571427,0.5875,0.55,0.6749999999999999,0.5875,0.6065217391304347,0.7948809523809528,0.8038003965631197,0.792012195121951,0.8016242183925577,0.7949685534591195,0.7994047619047621
max,0.81875,0.7,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714,0.830985915492958,0.816901408450704,0.839506172839506,0.857142857142857,0.812121212121212,0.832369942196532
