,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.73125,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.734177215189873,0.728395061728395,0.725,0.7375,0.729559748427673,0.732919254658385
1,0.70625,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.725,0.6875,0.698795180722892,0.714285714285714,0.711656441717792,0.700636942675159
2,0.79375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.804878048780488,0.782051282051282,0.795180722891566,0.792207792207792,0.8,0.787096774193548
3,0.70625,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.695652173913043,0.720588235294118,0.771084337349398,0.636363636363636,0.731428571428571,0.675862068965517
4,1.0,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9625,0.6,0.590909090909091,0.611111111111111,0.65,0.55,0.619047619047619,0.578947368421053,0.951807228915663,0.974025974025974,0.975308641975309,0.949367088607595,0.963414634146341,0.961538461538461
6,0.770833333333333,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,0.768421052631579,0.77319587628866,0.768421052631579,0.77319587628866,0.768421052631579,0.77319587628866
7,0.73125,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.705882352941177,0.76,0.769230769230769,0.695121951219512,0.736196319018405,0.726114649681529
8,0.703125,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.71,0.695652173913043,0.717171717171717,0.688172043010753,0.71356783919598,0.691891891891892
9,0.73125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.776119402985075,0.698924731182796,0.65,0.8125,0.707482993197279,0.751445086705202
10,0.73125,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.715909090909091,0.75,0.777777777777778,0.683544303797468,0.745562130177515,0.71523178807947
11,0.875,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.886075949367089,0.864197530864197,0.864197530864197,0.886075949367089,0.875,0.875
12,0.79375,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.8125,0.775,0.783132530120482,0.805194805194805,0.797546012269939,0.789808917197452
13,0.79375,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.811764705882353,0.773333333333333,0.802325581395349,0.783783783783784,0.807017543859649,0.778523489932886
14,0.7,0.375,0.424242424242424,0.142857142857143,0.7,0.05,0.528301886792453,0.0740740740740741,0.680851063829787,0.727272727272727,0.780487804878049,0.615384615384615,0.727272727272727,0.666666666666667
15,0.775,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.75,0.816666666666667,0.872093023255814,0.662162162162162,0.806451612903226,0.73134328358209
16,0.70625,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.745454545454545,0.685714285714286,0.554054054054054,0.837209302325581,0.635658914728682,0.753926701570681
17,0.775,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.74468085106383,0.818181818181818,0.853658536585366,0.692307692307692,0.795454545454545,0.75
