,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.75,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.738095238095238,0.763157894736842,0.775,0.725,0.75609756097561,0.743589743589744
1,0.73125,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.734177215189873,0.728395061728395,0.725,0.7375,0.729559748427673,0.732919254658385
2,0.73,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.716981132075472,0.74468085106383,0.76,0.7,0.737864077669903,0.721649484536082
3,0.71875,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.705263157894737,0.738461538461539,0.797619047619048,0.631578947368421,0.748603351955307,0.680851063829787
4,0.71875,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.714285714285714,0.722222222222222,0.666666666666667,0.764705882352941,0.689655172413793,0.742857142857143
5,0.80625,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.806818181818182,0.805555555555556,0.835294117647059,0.773333333333333,0.820809248554913,0.789115646258503
6,0.7375,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.742424242424242,0.734042553191489,0.662162162162162,0.802325581395349,0.7,0.766666666666667
7,0.73125,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.734939759036145,0.727272727272727,0.74390243902439,0.717948717948718,0.739393939393939,0.72258064516129
8,0.75625,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.731707317073171,0.782051282051282,0.779220779220779,0.734939759036145,0.754716981132075,0.757763975155279
9,0.775,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.752688172043011,0.805970149253731,0.843373493975904,0.701298701298701,0.795454545454546,0.75
0,0.8125,0.675,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102,0.790123456790123,0.835443037974684,0.831168831168831,0.795180722891566,0.810126582278481,0.814814814814815
1,0.79375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.804878048780488,0.782051282051282,0.795180722891566,0.792207792207792,0.8,0.787096774193548
2,0.81,0.6,0.75,0.5625,0.3,0.9,0.428571428571428,0.692307692307692,0.798076923076923,0.822916666666667,0.83,0.79,0.813725490196079,0.806122448979592
3,0.84375,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.855263157894737,0.833333333333333,0.822784810126582,0.864197530864197,0.838709677419355,0.848484848484848
4,0.8125,0.6,0.666666666666667,0.571428571428571,0.4,0.8,0.5,0.666666666666667,0.79746835443038,0.827160493827161,0.818181818181818,0.807228915662651,0.807692307692308,0.817073170731707
5,0.84375,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.827586206896552,0.863013698630137,0.878048780487805,0.807692307692308,0.85207100591716,0.834437086092715
6,0.8375,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.825581395348837,0.851351351351351,0.865853658536585,0.807692307692308,0.845238095238095,0.828947368421053
