,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.74375,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.717948717948718,0.768292682926829,0.746666666666667,0.741176470588235,0.73202614379085,0.754491017964072
1,0.73125,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.715909090909091,0.75,0.777777777777778,0.683544303797468,0.745562130177515,0.71523178807947
2,0.745,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.728971962616822,0.763440860215054,0.78,0.71,0.753623188405797,0.735751295336788
3,0.75,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.734177215189873,0.765432098765432,0.753246753246753,0.746987951807229,0.743589743589744,0.75609756097561
4,0.76875,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.780821917808219,0.758620689655172,0.730769230769231,0.804878048780488,0.754966887417219,0.781065088757396
5,0.7125,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.695121951219512,0.730769230769231,0.730769230769231,0.695121951219512,0.7125,0.7125
6,0.79375,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.75531914893617,0.848484848484849,0.876543209876543,0.708860759493671,0.811428571428571,0.772413793103448
7,0.74375,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.746987951807229,0.74025974025974,0.75609756097561,0.730769230769231,0.751515151515151,0.735483870967742
8,0.71875,0.375,0.4,0.333333333333333,0.5,0.25,0.444444444444444,0.285714285714286,0.733333333333333,0.705882352941177,0.6875,0.75,0.709677419354839,0.727272727272727
9,0.76875,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.789473684210526,0.79746835443038,0.740740740740741,0.773006134969325,0.764331210191083
mean,0.7476250000000001,0.5275000000000001,0.5315149286259127,0.5232647795960489,0.53,0.525,0.5284725434016413,0.5219975717536693,0.7358591289768966,0.7620656188228009,0.7636838784512193,0.7312079457196575,0.7487895370649011,0.7454638352648335
std,0.024490998913433027,0.08287373260301213,0.07741425749330141,0.09417522405844618,0.0856348838577675,0.12747548783981963,0.07379976976004107,0.10702185840501244,0.02394230500139796,0.03806493342800395,0.0502994102238486,0.03454959008470091,0.029333709600771855,0.023734021773537173
min,0.7125,0.375,0.4,0.333333333333333,0.45,0.25,0.439024390243902,0.285714285714286,0.695121951219512,0.705882352941177,0.6875,0.683544303797468,0.709677419354839,0.7125
25%,0.734375,0.4875,0.486215538847118,0.488721804511278,0.45,0.5,0.4711538461538465,0.4940587867417132,0.7207045291157439,0.742694805194805,0.73474358974359,0.7091455696202532,0.7349170437405734,0.7293255131964808
50%,0.744375,0.5375000000000001,0.543154761904762,0.5339912280701755,0.525,0.525,0.5182926829268291,0.551864801864802,0.7337552742616029,0.7610307749351131,0.7546721571111815,0.735754985754986,0.748538640846333,0.74512115665043
75%,0.7640625000000001,0.5875,0.590625,0.5854166666666667,0.5875,0.6375,0.5841463414634145,0.593673218673219,0.7492469879518072,0.7675775368864797,0.7794444444444445,0.7455350815024805,0.7546309626643635,0.7622727978872147
max,0.79375,0.625,0.631578947368421,0.647058823529412,0.7,0.65,0.651162790697674,0.634146341463415,0.780821917808219,0.848484848484849,0.876543209876543,0.804878048780488,0.811428571428571,0.781065088757396
