,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.71875,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.701149425287356,0.73972602739726,0.7625,0.675,0.730538922155689,0.705882352941176
1,0.7625,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.744186046511628,0.783783783783784,0.8,0.725,0.771084337349398,0.753246753246753
2,0.725,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.718446601941748,0.731958762886598,0.74,0.71,0.729064039408867,0.720812182741117
3,0.7625,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.755555555555556,0.771428571428571,0.80952380952381,0.710526315789474,0.781609195402299,0.73972602739726
4,0.7625,0.6,0.642857142857143,0.576923076923077,0.45,0.75,0.529411764705882,0.652173913043478,0.776119402985075,0.752688172043011,0.693333333333333,0.823529411764706,0.732394366197183,0.786516853932584
5,0.725,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.725274725274725,0.72463768115942,0.776470588235294,0.666666666666667,0.75,0.694444444444444
6,0.7125,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.670731707317073,0.756410256410256,0.743243243243243,0.686046511627907,0.705128205128205,0.719512195121951
7,0.7125,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.704545454545455,0.722222222222222,0.75609756097561,0.666666666666667,0.729411764705882,0.693333333333333
8,0.6875,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.658823529411765,0.72,0.727272727272727,0.650602409638554,0.691358024691358,0.683544303797468
9,0.66875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.674418604651163,0.662162162162162,0.698795180722892,0.636363636363636,0.686390532544379,0.649006622516556
0,0.86875,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.858974358974359,0.878048780487805,0.87012987012987,0.867469879518072,0.864516129032258,0.872727272727273
1,0.84375,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.8625,0.825,0.831325301204819,0.857142857142857,0.846625766871166,0.840764331210191
2,0.85,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.843137254901961,0.857142857142857,0.86,0.84,0.851485148514851,0.848484848484849
3,0.8625,0.5,0.5,0.5,0.75,0.25,0.6,0.333333333333333,0.87012987012987,0.855421686746988,0.848101265822785,0.876543209876543,0.858974358974359,0.865853658536585
4,0.8625,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.848101265822785,0.876543209876543,0.87012987012987,0.855421686746988,0.858974358974359,0.865853658536585
5,0.8625,0.45,0.46875,0.375,0.75,0.15,0.576923076923077,0.214285714285714,0.848837209302326,0.878378378378378,0.890243902439024,0.833333333333333,0.869047619047619,0.855263157894737
6,0.8625,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.840909090909091,0.888888888888889,0.902439024390244,0.82051282051282,0.870588235294118,0.853333333333333
7,0.875,0.475,0.486486486486487,0.333333333333333,0.9,0.05,0.631578947368421,0.0869565217391304,0.873417721518987,0.876543209876543,0.873417721518987,0.876543209876543,0.873417721518987,0.876543209876543
8,0.86875,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.833333333333333,0.907894736842105,0.909090909090909,0.831325301204819,0.869565217391304,0.867924528301887
9,0.83125,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.84,0.823529411764706,0.807692307692308,0.853658536585366,0.823529411764706,0.838323353293413
0,1.0,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,1.0,1.0,1.0,1.0,1.0,1.0
