,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.85625,0.575,0.615384615384615,0.555555555555556,0.4,0.75,0.484848484848485,0.638297872340426,0.866666666666667,0.847058823529412,0.833333333333333,0.878048780487805,0.849673202614379,0.862275449101796
1,0.89375,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.9125,0.875,0.879518072289157,0.909090909090909,0.895705521472393,0.89171974522293
2,0.84,0.7,0.785714285714286,0.653846153846154,0.55,0.85,0.647058823529412,0.739130434782609,0.826923076923077,0.854166666666667,0.86,0.82,0.843137254901961,0.836734693877551
3,0.8375,0.65,0.75,0.607142857142857,0.45,0.85,0.5625,0.708333333333333,0.842105263157895,0.833333333333333,0.82051282051282,0.853658536585366,0.831168831168831,0.843373493975904
4,0.83125,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.827160493827161,0.835443037974684,0.8375,0.825,0.832298136645963,0.830188679245283
5,0.825,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.84,0.811764705882353,0.79746835443038,0.851851851851852,0.818181818181818,0.831325301204819
6,0.8625,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.857142857142857,0.868421052631579,0.878048780487805,0.846153846153846,0.867469879518072,0.857142857142857
7,0.84375,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.8625,0.825,0.831325301204819,0.857142857142857,0.846625766871166,0.840764331210191
8,0.80625,0.525,0.571428571428571,0.515151515151515,0.2,0.85,0.296296296296296,0.641509433962264,0.859375,0.770833333333333,0.714285714285714,0.891566265060241,0.780141843971631,0.8268156424581
9,0.85,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.847058823529412,0.853333333333333,0.867469879518072,0.831168831168831,0.857142857142857,0.842105263157895
mean,0.8446250000000001,0.5525000000000001,0.5865828126122243,0.5381945196769882,0.37500000000000006,0.73,0.45189014308689757,0.6179846657766536,0.8541432181247067,0.8374354286684694,0.8319462256062101,0.8563681877541708,0.8421545112489071,0.8462445456597326
std,0.023585320882089172,0.08203149801549807,0.11742770118352078,0.06362100967017453,0.10606601717798214,0.11832159566199232,0.1095680413452818,0.07961030348055836,0.02479402046284247,0.030307232621229703,0.04902841206942831,0.0289883622908015,0.030639139663434112,0.019571692833842053
min,0.80625,0.4,0.375,0.416666666666667,0.2,0.5,0.296296296296296,0.454545454545455,0.826923076923077,0.770833333333333,0.714285714285714,0.82,0.780141843971631,0.8268156424581
25%,0.8328125000000001,0.525,0.5359477124183005,0.5153958944281525,0.3125,0.6625,0.361561866125761,0.5794685990338165,0.8405263157894738,0.8270833333333332,0.8232159406858197,0.8349150849150848,0.831451157538114,0.8326776493730019
50%,0.8418749999999999,0.5375000000000001,0.577380952380952,0.5287267080745346,0.375,0.75,0.4611742424242425,0.6262254901960784,0.8521008403361345,0.8412509307520479,0.8354166666666665,0.8527551942186089,0.8448815108865635,0.841434797184043
75%,0.8546874999999999,0.575,0.6115384615384613,0.558888888888889,0.45,0.8375,0.507335907335907,0.6407065435568045,0.8617187500000001,0.8539583333333335,0.865602409638554,0.872822299651568,0.8552754435107375,0.8537005163511188
max,0.89375,0.7,0.785714285714286,0.653846153846154,0.55,0.85,0.647058823529412,0.739130434782609,0.9125,0.875,0.879518072289157,0.909090909090909,0.895705521472393,0.89171974522293
