,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.6875,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.658823529411765,0.72,0.727272727272727,0.650602409638554,0.691358024691358,0.683544303797468
1,0.75,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.76056338028169,0.741573033707865,0.701298701298701,0.795180722891566,0.72972972972973,0.767441860465116
2,0.86875,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.841463414634146,0.897435897435897,0.896103896103896,0.843373493975904,0.867924528301887,0.869565217391304
3,0.8125,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.784090909090909,0.847222222222222,0.8625,0.7625,0.821428571428572,0.802631578947368
4,1.0,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9875,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1.0,0.975308641975309,0.975308641975309,1.0,0.9875,0.9875
6,0.697916666666667,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.709302325581395,0.688679245283019,0.648936170212766,0.744897959183674,0.677777777777778,0.715686274509804
7,0.7625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.779411764705882,0.75,0.697368421052632,0.821428571428571,0.736111111111111,0.784090909090909
8,0.739583333333333,0.35,0.25,0.392857142857143,0.15,0.55,0.1875,0.458333333333333,0.731182795698925,0.747474747474748,0.731182795698925,0.747474747474748,0.731182795698925,0.747474747474748
9,0.86875,0.625,0.619047619047619,0.631578947368421,0.65,0.6,0.634146341463415,0.615384615384615,0.896103896103896,0.843373493975904,0.841463414634146,0.897435897435897,0.867924528301887,0.869565217391304
10,0.85,0.325,0.333333333333333,0.315789473684211,0.35,0.3,0.341463414634146,0.307692307692308,0.9,0.811111111111111,0.7875,0.9125,0.84,0.858823529411765
11,0.84375,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.857142857142857,0.831325301204819,0.825,0.8625,0.840764331210191,0.846625766871166
12,0.83125,0.5,0.5,0.5,0.95,0.05,0.655172413793103,0.0909090909090909,0.825,0.8375,0.835443037974684,0.827160493827161,0.830188679245283,0.832298136645963
13,0.88125,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.857142857142857,0.907894736842105,0.911392405063291,0.851851851851852,0.883435582822086,0.878980891719745
14,0.75,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.746835443037975,0.753086419753086,0.746835443037975,0.753086419753086,0.746835443037975,0.753086419753086
15,0.83125,0.3,0.214285714285714,0.346153846153846,0.15,0.45,0.176470588235294,0.391304347826087,0.827160493827161,0.835443037974684,0.8375,0.825,0.832298136645963,0.830188679245283
16,0.8375,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.816091954022989,0.863013698630137,0.876543209876543,0.79746835443038,0.845238095238095,0.828947368421053
17,0.8375,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.827160493827161,0.848101265822785,0.848101265822785,0.827160493827161,0.8375,0.8375
18,0.78125,0.5,0.5,0.5,0.6,0.4,0.545454545454545,0.444444444444444,0.768292682926829,0.794871794871795,0.79746835443038,0.765432098765432,0.782608695652174,0.779874213836478
19,0.79375,0.4,0.423076923076923,0.357142857142857,0.55,0.25,0.478260869565217,0.294117647058823,0.788235294117647,0.8,0.817073170731707,0.769230769230769,0.802395209580838,0.784313725490196
