,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.6625,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.654761904761905,0.671052631578947,0.6875,0.6375,0.670731707317073,0.653846153846154
1,0.7875,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.755555555555556,0.828571428571429,0.85,0.725,0.8,0.773333333333333
2,0.695,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.693069306930693,0.696969696969697,0.7,0.69,0.696517412935323,0.693467336683417
3,0.725,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.722222222222222,0.728571428571429,0.773809523809524,0.671052631578947,0.747126436781609,0.698630136986301
4,0.73125,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.716216216216216,0.744186046511628,0.706666666666667,0.752941176470588,0.711409395973154,0.748538011695906
5,0.76875,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.766666666666667,0.771428571428571,0.811764705882353,0.72,0.788571428571429,0.744827586206896
6,0.73125,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.67816091954023,0.794520547945205,0.797297297297297,0.674418604651163,0.732919254658385,0.729559748427673
7,0.7125,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.709302325581395,0.716216216216216,0.74390243902439,0.67948717948718,0.726190476190476,0.697368421052632
8,0.6875,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.658823529411765,0.72,0.727272727272727,0.650602409638554,0.691358024691358,0.683544303797468
9,0.7125,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.690721649484536,0.746031746031746,0.807228915662651,0.61038961038961,0.744444444444444,0.671428571428571
0,0.875,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.851851851851852,0.89873417721519,0.896103896103896,0.855421686746988,0.873417721518987,0.876543209876543
1,0.8625,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.876543209876543,0.848101265822785,0.855421686746988,0.87012987012987,0.865853658536585,0.858974358974359
2,0.845,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.841584158415842,0.848484848484849,0.85,0.84,0.845771144278607,0.844221105527638
3,0.8625,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.88,0.847058823529412,0.835443037974684,0.888888888888889,0.857142857142857,0.867469879518072
4,0.83125,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.82051282051282,0.841463414634146,0.831168831168831,0.831325301204819,0.825806451612903,0.836363636363636
5,0.8625,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.857142857142857,0.868421052631579,0.878048780487805,0.846153846153846,0.867469879518072,0.857142857142857
6,0.85625,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.839080459770115,0.876712328767123,0.890243902439024,0.82051282051282,0.863905325443787,0.847682119205298
7,0.8625,0.425,0.457142857142857,0.2,0.8,0.05,0.581818181818182,0.08,0.860759493670886,0.864197530864197,0.860759493670886,0.864197530864197,0.860759493670886,0.864197530864197
8,0.86875,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.841463414634146,0.897435897435897,0.896103896103896,0.843373493975904,0.867924528301887,0.869565217391304
9,0.83125,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.849315068493151,0.816091954022989,0.794871794871795,0.865853658536585,0.821192052980132,0.840236686390533
0,1.0,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,1.0,1.0,1.0,1.0,1.0,1.0
0,0.975,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.965116279069767,0.986486486486487,0.988095238095238,0.960526315789474,0.976470588235294,0.973333333333333
1,0.95625,0.7,0.785714285714286,0.653846153846154,0.55,0.85,0.647058823529412,0.739130434782609,0.9625,0.95,0.950617283950617,0.962025316455696,0.956521739130435,0.955974842767296
