,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.79746835443038,0.802469135802469,0.79746835443038,0.802469135802469,0.79746835443038,0.802469135802469
1,0.825,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.837837837837838,0.813953488372093,0.794871794871795,0.853658536585366,0.815789473684211,0.833333333333333
2,0.75,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.755102040816326,0.745098039215686,0.74,0.76,0.747474747474747,0.752475247524752
3,0.8125,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
4,0.8,0.65,0.607142857142857,0.75,0.85,0.45,0.708333333333333,0.5625,0.807228915662651,0.792207792207792,0.807228915662651,0.792207792207792,0.807228915662651,0.792207792207792
5,0.7875,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.792207792207792,0.783132530120482,0.772151898734177,0.802469135802469,0.782051282051282,0.792682926829268
6,0.78125,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.411764705882353,0.794520547945205,0.770114942528736,0.743589743589744,0.817073170731707,0.768211920529801,0.792899408284024
7,0.78125,0.525,0.516129032258065,0.555555555555556,0.8,0.25,0.627450980392157,0.344827586206897,0.821917808219178,0.747126436781609,0.731707317073171,0.833333333333333,0.774193548387097,0.787878787878788
8,0.7375,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.757142857142857,0.722222222222222,0.67948717948718,0.792682926829268,0.716216216216216,0.755813953488372
9,0.76875,0.475,0.48,0.466666666666667,0.6,0.35,0.533333333333333,0.4,0.776470588235294,0.76,0.785714285714286,0.75,0.781065088757397,0.754966887417219
mean,0.7843749999999999,0.51,0.5039478999521074,0.524842249254014,0.6249999999999999,0.3950000000000001,0.5534606117785654,0.4425711057531544,0.7952396742497522,0.774882458725109,0.7664719489563383,0.8016394031292403,0.7802199547193782,0.7877227472766017
std,0.027043239553639926,0.061463629715285927,0.048472021401328745,0.0924716599059612,0.15320646925708528,0.09846036991827953,0.08956788664591138,0.0703988426944389,0.026661122914722786,0.03117282662173313,0.042096263657447563,0.03097968459331479,0.031068899912806588,0.02649263771839303
min,0.7375,0.425,0.434782608695652,0.411764705882353,0.4,0.25,0.421052631578947,0.344827586206897,0.755102040816326,0.722222222222222,0.67948717948718,0.75,0.716216216216216,0.752475247524752
25%,0.7718750000000001,0.48124999999999996,0.485,0.47500000000000026,0.525,0.35,0.4821705426356585,0.40294117647058825,0.7804048892284186,0.7503448275862067,0.740897435897436,0.792326575863161,0.7697073274941251,0.763830162085976
50%,0.784375,0.5,0.5,0.5,0.65,0.35,0.565217391304348,0.41800356506238845,0.7959944511877926,0.776623736324609,0.7789330922242315,0.802469135802469,0.7815581854043395,0.79244535951853
75%,0.8,0.525,0.5179211469534047,0.5512820512820515,0.7,0.4375,0.6054579093432008,0.4747899159663865,0.8111822289156627,0.7999037999037998,0.7968192145407338,0.8159298780487803,0.8047887753545833,0.8000767039228578
max,0.825,0.65,0.607142857142857,0.75,0.85,0.6,0.708333333333333,0.5625,0.837837837837838,0.813953488372093,0.8125,0.853658536585366,0.815789473684211,0.833333333333333
