,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.6875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.678571428571429,0.697368421052632,0.7125,0.6625,0.695121951219512,0.679487179487179
1,0.78125,0.575,0.615384615384615,0.555555555555556,0.4,0.75,0.484848484848485,0.638297872340426,0.758620689655172,0.808219178082192,0.825,0.7375,0.790419161676647,0.77124183006536
2,0.7,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.708333333333333,0.692307692307692,0.68,0.72,0.693877551020408,0.705882352941177
3,0.7625,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.755555555555556,0.771428571428571,0.80952380952381,0.710526315789474,0.781609195402299,0.73972602739726
4,0.7875,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.788732394366197,0.786516853932584,0.746666666666667,0.823529411764706,0.767123287671233,0.804597701149425
5,0.75,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.736842105263158,0.769230769230769,0.823529411764706,0.666666666666667,0.777777777777778,0.714285714285714
6,0.73125,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.701298701298701,0.759036144578313,0.72972972972973,0.732558139534884,0.71523178807947,0.745562130177515
7,0.7125,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.704545454545455,0.722222222222222,0.75609756097561,0.666666666666667,0.729411764705882,0.693333333333333
8,0.7,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,0.674698795180723,0.727272727272727,0.727272727272727,0.674698795180723,0.7,0.7
9,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.692307692307692,0.710144927536232,0.759036144578313,0.636363636363636,0.724137931034483,0.671232876712329
0,0.83125,0.45,0.458333333333333,0.4375,0.55,0.35,0.5,0.388888888888889,0.808988764044944,0.859154929577465,0.878048780487805,0.782051282051282,0.842105263157895,0.818791946308725
1,0.8,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.786516853932584,0.816901408450704,0.843373493975904,0.753246753246753,0.813953488372093,0.783783783783784
2,0.735,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.737373737373737,0.732673267326733,0.73,0.74,0.733668341708543,0.736318407960199
3,0.75625,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.763888888888889,0.75,0.714285714285714,0.795180722891566,0.738255033557047,0.771929824561403
4,0.7375,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.738095238095238,0.736842105263158,0.75609756097561,0.717948717948718,0.746987951807229,0.727272727272727
5,0.74375,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.772151898734177,0.716049382716049,0.726190476190476,0.763157894736842,0.748466257668712,0.738853503184713
6,0.7625,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.75,0.775,0.769230769230769,0.75609756097561,0.759493670886076,0.765432098765432
7,0.76875,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.772151898734177,0.765432098765432,0.7625,0.775,0.767295597484277,0.770186335403727
8,0.71875,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.705128205128205,0.731707317073171,0.714285714285714,0.72289156626506,0.709677419354839,0.727272727272727
9,0.78125,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.739130434782609,0.838235294117647,0.860759493670886,0.703703703703704,0.795321637426901,0.765100671140939
0,0.8625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.839506172839506,0.886075949367089,0.883116883116883,0.843373493975904,0.860759493670886,0.864197530864197
1,0.83125,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.858974358974359,0.804878048780488,0.807228915662651,0.857142857142857,0.832298136645963,0.830188679245283
2,0.815,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.824742268041237,0.805825242718447,0.8,0.83,0.812182741116751,0.817733990147783
3,0.8375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506
4,0.83125,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.8125,0.85,0.844155844155844,0.819277108433735,0.828025477707006,0.834355828220859
5,0.8625,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.857142857142857,0.868421052631579,0.878048780487805,0.846153846153846,0.867469879518072,0.857142857142857
6,0.84375,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.835294117647059,0.853333333333333,0.865853658536585,0.82051282051282,0.850299401197605,0.836601307189543
7,0.8625,0.425,0.454545454545455,0.285714285714286,0.75,0.1,0.566037735849057,0.148148148148148,0.87012987012987,0.855421686746988,0.848101265822785,0.876543209876543,0.858974358974359,0.865853658536585
8,0.86875,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.841463414634146,0.897435897435897,0.896103896103896,0.843373493975904,0.867924528301887,0.869565217391304
9,0.8375,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.842105263157895,0.833333333333333,0.82051282051282,0.853658536585366,0.831168831168831,0.843373493975904
0,1.0,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1.0,1.0,1.0,1.0,1.0,1.0
0,0.94375,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.951807228915663,0.935064935064935,0.94047619047619,0.947368421052632,0.946107784431138,0.941176470588235
1,0.95,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.939759036144578,0.961038961038961,0.962962962962963,0.936708860759494,0.951219512195122,0.948717948717949
2,0.955,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.941747572815534,0.969072164948454,0.97,0.94,0.955665024630542,0.954314720812183
3,0.96875,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.974025974025974,0.963855421686747,0.961538461538462,0.975609756097561,0.967741935483871,0.96969696969697
4,0.95,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,0.942528735632184,0.958904109589041,0.964705882352941,0.933333333333333,0.953488372093023,0.945945945945946
5,0.9625,0.725,0.764705882352941,0.695652173913043,0.65,0.8,0.702702702702703,0.744186046511628,0.950617283950617,0.974683544303797,0.974683544303797,0.950617283950617,0.9625,0.9625
6,0.96875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.974358974358974,0.963414634146341,0.962025316455696,0.975308641975309,0.968152866242038,0.969325153374233
7,0.98125,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.965116279069767,1.0,1.0,0.961038961038961,0.982248520710059,0.980132450331126
8,0.9875,0.625,0.619047619047619,0.631578947368421,0.65,0.6,0.634146341463415,0.615384615384615,0.987654320987654,0.987341772151899,0.987654320987654,0.987341772151899,0.987654320987654,0.987341772151899
9,0.975,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.976744186046512,0.972972972972973,0.976744186046512,0.972972972972973,0.976744186046512,0.972972972972973
