,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8625,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.839506172839506,0.886075949367089,0.883116883116883,0.843373493975904,0.860759493670886,0.864197530864197
1,0.83125,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.858974358974359,0.804878048780488,0.807228915662651,0.857142857142857,0.832298136645963,0.830188679245283
2,0.815,0.55,0.533333333333333,0.6,0.8,0.3,0.64,0.4,0.824742268041237,0.805825242718447,0.8,0.83,0.812182741116751,0.817733990147783
3,0.8375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506,0.835443037974684,0.839506172839506
4,0.83125,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.8125,0.85,0.844155844155844,0.819277108433735,0.828025477707006,0.834355828220859
5,0.8625,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.857142857142857,0.868421052631579,0.878048780487805,0.846153846153846,0.867469879518072,0.857142857142857
6,0.84375,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.835294117647059,0.853333333333333,0.865853658536585,0.82051282051282,0.850299401197605,0.836601307189543
7,0.8625,0.425,0.454545454545455,0.285714285714286,0.75,0.1,0.566037735849057,0.148148148148148,0.87012987012987,0.855421686746988,0.848101265822785,0.876543209876543,0.858974358974359,0.865853658536585
8,0.86875,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.841463414634146,0.897435897435897,0.896103896103896,0.843373493975904,0.867924528301887,0.869565217391304
9,0.8375,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.842105263157895,0.833333333333333,0.82051282051282,0.853658536585366,0.831168831168831,0.843373493975904
mean,0.8452500000000001,0.5175,0.5186431505140572,0.5064327829033711,0.6799999999999999,0.35500000000000004,0.5821475157519975,0.40261999328627346,0.8417301360541612,0.849423071718666,0.8478565102373953,0.8429541539496481,0.8444545886276045,0.845851873555382
std,0.017871066000661535,0.06876893678592585,0.05724864901113113,0.11285642602453051,0.12516655570345722,0.1847671206922078,0.061305852358425526,0.15893413519659177,0.01690021831764707,0.03037442062219991,0.032766765305844575,0.017316120027837743,0.019172502662433637,0.017405417015773948
min,0.815,0.425,0.454545454545455,0.285714285714286,0.45,0.1,0.473684210526316,0.148148148148148,0.8125,0.804878048780488,0.8,0.819277108433735,0.812182741116751,0.817733990147783
25%,0.8328125000000001,0.475,0.4793853073463265,0.4585561497326207,0.5875,0.21250000000000002,0.561025641025641,0.28064516129032274,0.8353313477289652,0.8348765432098763,0.8242453748782861,0.8323765432098764,0.831451157538114,0.83491719796303
50%,0.840625,0.5,0.5,0.5,0.7,0.35,0.568733153638814,0.416216216216216,0.840484793736826,0.8516666666666666,0.8461285549893145,0.843373493975904,0.8428712195861445,0.841439833407705
75%,0.8625,0.56875,0.5500000000000003,0.5928571428571427,0.75,0.5125000000000001,0.636130811662727,0.5140692640692642,0.8533834586466165,0.8651712111604313,0.875,0.851782363977486,0.8603132099967543,0.862433862433862
max,0.86875,0.65,0.636363636363636,0.666666666666667,0.85,0.6,0.666666666666667,0.631578947368421,0.87012987012987,0.897435897435897,0.896103896103896,0.876543209876543,0.867924528301887,0.869565217391304
