,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.68125,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.666666666666667,0.695121951219512,0.675324675324675,0.686746987951807,0.670967741935484,0.690909090909091
1,0.63125,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.645161290322581,0.622448979591837,0.519480519480519,0.734939759036145,0.575539568345324,0.674033149171271
2,0.69375,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.666666666666667,0.723684210526316,0.727272727272727,0.662650602409639,0.695652173913043,0.691823899371069
3,0.625,0.45,0.4375,0.458333333333333,0.35,0.55,0.388888888888889,0.5,0.611111111111111,0.642857142857143,0.6875,0.5625,0.647058823529412,0.6
4,0.9875,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875
5,0.90625,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.892857142857143,0.921052631578947,0.925925925925926,0.886075949367089,0.909090909090909,0.903225806451613
6,0.640625,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.631578947368421,0.649484536082474,0.638297872340426,0.642857142857143,0.634920634920635,0.646153846153846
7,0.69375,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.670886075949367,0.716049382716049,0.697368421052632,0.69047619047619,0.683870967741935,0.703030303030303
8,0.625,0.575,0.636363636363636,0.551724137931034,0.35,0.8,0.451612903225806,0.653061224489796,0.672131147540984,0.603053435114504,0.440860215053763,0.797979797979798,0.532467532467532,0.68695652173913
9,0.65625,0.675,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102,0.648351648351648,0.666666666666667,0.719512195121951,0.58974358974359,0.682080924855491,0.625850340136054
10,0.6125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.59,0.65,0.7375,0.4875,0.655555555555555,0.557142857142857
11,0.75,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.732558139534884,0.77027027027027,0.7875,0.7125,0.759036144578313,0.74025974025974
12,0.85625,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.85,0.8625,0.860759493670886,0.851851851851852,0.855345911949686,0.857142857142857
13,0.71875,0.6,1.0,0.555555555555556,0.2,1.0,0.333333333333333,0.714285714285714,0.742857142857143,0.7,0.658227848101266,0.777777777777778,0.697986577181208,0.736842105263158
14,0.5875,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.675675675675676,0.560975609756098,0.316455696202532,0.851851851851852,0.431034482758621,0.676470588235294
15,0.59375,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.597402597402597,0.590361445783133,0.575,0.6125,0.585987261146497,0.601226993865031
16,0.60625,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.6125,0.6,0.604938271604938,0.607594936708861,0.608695652173913,0.60377358490566
17,0.65,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.63855421686747,0.662337662337662,0.670886075949367,0.62962962962963,0.654320987654321,0.645569620253165
18,0.65,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.688524590163934,0.626262626262626,0.531645569620253,0.765432098765432,0.6,0.688888888888889
19,0.675,0.475,0.487179487179487,0.0,0.95,0.0,0.644067796610169,0.0,0.66304347826087,0.691176470588235,0.74390243902439,0.602564102564103,0.701149425287356,0.643835616438356
20,0.6375,0.575,0.571428571428571,0.578947368421053,0.6,0.55,0.585365853658537,0.564102564102564,0.636363636363636,0.639344262295082,0.741176470588235,0.52,0.684782608695652,0.573529411764706
21,0.66875,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.659574468085106,0.681818181818182,0.746987951807229,0.584415584415584,0.700564971751412,0.629370629370629
22,0.73125,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.725,0.7375,0.734177215189873,0.728395061728395,0.729559748427673,0.732919254658385
23,0.6625,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.65625,0.666666666666667,0.567567567567568,0.744186046511628,0.608695652173913,0.703296703296703
24,0.61875,0.675,0.666666666666667,0.684210526315789,0.7,0.65,0.682926829268293,0.666666666666667,0.6,0.642857142857143,0.683544303797468,0.555555555555556,0.63905325443787,0.596026490066225
25,0.9625,0.35,0.125,0.40625,0.05,0.65,0.0714285714285714,0.5,0.939759036144578,0.987012987012987,0.987341772151899,0.938271604938272,0.962962962962963,0.962025316455696
26,0.63125,0.3,0.318181818181818,0.277777777777778,0.35,0.25,0.333333333333333,0.263157894736842,0.626373626373626,0.63768115942029,0.695121951219512,0.564102564102564,0.658959537572254,0.598639455782313
27,0.775,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.815789473684211,0.738095238095238,0.738095238095238,0.815789473684211,0.775,0.775
28,0.63125,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.598214285714286,0.708333333333333,0.827160493827161,0.430379746835443,0.694300518134715,0.535433070866142
