,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.66875,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.645161290322581,0.701492537313433,0.75,0.5875,0.69364161849711,0.639455782312925
1,0.6375,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.652777777777778,0.625,0.5875,0.6875,0.618421052631579,0.654761904761905
2,0.62,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.609090909090909,0.633333333333333,0.67,0.57,0.638095238095238,0.6
3,0.65625,0.575,0.636363636363636,0.551724137931034,0.35,0.8,0.451612903225806,0.653061224489796,0.683544303797468,0.62962962962963,0.642857142857143,0.671052631578947,0.662576687116564,0.64968152866242
4,0.6875,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177,0.666666666666667,0.705882352941177
5,0.70625,0.45,0.428571428571429,0.461538461538462,0.3,0.6,0.352941176470588,0.521739130434783,0.69,0.733333333333333,0.811764705882353,0.586666666666667,0.745945945945946,0.651851851851852
6,0.65,0.5,0.5,0.5,0.25,0.75,0.333333333333333,0.6,0.628571428571429,0.666666666666667,0.594594594594595,0.697674418604651,0.611111111111111,0.681818181818182
7,0.65625,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.645161290322581,0.671641791044776,0.731707317073171,0.576923076923077,0.685714285714286,0.620689655172414
8,0.68125,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.666666666666667,0.695121951219512,0.675324675324675,0.686746987951807,0.670967741935484,0.690909090909091
9,0.68125,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.673913043478261,0.691176470588235,0.746987951807229,0.61038961038961,0.708571428571429,0.648275862068966
0,0.675,0.475,0.428571428571429,0.484848484848485,0.15,0.8,0.222222222222222,0.60377358490566,0.698412698412698,0.65979381443299,0.571428571428571,0.771084337349398,0.628571428571429,0.711111111111111
1,0.68125,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.666666666666667,0.703125,0.771084337349398,0.584415584415584,0.715083798882681,0.638297872340426
2,0.685,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.666666666666667,0.707865168539326,0.74,0.63,0.701421800947867,0.666666666666667
3,0.725,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.769230769230769,0.694736842105263,0.632911392405063,0.814814814814815,0.694444444444444,0.75
4,0.675,0.45,0.375,0.46875,0.15,0.75,0.214285714285714,0.576923076923077,0.676056338028169,0.674157303370786,0.623376623376623,0.72289156626506,0.648648648648649,0.697674418604651
5,0.7125,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.719512195121951,0.705128205128205,0.719512195121951,0.705128205128205,0.719512195121951,0.705128205128205
6,0.66875,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.652631578947368,0.692307692307692,0.75609756097561,0.576923076923077,0.700564971751412,0.629370629370629
7,0.68125,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.71875,0.65625,0.582278481012658,0.777777777777778,0.643356643356643,0.711864406779661
8,0.69375,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.666666666666667,0.723684210526316,0.727272727272727,0.662650602409639,0.695652173913043,0.691823899371069
9,0.74375,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.746666666666667,0.741176470588235,0.717948717948718,0.768292682926829,0.73202614379085,0.754491017964072
0,0.9875,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158,0.988095238095238,0.986842105263158
1,0.99375,0.6,0.566666666666667,0.7,0.85,0.35,0.68,0.466666666666667,0.987341772151899,1.0,1.0,0.98780487804878,0.993630573248408,0.993865030674847
2,0.985,0.55,0.535714285714286,0.583333333333333,0.75,0.35,0.625,0.4375,0.98989898989899,0.98019801980198,0.98,0.99,0.984924623115578,0.985074626865672
3,0.98125,0.65,0.625,0.6875,0.75,0.55,0.681818181818182,0.611111111111111,0.987179487179487,0.975609756097561,0.974683544303797,0.987654320987654,0.980891719745223,0.98159509202454
4,0.9875,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.986666666666667,0.988235294117647,0.986666666666667,0.988235294117647,0.986666666666667,0.988235294117647
5,0.9875,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.98780487804878,0.987179487179487,0.98780487804878,0.987179487179487,0.98780487804878,0.987179487179487
6,0.99375,0.575,0.551724137931034,0.636363636363636,0.8,0.35,0.653061224489796,0.451612903225806,0.9875,1.0,1.0,0.987654320987654,0.993710691823899,0.993788819875776
7,0.98125,0.625,0.592592592592593,0.692307692307692,0.8,0.45,0.680851063829787,0.545454545454546,0.98780487804878,0.974358974358974,0.975903614457831,0.987012987012987,0.981818181818182,0.980645161290323
8,0.9875,0.575,0.548387096774194,0.666666666666667,0.85,0.3,0.666666666666667,0.413793103448276,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875
9,0.99375,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.987951807228916,1.0,1.0,0.987179487179487,0.993939393939394,0.993548387096774
0,0.8625,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.86046511627907,0.864864864864865,0.880952380952381,0.842105263157895,0.870588235294118,0.853333333333333
1,0.9125,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.924050632911392,0.901234567901235,0.901234567901235,0.924050632911392,0.9125,0.9125
2,0.91,0.6,0.590909090909091,0.611111111111111,0.65,0.55,0.619047619047619,0.578947368421053,0.945652173913043,0.87962962962963,0.87,0.95,0.90625,0.913461538461539
3,0.88125,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,0.893333333333333,0.870588235294118,0.858974358974359,0.902439024390244,0.875816993464052,0.88622754491018
4,0.9,0.625,0.6,0.666666666666667,0.75,0.5,0.666666666666667,0.571428571428572,0.887640449438202,0.915492957746479,0.929411764705882,0.866666666666667,0.908045977011494,0.890410958904109
5,0.9125,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.945205479452055,0.885057471264368,0.873417721518987,0.950617283950617,0.907894736842105,0.916666666666667
6,0.90625,0.7,0.722222222222222,0.681818181818182,0.65,0.75,0.684210526315789,0.714285714285714,0.921052631578947,0.892857142857143,0.886075949367089,0.925925925925926,0.903225806451613,0.909090909090909
7,0.90625,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.914634146341463,0.897435897435897,0.903614457831325,0.909090909090909,0.909090909090909,0.903225806451613
8,0.90625,0.525,0.523809523809524,0.526315789473684,0.55,0.5,0.536585365853658,0.512820512820513,0.892857142857143,0.921052631578947,0.925925925925926,0.886075949367089,0.909090909090909,0.903225806451613
9,0.91875,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.919540229885057,0.917808219178082,0.930232558139535,0.905405405405405,0.92485549132948,0.91156462585034
0,0.677083333333333,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.683673469387755,0.670212765957447,0.683673469387755,0.670212765957447,0.683673469387755,0.670212765957447
1,0.651041666666667,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.627272727272727,0.682926829268293,0.726315789473684,0.577319587628866,0.673170731707317,0.625698324022346
2,0.633333333333333,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.612676056338028,0.663265306122449,0.725,0.541666666666667,0.66412213740458,0.596330275229358
3,0.640625,0.525,0.513513513513513,0.666666666666667,0.95,0.1,0.666666666666667,0.173913043478261,0.642857142857143,0.6375,0.712871287128713,0.56043956043956,0.676056338028169,0.596491228070176
4,0.682291666666667,0.625,0.608695652173913,0.647058823529412,0.7,0.55,0.651162790697674,0.594594594594595,0.663461538461538,0.704545454545455,0.726315789473684,0.639175257731959,0.693467336683417,0.67027027027027
5,0.645833333333333,0.625,0.592592592592593,0.692307692307692,0.8,0.45,0.680851063829787,0.545454545454546,0.670588235294118,0.626168224299065,0.587628865979381,0.705263157894737,0.626373626373626,0.663366336633663
6,0.677083333333333,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.656716417910448,0.724137931034483,0.846153846153846,0.477272727272727,0.739495798319328,0.575342465753425
7,0.630208333333333,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.626373626373626,0.633663366336634,0.606382978723404,0.653061224489796,0.616216216216216,0.64321608040201
8,0.640625,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.631578947368421,0.649484536082474,0.638297872340426,0.642857142857143,0.634920634920635,0.646153846153846
9,0.666666666666667,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.653465346534653,0.681318681318681,0.694736842105263,0.639175257731959,0.673469387755102,0.659574468085106
0,0.614583333333333,0.65,0.6875,0.625,0.55,0.75,0.611111111111111,0.681818181818182,0.605504587155963,0.626506024096386,0.680412371134021,0.547368421052632,0.640776699029126,0.584269662921348
1,0.640625,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.644230769230769,0.636363636363636,0.676767676767677,0.602150537634409,0.660098522167488,0.61878453038674
2,0.616666666666667,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.637254901960784,0.601449275362319,0.541666666666667,0.691666666666667,0.585585585585586,0.643410852713178
3,0.604166666666667,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.644736842105263,0.577586206896552,0.5,0.712765957446808,0.563218390804598,0.638095238095238
4,0.614583333333333,0.625,0.647058823529412,0.608695652173913,0.55,0.7,0.594594594594595,0.651162790697674,0.661764705882353,0.588709677419355,0.46875,0.760416666666667,0.548780487804878,0.663636363636364
5,0.619791666666667,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.644736842105263,0.603448275862069,0.515789473684211,0.721649484536082,0.573099415204678,0.657276995305164
6,0.651041666666667,0.55,0.5625,0.541666666666667,0.45,0.65,0.5,0.590909090909091,0.71875,0.6171875,0.484210526315789,0.814432989690722,0.578616352201258,0.702222222222222
7,0.614583333333333,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.63855421686747,0.596330275229358,0.54639175257732,0.684210526315789,0.588888888888889,0.637254901960784
8,0.625,0.575,0.636363636363636,0.551724137931034,0.35,0.8,0.451612903225806,0.653061224489796,0.672131147540984,0.603053435114504,0.440860215053763,0.797979797979798,0.532467532467532,0.68695652173913
9,0.625,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.634408602150538,0.616161616161616,0.608247422680412,0.642105263157895,0.621052631578947,0.628865979381443
0,0.625,0.7,0.9,0.633333333333333,0.45,0.95,0.6,0.76,0.613636363636364,0.638888888888889,0.675,0.575,0.642857142857143,0.605263157894737
1,0.71875,0.6,0.7,0.566666666666667,0.35,0.85,0.466666666666667,0.68,0.727272727272727,0.710843373493976,0.7,0.7375,0.713375796178344,0.723926380368098
2,0.625,0.65,0.8,0.6,0.4,0.9,0.533333333333333,0.72,0.634408602150538,0.616822429906542,0.59,0.66,0.61139896373057,0.63768115942029
3,0.675,0.65,0.8,0.6,0.4,0.9,0.533333333333333,0.72,0.670454545454545,0.680555555555556,0.719512195121951,0.628205128205128,0.694117647058824,0.653333333333333
4,0.65625,0.575,0.636363636363636,0.551724137931034,0.35,0.8,0.451612903225806,0.653061224489796,0.671052631578947,0.642857142857143,0.62962962962963,0.683544303797468,0.64968152866242,0.662576687116564
5,0.625,0.55,0.583333333333333,0.535714285714286,0.35,0.75,0.4375,0.625,0.608108108108108,0.63953488372093,0.592105263157895,0.654761904761905,0.6,0.647058823529412
6,0.59375,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.6,0.586666666666667,0.621951219512195,0.564102564102564,0.610778443113772,0.57516339869281
7,0.625,0.675,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102,0.6125,0.6375,0.628205128205128,0.621951219512195,0.620253164556962,0.62962962962963
8,0.65625,0.675,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102,0.648351648351648,0.666666666666667,0.719512195121951,0.58974358974359,0.682080924855491,0.625850340136054
9,0.74375,0.675,0.818181818181818,0.620689655172414,0.45,0.9,0.580645161290323,0.73469387755102,0.725,0.7625,0.753246753246753,0.734939759036145,0.738853503184713,0.748466257668712
0,0.66875,0.6,0.75,0.5625,0.3,0.9,0.428571428571428,0.692307692307692,0.671428571428571,0.666666666666667,0.61038961038961,0.72289156626506,0.639455782312925,0.69364161849711
1,0.68125,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.696629213483146,0.661971830985915,0.720930232558139,0.635135135135135,0.708571428571429,0.648275862068965
2,0.71,0.5,0.5,0.5,0.2,0.8,0.285714285714286,0.615384615384615,0.733333333333333,0.690909090909091,0.66,0.76,0.694736842105263,0.723809523809524
3,0.71875,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.73972602739726,0.701149425287356,0.675,0.7625,0.705882352941176,0.730538922155689
4,0.65,0.575,0.714285714285714,0.545454545454545,0.25,0.9,0.37037037037037,0.679245283018868,0.666666666666667,0.637362637362637,0.582278481012658,0.716049382716049,0.621621621621622,0.674418604651163
5,0.66875,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.671232876712329,0.666666666666667,0.628205128205128,0.707317073170732,0.649006622516556,0.686390532544379
6,0.7,0.4,0.3,0.433333333333333,0.15,0.65,0.2,0.52,0.683673469387755,0.725806451612903,0.797619047619048,0.592105263157895,0.736263736263736,0.652173913043478
7,0.7,0.55,1.0,0.526315789473684,0.1,1.0,0.181818181818182,0.689655172413793,0.714285714285714,0.690721649484536,0.6,0.788235294117647,0.652173913043478,0.736263736263736
8,0.71875,0.6,1.0,0.555555555555556,0.2,1.0,0.333333333333333,0.714285714285714,0.742857142857143,0.7,0.658227848101266,0.777777777777778,0.697986577181208,0.736842105263158
9,0.7375,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.735632183908046,0.73972602739726,0.771084337349398,0.701298701298701,0.752941176470588,0.72
0,0.68125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.65625,0.71875,0.777777777777778,0.582278481012658,0.711864406779661,0.643356643356643
1,0.66875,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.679012345679012,0.658227848101266,0.670731707317073,0.666666666666667,0.674846625766871,0.662420382165605
2,0.635,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.666666666666667,0.613445378151261,0.54,0.73,0.596685082872928,0.666666666666667
3,0.6625,0.575,0.555555555555556,0.615384615384615,0.75,0.4,0.638297872340426,0.484848484848485,0.666666666666667,0.657534246575342,0.698795180722892,0.623376623376623,0.682352941176471,0.64
4,0.625,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.616161616161616,0.639344262295082,0.734939759036145,0.506493506493506,0.67032967032967,0.565217391304348
5,0.675,0.5,0.5,0.5,0.55,0.45,0.523809523809524,0.473684210526316,0.67816091954023,0.671232876712329,0.710843373493976,0.636363636363636,0.694117647058824,0.653333333333333
6,0.65,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.666666666666667,0.632911392405063,0.650602409638554,0.649350649350649,0.658536585365854,0.641025641025641
7,0.65625,0.625,0.857142857142857,0.575757575757576,0.3,0.95,0.444444444444444,0.716981132075472,0.666666666666667,0.649484536082474,0.552631578947368,0.75,0.60431654676259,0.696132596685083
8,0.65,0.55,0.625,0.53125,0.25,0.85,0.357142857142857,0.653846153846154,0.688524590163934,0.626262626262626,0.531645569620253,0.765432098765432,0.6,0.688888888888889
