,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.79375,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.810126582278481,0.777777777777778,0.780487804878049,0.807692307692308,0.795031055900621,0.792452830188679
1,0.75,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.8,0.715789473684211,0.658227848101266,0.839506172839506,0.722222222222222,0.772727272727273
2,0.765,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.78494623655914,0.747663551401869,0.73,0.8,0.756476683937824,0.772946859903382
3,0.7875,0.575,0.666666666666667,0.548387096774194,0.3,0.85,0.413793103448276,0.666666666666667,0.802631578947368,0.773809523809524,0.7625,0.8125,0.782051282051282,0.792682926829268
4,0.75,0.525,0.538461538461538,0.518518518518518,0.35,0.7,0.424242424242424,0.595744680851064,0.776119402985075,0.731182795698925,0.675324675324675,0.819277108433735,0.722222222222222,0.772727272727273
5,0.80625,0.425,0.384615384615385,0.444444444444444,0.25,0.6,0.303030303030303,0.51063829787234,0.805555555555556,0.806818181818182,0.773333333333333,0.835294117647059,0.789115646258503,0.820809248554913
6,0.7875,0.525,0.555555555555556,0.516129032258065,0.25,0.8,0.344827586206897,0.627450980392157,0.813333333333333,0.764705882352941,0.753086419753086,0.822784810126582,0.782051282051282,0.792682926829268
7,0.76875,0.525,0.571428571428571,0.515151515151515,0.2,0.85,0.296296296296296,0.641509433962264,0.74390243902439,0.794871794871795,0.792207792207792,0.746987951807229,0.767295597484277,0.770186335403727
8,0.775,0.5,0.5,0.5,0.3,0.7,0.375,0.583333333333333,0.815789473684211,0.738095238095238,0.738095238095238,0.815789473684211,0.775,0.775
9,0.7625,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.830769230769231,0.715789473684211,0.666666666666667,0.860759493670886,0.73972602739726,0.781609195402299
mean,0.774625,0.5125,0.5300643800643801,0.5078390504975598,0.29,0.7349999999999999,0.3718528911660168,0.599999963855474,0.7983173833136785,0.7566503693194673,0.7329929778360106,0.8160591435901516,0.7631192019525492,0.7843824868566082
std,0.018810550378858013,0.0377307714089059,0.07091926075335989,0.02642825522895611,0.04594682917363406,0.07835106182362107,0.04556571735678211,0.04206613051087931,0.024562145578706913,0.031965712055175476,0.04945653102782226,0.02997207661229829,0.02688682878297023,0.015739365138244275
min,0.75,0.425,0.384615384615385,0.444444444444444,0.2,0.6,0.296296296296296,0.51063829787234,0.74390243902439,0.715789473684211,0.658227848101266,0.746987951807229,0.722222222222222,0.770186335403727
25%,0.7631249999999999,0.5,0.5,0.5,0.2625,0.7,0.35237068965517276,0.583333333333333,0.7887096774193549,0.7329109062980033,0.6889935064935062,0.8088942307692311,0.743913691532401,0.7727821695213003
50%,0.7718750000000001,0.525,0.538461538461538,0.51564027370479,0.3,0.7,0.375,0.595744680851064,0.804093567251462,0.756184716877405,0.745590828924162,0.817533291058973,0.7711477987421385,0.7783045977011496
75%,0.7875,0.525,0.5530303030303032,0.5181992337164748,0.3,0.7875000000000001,0.40711902113459403,0.6236494597839137,0.81253164556962,0.7767857142857145,0.7706249999999997,0.8321667907669397,0.782051282051282,0.7926254026691207
max,0.80625,0.575,0.666666666666667,0.548387096774194,0.35,0.85,0.424242424242424,0.666666666666667,0.830769230769231,0.806818181818182,0.792207792207792,0.860759493670886,0.795031055900621,0.820809248554913
