,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.75,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,0.732558139534884,0.77027027027027,0.7875,0.7125,0.759036144578313,0.74025974025974
1,0.80625,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.769230769230769,0.855072463768116,0.875,0.7375,0.818713450292398,0.791946308724832
2,0.765,0.425,0.4,0.44,0.3,0.55,0.342857142857143,0.488888888888889,0.738738738738739,0.797752808988764,0.82,0.71,0.777251184834123,0.751322751322751
3,0.7625,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.739583333333333,0.796875,0.845238095238095,0.671052631578947,0.788888888888889,0.728571428571429
4,0.74375,0.5,0.5,0.5,0.35,0.65,0.411764705882353,0.565217391304348,0.7125,0.775,0.76,0.729411764705882,0.735483870967742,0.751515151515152
5,0.74375,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.75,0.736111111111111,0.776470588235294,0.706666666666667,0.763005780346821,0.72108843537415
6,0.74375,0.55,0.6,0.533333333333333,0.3,0.8,0.4,0.64,0.753846153846154,0.736842105263158,0.662162162162162,0.813953488372093,0.705035971223022,0.773480662983425
7,0.73125,0.625,0.631578947368421,0.619047619047619,0.6,0.65,0.615384615384615,0.634146341463415,0.719101123595506,0.746478873239437,0.780487804878049,0.67948717948718,0.748538011695907,0.711409395973154
8,0.73125,0.475,0.454545454545455,0.482758620689655,0.25,0.7,0.32258064516129,0.571428571428571,0.702380952380952,0.763157894736842,0.766233766233766,0.698795180722892,0.732919254658385,0.729559748427673
9,0.74375,0.65,0.636363636363636,0.666666666666667,0.7,0.6,0.666666666666667,0.631578947368421,0.723404255319149,0.772727272727273,0.819277108433735,0.662337662337662,0.768361581920904,0.713286713286713
0,0.88125,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.853658536585366,0.91025641025641,0.909090909090909,0.855421686746988,0.880503144654088,0.881987577639752
1,0.90625,0.625,0.580645161290323,0.777777777777778,0.9,0.35,0.705882352941176,0.482758620689655,0.914634146341463,0.897435897435897,0.903614457831325,0.909090909090909,0.909090909090909,0.903225806451613
2,0.87,0.475,0.483870967741935,0.444444444444444,0.75,0.2,0.588235294117647,0.275862068965517,0.87,0.87,0.87,0.87,0.87,0.87
3,0.85,0.7,0.633333333333333,0.9,0.95,0.45,0.76,0.6,0.839506172839506,0.860759493670886,0.860759493670886,0.839506172839506,0.85,0.85
4,0.8875,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.904109589041096,0.873563218390805,0.857142857142857,0.91566265060241,0.88,0.894117647058823
5,0.9125,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.877777777777778,0.957142857142857,0.963414634146341,0.858974358974359,0.918604651162791,0.905405405405405
6,0.8875,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385,0.890243902439024,0.884615384615385
7,0.89375,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.86046511627907,0.932432432432432,0.936708860759494,0.851851851851852,0.896969696969697,0.890322580645161
8,0.88125,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.871794871794872,0.890243902439024,0.883116883116883,0.879518072289157,0.87741935483871,0.884848484848485
9,0.875,0.5,0.5,0.5,0.7,0.3,0.583333333333333,0.375,0.891891891891892,0.86046511627907,0.846153846153846,0.902439024390244,0.868421052631579,0.880952380952381
0,0.96875,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.943820224719101,1.0,1.0,0.934210526315789,0.971098265895954,0.965986394557823
1,0.98125,0.625,0.666666666666667,0.6,0.5,0.75,0.571428571428572,0.666666666666667,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
2,0.965,0.425,0.363636363636364,0.448275862068966,0.2,0.65,0.258064516129032,0.530612244897959,0.96969696969697,0.96039603960396,0.96,0.97,0.964824120603015,0.965174129353234
3,0.98125,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,0.987012987012987,0.975903614457831,0.974358974358974,0.98780487804878,0.980645161290323,0.981818181818182
4,0.975,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,1.0,0.949367088607595,0.952941176470588,1.0,0.975903614457831,0.974025974025974
5,0.95625,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.961538461538462,0.951219512195122,0.949367088607595,0.962962962962963,0.955414012738854,0.957055214723926
6,0.96875,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.986842105263158,0.952380952380952,0.949367088607595,0.987654320987654,0.967741935483871,0.96969696969697
7,0.99375,0.45,0.454545454545455,0.444444444444444,0.5,0.4,0.476190476190476,0.421052631578947,0.988095238095238,1.0,1.0,0.987012987012987,0.994011976047904,0.993464052287582
