,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8125,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.795180722891566,0.831168831168831,0.835443037974684,0.790123456790123,0.814814814814815,0.810126582278481
1,0.7625,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.77027027027027,0.755813953488372,0.730769230769231,0.792682926829268,0.75,0.773809523809524
2,0.755,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.747572815533981,0.762886597938144,0.77,0.74,0.758620689655172,0.751269035532995
3,0.775,0.45,0.464285714285714,0.416666666666667,0.65,0.25,0.541666666666667,0.3125,0.727272727272727,0.852459016393443,0.888888888888889,0.658227848101266,0.8,0.742857142857143
4,0.7875,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.771084337349398,0.805194805194805,0.810126582278481,0.765432098765432,0.790123456790123,0.784810126582279
5,0.81875,0.45,0.416666666666667,0.464285714285714,0.25,0.65,0.3125,0.541666666666667,0.804597701149425,0.835616438356164,0.853658536585366,0.782051282051282,0.828402366863905,0.80794701986755
6,0.825,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.786516853932584,0.873239436619718,0.886075949367089,0.765432098765432,0.833333333333333,0.81578947368421
7,0.79375,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.783132530120482,0.805194805194805,0.8125,0.775,0.797546012269939,0.789808917197452
8,0.79375,0.425,0.434782608695652,0.411764705882353,0.5,0.35,0.465116279069767,0.378378378378378,0.747126436781609,0.849315068493151,0.855263157894737,0.738095238095238,0.797546012269939,0.789808917197452
9,0.8,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.795180722891566,0.805194805194805,0.814814814814815,0.784810126582278,0.804878048780488,0.794871794871795
mean,0.792375,0.545,0.5617337033974534,0.531580327600788,0.495,0.595,0.5191065618757497,0.555757527498045,0.7727935118193608,0.8176083758042239,0.8257540198573292,0.7591855075980319,0.7975264734777714,0.7861098533878881
std,0.023194901858430487,0.08644201653259959,0.10904798283085027,0.08120217167336244,0.10658851303546321,0.18020050561034015,0.0879325222779101,0.12796088882611595,0.025133904567891364,0.03814910296422566,0.049484282761757946,0.04026601639612493,0.026711907165723497,0.02421282875451744
min,0.755,0.425,0.416666666666667,0.411764705882353,0.25,0.25,0.3125,0.3125,0.727272727272727,0.755813953488372,0.730769230769231,0.658227848101266,0.75,0.742857142857143
25%,0.778125,0.45625,0.4666353383458645,0.46726190476190455,0.4625,0.525,0.47740863787375376,0.5012703252032518,0.7532471792180533,0.805194805194805,0.8107199367088608,0.7463580246913579,0.791979095660077,0.7765596745027127
50%,0.79375,0.575,0.5941176470588234,0.5626086956521741,0.5,0.65,0.5411036036036034,0.602325581395349,0.77710843373494,0.818181818181818,0.8251289263947494,0.7702160493827159,0.7987730061349696,0.789808917197452
75%,0.809375,0.6,0.6083333333333333,0.5977272727272728,0.5375000000000001,0.6875,0.5859133126934984,0.6214285714285712,0.7930147556518206,0.8458904109589043,0.8548620025673942,0.784120415449529,0.8123306233062333,0.8046782136186112
max,0.825,0.65,0.714285714285714,0.615384615384615,0.65,0.8,0.6,0.695652173913043,0.804597701149425,0.873239436619718,0.888888888888889,0.792682926829268,0.833333333333333,0.81578947368421
