,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.76875,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.752941176470588,0.786666666666667,0.8,0.7375,0.775757575757576,0.761290322580645
1,0.775,0.65,0.714285714285714,0.615384615384615,0.5,0.8,0.588235294117647,0.695652173913043,0.761904761904762,0.789473684210526,0.8,0.75,0.780487804878049,0.769230769230769
2,0.765,0.35,0.285714285714286,0.384615384615385,0.2,0.5,0.235294117647059,0.434782608695652,0.767676767676768,0.762376237623762,0.76,0.77,0.763819095477387,0.766169154228856
3,0.7625,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.73,0.816666666666667,0.869047619047619,0.644736842105263,0.793478260869565,0.720588235294118
4,0.79375,0.475,0.461538461538462,0.481481481481481,0.3,0.65,0.363636363636364,0.553191489361702,0.783783783783784,0.802325581395349,0.773333333333333,0.811764705882353,0.778523489932886,0.807017543859649
5,0.74375,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.724489795918367,0.774193548387097,0.835294117647059,0.64,0.775956284153005,0.700729927007299
6,0.75,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.717948717948718,0.780487804878049,0.756756756756757,0.744186046511628,0.736842105263158,0.761904761904762
7,0.7375,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.727272727272727,0.75,0.780487804878049,0.692307692307692,0.752941176470588,0.72
8,0.775,0.525,0.545454545454545,0.517241379310345,0.3,0.75,0.387096774193548,0.612244897959184,0.741176470588235,0.813333333333333,0.818181818181818,0.734939759036145,0.777777777777778,0.772151898734177
9,0.7125,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.694736842105263,0.738461538461539,0.795180722891566,0.623376623376623,0.741573033707865,0.676056338028169
0,0.89375,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.894736842105263,0.892857142857143,0.883116883116883,0.903614457831325,0.888888888888889,0.898203592814371
1,0.90625,0.575,0.56,0.6,0.7,0.45,0.622222222222222,0.514285714285714,0.935897435897436,0.878048780487805,0.879518072289157,0.935064935064935,0.906832298136646,0.905660377358491
2,0.88,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.858490566037736,0.904255319148936,0.91,0.85,0.883495145631068,0.876288659793814
3,0.8875,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.876543209876543,0.89873417721519,0.89873417721519,0.876543209876543,0.8875,0.8875
4,0.89375,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.894736842105263,0.892857142857143,0.883116883116883,0.903614457831325,0.888888888888889,0.898203592814371
5,0.89375,0.625,0.586206896551724,0.727272727272727,0.85,0.4,0.693877551020408,0.516129032258065,0.865168539325843,0.929577464788732,0.939024390243902,0.846153846153846,0.900584795321637,0.885906040268456
6,0.90625,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.946666666666667,0.870588235294118,0.865853658536585,0.948717948717949,0.904458598726115,0.907975460122699
7,0.9,0.5,0.5,0.5,0.85,0.15,0.62962962962963,0.230769230769231,0.870588235294118,0.933333333333333,0.936708860759494,0.864197530864197,0.902439024390244,0.897435897435897
8,0.86875,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,0.858974358974359,0.878048780487805,0.87012987012987,0.867469879518072,0.864516129032258,0.872727272727273
9,0.89375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.906666666666667,0.882352941176471,0.871794871794872,0.914634146341463,0.888888888888889,0.898203592814371
0,1.0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.375,0.352941176470588,0.391304347826087,0.3,0.45,0.324324324324324,0.418604651162791,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.5,0.5,0.5,0.4,0.6,0.444444444444444,0.545454545454545,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.425,0.44,0.4,0.55,0.3,0.488888888888889,0.342857142857143,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,1.0,1.0,1.0,1.0,1.0,1.0
0,0.96875,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.943820224719101,1.0,1.0,0.934210526315789,0.971098265895954,0.965986394557823
1,0.98125,0.6,0.625,0.583333333333333,0.5,0.7,0.555555555555556,0.636363636363636,0.9875,0.975,0.975308641975309,0.987341772151899,0.981366459627329,0.981132075471698
2,0.98,0.625,0.692307692307692,0.592592592592593,0.45,0.8,0.545454545454546,0.680851063829787,0.98,0.98,0.98,0.98,0.98,0.98
3,0.9875,0.525,0.533333333333333,0.52,0.4,0.65,0.457142857142857,0.577777777777778,1.0,0.976190476190476,0.974358974358974,1.0,0.987012987012987,0.987951807228916
4,0.9875,0.675,0.684210526315789,0.666666666666667,0.65,0.7,0.666666666666667,0.682926829268293,1.0,0.974025974025974,0.976470588235294,1.0,0.988095238095238,0.986842105263158
5,0.9875,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,1.0,0.975903614457831,0.974683544303797,1.0,0.987179487179487,0.98780487804878
6,0.9875,0.525,0.526315789473684,0.523809523809524,0.5,0.55,0.512820512820513,0.536585365853658,1.0,0.975903614457831,0.974683544303797,1.0,0.987179487179487,0.98780487804878
7,0.96875,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.964285714285714,0.973684210526316,0.975903614457831,0.961038961038961,0.970059880239521,0.967320261437909
8,0.99375,0.7,0.75,0.666666666666667,0.6,0.8,0.666666666666667,0.727272727272727,1.0,0.9875,0.987654320987654,1.0,0.993788819875776,0.993710691823899
9,0.9875,0.675,0.733333333333333,0.64,0.55,0.8,0.628571428571429,0.711111111111111,0.988372093023256,0.986486486486487,0.988372093023256,0.986486486486487,0.988372093023256,0.986486486486487
0,0.817708333333333,0.475,0.481481481481481,0.461538461538462,0.65,0.3,0.553191489361702,0.363636363636364,0.805825242718447,0.831460674157303,0.846938775510204,0.787234042553192,0.825870646766169,0.808743169398907
1,0.765625,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.727272727272727,0.817073170731707,0.842105263157895,0.690721649484536,0.780487804878049,0.748603351955307
2,0.729166666666667,0.55,0.53125,0.625,0.85,0.25,0.653846153846154,0.357142857142857,0.713178294573643,0.747747747747748,0.766666666666667,0.691666666666667,0.738955823293173,0.718614718614718
3,0.796875,0.525,0.514285714285714,0.6,0.9,0.15,0.654545454545455,0.24,0.787037037037037,0.80952380952381,0.841584158415842,0.747252747252747,0.813397129186603,0.777142857142857
4,0.765625,0.5,0.5,0.5,0.8,0.2,0.615384615384615,0.285714285714286,0.755102040816326,0.776595744680851,0.778947368421053,0.752577319587629,0.766839378238342,0.764397905759162
