,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.8375,0.575,0.578947368421053,0.571428571428571,0.55,0.6,0.564102564102564,0.585365853658537,0.869565217391304,0.813186813186813,0.779220779220779,0.891566265060241,0.821917808219178,0.850574712643678
1,0.85,0.6,0.576923076923077,0.642857142857143,0.75,0.45,0.652173913043478,0.529411764705882,0.852272727272727,0.847222222222222,0.872093023255814,0.824324324324324,0.862068965517241,0.835616438356165
2,0.875,0.475,0.470588235294118,0.478260869565217,0.4,0.55,0.432432432432432,0.511627906976744,0.88659793814433,0.864077669902913,0.86,0.89,0.873096446700508,0.876847290640394
3,0.85,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.85,0.85,0.85,0.85,0.85,0.85
4,0.84375,0.5,0.5,0.5,0.45,0.55,0.473684210526316,0.523809523809524,0.855263157894737,0.833333333333333,0.822784810126582,0.864197530864197,0.838709677419355,0.848484848484848
5,0.9,0.475,0.476190476190476,0.473684210526316,0.5,0.45,0.48780487804878,0.461538461538462,0.918918918918919,0.883720930232558,0.871794871794872,0.926829268292683,0.894736842105263,0.904761904761905
6,0.875,0.425,0.411764705882353,0.434782608695652,0.35,0.5,0.378378378378378,0.465116279069767,0.863636363636364,0.888888888888889,0.904761904761905,0.842105263157895,0.883720930232558,0.864864864864865
7,0.9,0.4,0.375,0.416666666666667,0.3,0.5,0.333333333333333,0.454545454545455,0.915492957746479,0.887640449438202,0.866666666666667,0.929411764705882,0.890410958904109,0.908045977011494
8,0.85,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.823529411764706,0.88,0.886075949367089,0.814814814814815,0.853658536585366,0.846153846153846
9,0.8875,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.873563218390805,0.904109589041096,0.91566265060241,0.857142857142857,0.894117647058823,0.88
mean,0.866875,0.5025,0.49641081742474935,0.5094880646940143,0.485,0.52,0.4881192532305998,0.5116964483255406,0.8708839911160371,0.8652179896246025,0.8629060655796119,0.8690392088362893,0.8662437812742401,0.8665349882917196
std,0.02357943136153486,0.06503204338375557,0.0688867775691109,0.06887368662633976,0.1292069829554287,0.05374838498865699,0.09492955470941856,0.04495921077913166,0.029579787945172176,0.028707550561405545,0.039493345821297016,0.039614754881032624,0.025139313625354303,0.025166534719709917
min,0.8375,0.4,0.375,0.416666666666667,0.3,0.45,0.333333333333333,0.454545454545455,0.823529411764706,0.813186813186813,0.779220779220779,0.814814814814815,0.821917808219178,0.835616438356165
25%,0.85,0.475,0.47136222910216746,0.474310776942356,0.41250000000000003,0.5,0.43970893970893954,0.4707884288145202,0.8530203349282295,0.8479166666666664,0.8525,0.8440789473684213,0.8509146341463415,0.8488636363636359
50%,0.8625,0.4875,0.488095238095238,0.48913043478260854,0.475,0.5,0.480744544287548,0.517718715393134,0.866600790513834,0.8720388349514565,0.8692307692307695,0.8606701940035271,0.8675827061088746,0.8577197887542716
75%,0.8843749999999999,0.55,0.5530303030303032,0.5530303030303032,0.5375000000000001,0.55,0.5546558704453439,0.5286377708978325,0.8833392582059487,0.886660569636791,0.8825802178392702,0.8911746987951807,0.8887384517362213,0.8792118226600985
max,0.9,0.6,0.578947368421053,0.642857142857143,0.75,0.6,0.652173913043478,0.585365853658537,0.918918918918919,0.904109589041096,0.91566265060241,0.929411764705882,0.894736842105263,0.908045977011494
