,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.7125,0.475,0.466666666666667,0.48,0.35,0.6,0.4,0.533333333333333,0.684782608695652,0.75,0.7875,0.6375,0.732558139534884,0.689189189189189
1,0.79375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.770114942528736,0.821917808219178,0.8375,0.75,0.802395209580838,0.784313725490196
2,0.74,0.475,0.473684210526316,0.476190476190476,0.45,0.5,0.461538461538462,0.48780487804878,0.726415094339623,0.75531914893617,0.77,0.71,0.747572815533981,0.731958762886598
3,0.75625,0.45,0.461538461538462,0.428571428571429,0.6,0.3,0.521739130434783,0.352941176470588,0.727272727272727,0.80327868852459,0.857142857142857,0.644736842105263,0.786885245901639,0.715328467153285
4,0.78125,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.763157894736842,0.797619047619048,0.773333333333333,0.788235294117647,0.768211920529801,0.792899408284024
5,0.73125,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.71875,0.75,0.811764705882353,0.64,0.762430939226519,0.690647482014388
6,0.7375,0.55,0.571428571428571,0.538461538461538,0.4,0.7,0.470588235294118,0.608695652173913,0.722222222222222,0.75,0.702702702702703,0.767441860465116,0.712328767123288,0.758620689655172
7,0.73125,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.724137931034483,0.73972602739726,0.768292682926829,0.692307692307692,0.745562130177515,0.71523178807947
8,0.71875,0.575,0.588235294117647,0.565217391304348,0.5,0.65,0.54054054054054,0.604651162790698,0.705128205128205,0.731707317073171,0.714285714285714,0.72289156626506,0.709677419354839,0.727272727272727
9,0.70625,0.575,0.565217391304348,0.588235294117647,0.65,0.5,0.604651162790698,0.54054054054054,0.676470588235294,0.758620689655172,0.831325301204819,0.571428571428571,0.745945945945946,0.651851851851852
0,0.9,0.475,0.478260869565217,0.470588235294118,0.55,0.4,0.511627906976744,0.432432432432432,0.906666666666667,0.894117647058824,0.883116883116883,0.91566265060241,0.894736842105263,0.904761904761905
1,0.90625,0.525,0.518518518518518,0.538461538461538,0.7,0.35,0.595744680851064,0.424242424242424,0.914634146341463,0.897435897435897,0.903614457831325,0.909090909090909,0.909090909090909,0.903225806451613
2,0.87,0.475,0.484848484848485,0.428571428571429,0.8,0.15,0.60377358490566,0.222222222222222,0.87,0.87,0.87,0.87,0.87,0.87
3,0.8375,0.5,0.5,0.5,0.75,0.25,0.6,0.333333333333333,0.853333333333333,0.823529411764706,0.810126582278481,0.864197530864197,0.831168831168831,0.843373493975903
4,0.85625,0.675,0.733333333333333,0.64,0.55,0.8,0.628571428571429,0.711111111111111,0.864864864864865,0.848837209302326,0.831168831168831,0.879518072289157,0.847682119205298,0.863905325443787
5,0.89375,0.475,0.482758620689655,0.454545454545455,0.7,0.25,0.571428571428571,0.32258064516129,0.901234567901235,0.886075949367089,0.890243902439024,0.897435897435897,0.895705521472393,0.89171974522293
