,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.7375,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.732558139534884,0.743243243243243,0.768292682926829,0.705128205128205,0.75,0.723684210526316
1,0.80625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.813333333333333,0.829268292682927,0.782051282051282,0.81437125748503,0.797385620915033
2,0.765,0.525,0.521739130434783,0.529411764705882,0.6,0.45,0.558139534883721,0.486486486486486,0.77319587628866,0.757281553398058,0.75,0.78,0.761421319796954,0.768472906403941
3,0.79375,0.425,0.428571428571429,0.421052631578947,0.45,0.4,0.439024390243902,0.41025641025641,0.802631578947368,0.785714285714286,0.772151898734177,0.814814814814815,0.787096774193548,0.8
4,0.8,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.824324324324324,0.779069767441861,0.7625,0.8375,0.792207792207792,0.807228915662651
5,0.75625,0.625,0.727272727272727,0.586206896551724,0.4,0.85,0.516129032258065,0.693877551020408,0.796875,0.729166666666667,0.662337662337662,0.843373493975904,0.723404255319149,0.782122905027933
6,0.8,0.65,0.666666666666667,0.636363636363636,0.6,0.7,0.631578947368421,0.666666666666667,0.777777777777778,0.828571428571429,0.853658536585366,0.743589743589744,0.813953488372093,0.783783783783784
7,0.73125,0.675,0.652173913043478,0.705882352941177,0.75,0.6,0.697674418604651,0.648648648648649,0.717647058823529,0.746666666666667,0.7625,0.7,0.739393939393939,0.72258064516129
8,0.8125,0.4,0.416666666666667,0.375,0.5,0.3,0.454545454545455,0.333333333333333,0.802469135802469,0.822784810126582,0.822784810126582,0.802469135802469,0.8125,0.8125
9,0.8,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.821917808219178,0.781609195402299,0.759493670886076,0.839506172839506,0.789473684210526,0.809523809523809
mean,0.7802499999999999,0.53,0.5414241427796417,0.5255068177282031,0.53,0.53,0.5291717799274422,0.523389511778216,0.784939669971819,0.7787440950564426,0.7742987554279619,0.7848432848201925,0.7783822510979032,0.7807282797004758
std,0.03001041485884527,0.09413347497628627,0.10634571027677711,0.09914558132177231,0.10593499054713801,0.1602081978759722,0.0839084025520799,0.11741149668749754,0.03554248600321037,0.034774664413629086,0.05305608349355841,0.053418155317543035,0.032914948508251385,0.033310697588899846
min,0.73125,0.4,0.416666666666667,0.375,0.4,0.3,0.439024390243902,0.333333333333333,0.717647058823529,0.729166666666667,0.662337662337662,0.7,0.723404255319149,0.72258064516129
25%,0.7584375,0.4625,0.4625,0.4625,0.45,0.45,0.46253071253071276,0.4591216216216215,0.7743413516609395,0.7493203883495148,0.7602452531645569,0.752692307692308,0.7528553299492385,0.7718854060599389
50%,0.796875,0.525,0.521739130434783,0.5255754475703325,0.5,0.475,0.5080645161290325,0.493243243243243,0.7984375,0.78033948142208,0.7653963414634144,0.7922602089268755,0.788285229202037,0.7905847023494085
75%,0.8,0.6,0.621483375959079,0.5720081135902635,0.6,0.6,0.558139534883721,0.626021370207417,0.8025909681611433,0.8064285714285713,0.8101265822784808,0.8318287037037038,0.807426948051948,0.8054216867469882
max,0.8125,0.675,0.727272727272727,0.705882352941177,0.75,0.85,0.697674418604651,0.693877551020408,0.824324324324324,0.828571428571429,0.853658536585366,0.843373493975904,0.81437125748503,0.8125
