,,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,train_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class1,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Precision_class2,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class1,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,Recall_class2,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class1,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,F1_class2,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class1_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Precision_class2_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class1_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,Recall_class2_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class1_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train,F1_class2_train
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
experiment,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,mi_cv,52.0,0.5578258547008548,0.04954664656244122,0.5211111111111111,0.5361111111111112,0.5425,0.5497222222222221,0.7538888888888888,52.0,0.513974358974359,0.06210005266483569,0.4549999999999999,0.4700000000000001,0.49749999999999994,0.53,0.76,52.0,0.4677064039098381,0.10448885434390501,0.2758116883116884,0.41597267316017317,0.4633693916162957,0.5294244970715558,0.77,52.0,0.4985756257577382,0.10885953781734457,0.1217948717948718,0.4478033753527174,0.4823206205559147,0.5433543866264454,0.805,52.0,0.5080448717948717,0.18179410926899417,0.18,0.38,0.475,0.63,0.92,52.0,0.5199038461538462,0.16334714276074092,0.0699999999999999,0.40499999999999997,0.5458333333333334,0.6325000000000001,0.8100000000000002,52.0,0.4467568294557783,0.12991835910533786,0.2079131652661064,0.367668117197382,0.42684653463507416,0.5296779221156493,0.7886084223579174,52.0,0.46181895451870925,0.11755694739427192,0.0755295429208472,0.39226252898701985,0.4807680336153968,0.5339536290538693,0.7040016305533547,52.0,0.6134056354379751,0.06874986593518112,0.5177859506154016,0.5659132459011125,0.594555452792136,0.6300284202648864,0.798983762731125,52.0,0.6053967684013566,0.08808955524204497,0.5106044694934155,0.5472558821864986,0.5733698395779849,0.6196225240798134,0.9250924154404516,52.0,0.5477742165242164,0.18397029410236998,0.2277777777777777,0.4172222222222223,0.5350000000000001,0.6722222222222222,0.9411111111111112,52.0,0.5678774928774929,0.16156978782777007,0.1166666666666667,0.45472222222222225,0.5933333333333334,0.6958333333333332,0.8444444444444444,52.0,0.49426441500200446,0.12204554351145834,0.2637705221163004,0.4209572173260254,0.4783228025212555,0.5805225483032359,0.7613863591719189,52.0,0.5134183077966001,0.10450539927648486,0.1518077643073537,0.438660148926512,0.5364514635383196,0.5863678586645834,0.7353057005159388
all,mi_real,52.0,0.5743108974358976,0.09831266000058254,0.475,0.52,0.545,0.5812499999999999,1.0,52.0,0.5004807692307692,0.048378203804174576,0.375,0.475,0.5,0.525,0.6,52.0,0.45750061889141713,0.20754090762562558,0.0,0.463598901098901,0.5,0.545454545454545,1.0,52.0,0.48214063034647114,0.19547077695701123,0.0,0.444444444444444,0.5,0.5381493506493508,1.0,52.0,0.4894230769230769,0.3551217049679821,0.0,0.15,0.525,0.8125,1.0,52.0,0.5115384615384616,0.35584963014736726,0.0,0.1875,0.55,0.85,1.0,52.0,0.41811809141088,0.23504984503017515,0.0,0.23769230769230776,0.5245499181669391,0.6167108753315648,0.690909090909091,52.0,0.4335697920273338,0.22606639639281031,0.0,0.2693965517241378,0.55,0.6261574074074074,0.678571428571428,52.0,0.6234559127308368,0.14183266150507265,0.472527472527473,0.526315789473684,0.579113503455609,0.6360548577287872,1.0,52.0,0.6376293864838366,0.1537364921781728,0.477064220183486,0.5150895582560615,0.582988298829883,0.6700000000000003,1.0,52.0,0.5824038461538462,0.3435354461676234,0.01,0.3125,0.625,0.8975,1.0,52.0,0.5662179487179487,0.31870023262807834,0.02,0.3275,0.565,0.9025000000000001,1.0,52.0,0.5149612650484645,0.24063369685356278,0.0198019801980198,0.41130692974474375,0.5865392536452756,0.6672727272727275,1.0,52.0,0.5213163113632988,0.21113511170490595,0.0392156862745098,0.4132258064516128,0.58855149539658,0.660128882394815,1.0
all_channels_alphamu,mi_cv,52.0,0.5453329772079771,0.03237215771294196,0.5077777777777779,0.5260648148148147,0.5372222222222223,0.5516666666666665,0.6655555555555555,52.0,0.5050961538461537,0.048149485211095626,0.3949999999999999,0.4750000000000001,0.4999999999999999,0.525,0.65,52.0,0.4808954960637652,0.06995417228103447,0.3119017094017093,0.4324357933732934,0.48816424073003006,0.5148723845598846,0.6672582074787956,52.0,0.4939755159814477,0.0723446590579984,0.3445619658119659,0.44250935596910823,0.47938214563214554,0.5301051726051726,0.6867173023055375,52.0,0.5103205128205127,0.14094840542359105,0.27,0.4075,0.485,0.6300000000000001,0.77,52.0,0.4998717948717949,0.12607915267826952,0.22,0.4075,0.51,0.5925,0.76,52.0,0.4688006553620434,0.09400283009785523,0.2757233663869819,0.4082998603326615,0.4572585120417937,0.5472226392784469,0.6337730915480275,52.0,0.4667252684717401,0.08770464148232927,0.2610440539852305,0.41483233191928826,0.4733730028668607,0.5187541847837479,0.6457425578821969,52.0,0.5630690641833639,0.040989541440823174,0.5049635982797521,0.5363635297366764,0.5529463620633408,0.576509656112822,0.6744067855404379,52.0,0.5735619265785726,0.05813076382990388,0.50824094207397,0.5315916963174879,0.550450568875903,0.6007770363423803,0.7162113698736348,52.0,0.5560861823361823,0.12841823761305193,0.2666666666666665,0.47833333333333344,0.5477777777777778,0.6538888888888889,0.7911111111111111,52.0,0.5345797720797721,0.11961642612577286,0.2555555555555557,0.46666666666666656,0.5333333333333334,0.6197222222222224,0.7566666666666667,52.0,0.5214514625269856,0.0779207603549878,0.3114767370036396,0.4835551431086804,0.5184049562914146,0.5803542860126025,0.677464134747652,52.0,0.5116813109313572,0.07584164402782285,0.2987324823182506,0.47502822258735466,0.5157085406846971,0.5587540524107952,0.6439459922892636
all_channels_alphamu,mi_real,52.0,0.5461378205128204,0.04928133544297887,0.46,0.515,0.53625,0.56,0.735,52.0,0.4913461538461539,0.04771355897863038,0.35,0.45,0.5,0.525,0.6,52.0,0.47769541653572606,0.22273750425588076,0.0,0.43526785714285726,0.5,0.5175315568022445,1.0,52.0,0.47585613654955333,0.18305158138267005,0.0,0.442708333333333,0.5,0.5244360902255639,1.0,52.0,0.4644230769230771,0.34247320468556625,0.0,0.15,0.45,0.8,1.0,52.0,0.5182692307692307,0.34214273568747655,0.0,0.2,0.525,0.85,1.0,52.0,0.40397676474046634,0.2265859697915266,0.0,0.230769230769231,0.439613526570048,0.6160839160839158,0.679245283018868,52.0,0.4386804696403236,0.21582378887812043,0.0,0.2936507936507935,0.5,0.62962962962963,0.703703703703704,52.0,0.5838687706412597,0.11500094744224938,0.453488372093023,0.5136242800177223,0.5449166218396985,0.5981198589894244,1.0,52.0,0.5783793301215014,0.096051640137416,0.464912280701754,0.5138654716478838,0.5447052947052945,0.6138693820224721,1.0,52.0,0.5373076923076924,0.28195013269244806,0.01,0.31,0.525,0.81,1.0,52.0,0.5549679487179487,0.27830749956127593,0.0333333333333333,0.385,0.595,0.7725,1.0,52.0,0.5011071599911521,0.1685057959824894,0.0198019801980198,0.4079000566022475,0.5353880605810595,0.6453598078737455,0.766519823788546,52.0,0.5092105222275959,0.1704485897000941,0.0634920634920635,0.45690875232774675,0.5662047086324931,0.6327831531018785,0.742081447963801
bio_channelsConly_alphamu,mi_cv,52.0,0.597900641025641,0.11341664216027482,0.5155555555555555,0.5401388888888888,0.5505555555555555,0.5856944444444445,0.9227777777777778,52.0,0.5529807692307694,0.1326366958536678,0.4149999999999999,0.48,0.51,0.5437500000000001,0.93,52.0,0.5243344221022685,0.1831699065371195,0.0428571428571429,0.4411337375859434,0.4876986249045073,0.5637690975819845,0.956388888888889,52.0,0.5189635036594876,0.17488950801255565,0.0933333333333333,0.44136537256603053,0.5050426192744304,0.5423259379509379,0.95979797979798,52.0,0.5599358974358973,0.25206834186254196,0.05,0.345,0.5650000000000001,0.7550000000000001,0.96,52.0,0.546025641025641,0.2637363825943215,0.04,0.315,0.54,0.7500000000000001,0.99,52.0,0.5044106480640085,0.20419802074766802,0.05,0.3825095514332962,0.5158130690972755,0.6063775299281076,0.9293688767372976,52.0,0.4947334472910905,0.20980425461933688,0.0553846153846154,0.3661431038002246,0.5097813394895436,0.5943731748883477,0.9293688767372978,52.0,0.6452524615502659,0.13096400684389284,0.5118603685356632,0.5513506757741362,0.6033764892921021,0.6616542389165854,0.9713778308831268,52.0,0.6333371789747388,0.11348008804458916,0.5093140410030327,0.5480208341714256,0.5860006868489915,0.6783753193448328,0.9396168905846584,52.0,0.602389601139601,0.23696238174966452,0.1022222222222222,0.4113888888888888,0.643888888888889,0.7925000000000001,0.9433333333333332,52.0,0.5934116809116807,0.24418538446270377,0.101111111111111,0.40055555555555544,0.5805555555555555,0.7772222222222223,0.9766666666666668,52.0,0.555871360512956,0.1805789246950552,0.1284679499988313,0.4412551641210416,0.577875359009573,0.6549386177840477,0.920553279204962,52.0,0.5498967927693402,0.18329041114257058,0.1625315643507155,0.45278170897510467,0.5570292317441436,0.6297200016416586,0.9248496378743828
bio_channelsConly_alphamu,mi_real,52.0,0.5904967948717947,0.11345980779627836,0.5,0.52,0.5525,0.59,0.925,52.0,0.5134615384615384,0.05929767430497493,0.35,0.475,0.5,0.55,0.7,52.0,0.4572332469518102,0.225755455483235,0.0,0.4586538461538465,0.5,0.5461876832844572,1.0,52.0,0.5072410339141888,0.22523838947590466,0.0,0.46960784313725523,0.5,0.5501792114695345,1.0,52.0,0.5144230769230769,0.373160394792008,0.0,0.1875,0.525,0.8625,1.0,52.0,0.5125,0.36257183196345155,0.0,0.2375,0.45,0.9,1.0,52.0,0.43170347834468115,0.2504309958583077,0.0,0.26000000000000023,0.5166835187057635,0.655172413793103,0.72,52.0,0.4373084524237178,0.23238510554587807,0.0,0.30827067669172975,0.4924242424242425,0.654702194357367,0.739130434782609,52.0,0.6345435764450653,0.15295248161930416,0.5,0.5221848821352032,0.566352201257862,0.6822319837025718,1.0,52.0,0.6319697308817935,0.12936778234713023,0.5,0.5373768472906408,0.5800911854103346,0.6783841158841157,1.0,52.0,0.6008974358974359,0.31101868285140216,0.01,0.3525,0.6799999999999999,0.89,1.0,52.0,0.5800961538461538,0.32377108253316755,0.03,0.3412500000000003,0.59,0.88,1.0,52.0,0.5486238542544488,0.2230871396227029,0.0198019801980198,0.44395161290322577,0.6186856434309125,0.6694974083672715,0.923857868020305,52.0,0.5336868511701053,0.23166477854019796,0.0576923076923077,0.4369269949066215,0.5910722197607445,0.6694574757020042,0.926108374384236
bio_channelsOConly_alphamu,mi_cv,52.0,0.5781908831908831,0.09030033601099507,0.5150000000000002,0.5333333333333333,0.5436111111111112,0.5662499999999999,0.9061111111111112,52.0,0.5314423076923075,0.10731612883577019,0.4,0.475,0.5,0.5393749999999999,0.8949999999999999,52.0,0.500445323230905,0.14647167813396725,0.2166666666666667,0.4358019240391531,0.4865297640955534,0.5369020811032269,0.917020202020202,52.0,0.512020046657386,0.1448198953916749,0.2956633665611994,0.4177126236336761,0.4751191399759511,0.5407401906444089,0.8854545454545455,52.0,0.5332371794871794,0.21842384828872724,0.05,0.38,0.5449999999999999,0.7049999999999998,0.8699999999999999,52.0,0.5296474358974359,0.2075020897966691,0.18,0.3849999999999999,0.505,0.6775,0.98,52.0,0.4796257159430498,0.17574414562405108,0.082051282051282,0.3819435114355191,0.46883450947655414,0.5724270221818777,0.8895974785448469,52.0,0.48067645004318194,0.1620069324801044,0.2072919237625121,0.3765942450118947,0.45399604626539614,0.5690635631760859,0.8991668565352775,52.0,0.6221011346875,0.11267796465362953,0.5149162391109618,0.547738419581003,0.5756722833145352,0.6392996268635263,0.980952380952381,52.0,0.613978193346422,0.09821501460345917,0.508303209119013,0.547039051496665,0.5780827184385153,0.6620437801793946,0.8931958636179921,52.0,0.5815811965811966,0.21015631997666961,0.0355555555555555,0.4669444444444444,0.5922222222222222,0.7577777777777779,0.888888888888889,52.0,0.5748005698005697,0.20686209257007435,0.2022222222222223,0.43972222222222224,0.57,0.7366666666666666,0.9955555555555556,52.0,0.5349925798324653,0.16254397548498806,0.0632185196000062,0.45952853626419465,0.5361303169202877,0.6218516628576345,0.9045839816569448,52.0,0.5334458791309418,0.1470788012683104,0.2630118601711041,0.4351561794225972,0.5306321406579697,0.6211302828284165,0.9074602543199788
bio_channelsOConly_alphamu,mi_real,52.0,0.5769711538461539,0.108483810630955,0.46,0.515,0.5454166666666664,0.58,0.96,52.0,0.5120192307692308,0.06252262034095055,0.325,0.475,0.5125,0.55,0.675,52.0,0.45113402187482526,0.2021641912117964,0.0,0.4701286764705885,0.5064102564102565,0.5647321428571428,0.75,52.0,0.49623129298723817,0.22480415533910264,0.0,0.46538461538461573,0.5075757575757576,0.5426136363636365,1.0,52.0,0.5096153846153846,0.33592693847616145,0.0,0.275,0.525,0.8,1.0,52.0,0.5144230769230769,0.3293392878413341,0.0,0.25,0.55,0.8125,1.0,52.0,0.44549791348527024,0.2293019493498606,0.0,0.3559928443649375,0.511133102424542,0.6170784103114932,0.711111111111111,52.0,0.44836336872009847,0.22603475973547363,0.0,0.2948402948402947,0.5199692780337944,0.6293233082706771,0.68,52.0,0.6218209319747887,0.146133522441011,0.431034482758621,0.5226761619190402,0.5627812391831085,0.6588541666666667,1.0,52.0,0.6194751274987116,0.14925932960049468,0.375,0.5157493876301288,0.5647360703812315,0.6478365384615383,1.0,52.0,0.5741025641025642,0.33308674891485046,0.01,0.27999999999999997,0.635,0.8825000000000001,1.0,52.0,0.5798397435897438,0.32006777938488074,0.03,0.2475,0.665,0.88,1.0,52.0,0.5185028380434964,0.23738955972962134,0.0198019801980198,0.3638591800356502,0.5927344714109415,0.662544477525234,0.961165048543689,52.0,0.5287548095823124,0.21789105098206954,0.058252427184466,0.3468828320802002,0.588491908754143,0.6649717514124295,0.958762886597938
