,,test_accuracy,test_accuracy,Precision_class1,Precision_class1,Recall_class1,Recall_class1,F1_class1,F1_class1
,,mean,std,mean,std,mean,std,mean,std
experiment,data,,,,,,,,
all_channels_alphamu,mi_real,0.495673076923077,0.085994920313695,0.49316925450946,0.082554411367368,0.533653846153846,0.16824385716903,0.504851549958187,0.110788407447354
bio_channelsOConly_alphamu,mi_real,0.499519230769231,0.08765607713228,0.502022879367123,0.092727325835089,0.499038461538462,0.166712851821006,0.489751814022219,0.10945044923418
all,mi_real,0.505769230769231,0.089060370664657,0.506293626620671,0.083065448264771,0.533653846153846,0.169405290170816,0.509643793238476,0.109705774664481
bio_channelsOonly_alphamu,mi_real,0.510096153846154,0.091456034570863,0.521859328165132,0.132010484352395,0.488461538461538,0.235691594893558,0.474243826938588,0.152979508099959
bio_channelsPT,mi_real,0.510576923076923,0.110074189981807,0.504079677517183,0.118235429206022,0.532692307692308,0.198248362598538,0.507824211498732,0.145450776977654
bio_channelsPT_alphamu_cv,mi_real,0.512980769230769,0.108181309390104,0.507257693874104,0.11543396177006,0.542307692307692,0.206127843298293,0.512530278677675,0.14409891699432
bio_channelsOPT_alphamu,mi_real,0.525,0.101701215601889,0.521131823346507,0.105194446649533,0.539423076923077,0.19736910243062,0.519097549966039,0.132454726400078
bio_channelsOPT,mi_real,0.525961538461538,0.092614732563361,0.526158620050534,0.097718469987918,0.531730769230769,0.182581930616455,0.517636528372877,0.120368277507004
bio_channelsConly_alphamu,mi_real,0.532211538461538,0.101379762945282,0.533752430217656,0.105568308421665,0.546153846153846,0.196749605437518,0.525317348297498,0.132877498795988
all_channels_alphamu,mi_cv,0.56724358974359,0.164248431784671,0.569422660829618,0.164939564434369,0.575157097176328,0.166377868170406,0.558767598275562,0.168534339979955
all,mi_cv,0.569358974358974,0.162509729504657,0.574123435168401,0.161606512562078,0.584284237004825,0.162432705643321,0.565336261600582,0.16557284409182
bio_channelsPT_alphamu_cv,mi_cv,0.575,0.164569898930476,0.577904801803275,0.163756338706215,0.580157058151819,0.164067413406833,0.565684917453192,0.167344245585359
bio_channelsPT,mi_cv,0.576586538461538,0.162937216380729,0.5789354561979,0.163687332576542,0.581154545398041,0.167160797016995,0.566428590171328,0.168816670123533
bio_channelsOConly_alphamu,mi_cv,0.581025641025641,0.166865944213794,0.587879273033402,0.165619203955128,0.589042305262611,0.16575288197497,0.574567592250314,0.16874095908789
bio_channelsOPT_alphamu,mi_cv,0.582355769230769,0.16499098156131,0.584894888269427,0.163998969276745,0.586150940405748,0.165570326603599,0.57148876314932,0.168085310279306
bio_channelsOPT,mi_cv,0.587467948717949,0.161464647170536,0.59230647908659,0.160416778074487,0.590864544109736,0.165951731969095,0.5772916744757,0.166819227537234
bio_channelsConly_alphamu,mi_cv,0.59011217948718,0.163083711884011,0.594421281176089,0.160746460019466,0.597201265614727,0.163039104269661,0.581767437163022,0.164958784692014
bio_channelsOonly_alphamu,mi_cv,0.599166666666666,0.166214910625254,0.605167503750649,0.161820519012549,0.605334231348089,0.175723455748822,0.587066603721703,0.174940219682745
,,,,,,,,,
,,,,,,,,,
,,20.7,79.3,0.793,,,,,
,,45.7,54.3,0.543,,,,,
,,8.6,91.4,0.914,,,,,
,,24.1,75.9,0.759,,,,,
,,0.9,99.1,0.991,,,,,
,,16.6,83.4,0.834,,,,,
,,47.75,52.25,0.5225,,,,,
,,43.8,56.2,0.562,,,,,
,,43.75,56.25,0.5625,,,,,
,,30.9,69.1,0.691,,,,,
,,49.3,50.7,0.507,,,,,
,,34.5,65.5,0.655,,,,,
,,14.6,85.4,0.854,,,,,
,,4.7,95.3,0.953,,,,,
,,43,57,0.57,,,,,
,,52.1,47.9,0.479,,,,,
,,50.2,49.8,0.498,,,,,
,,49.3,50.7,0.507,,,,,
,,42.9,57.1,0.571,,,,,
,,28.3,71.7,0.717,,,,,
,,40.2,59.8,0.598,,,,,
,,46.6,53.4,0.534,,,,,
,,19.8,80.2,0.802,,,,,
,,46.9,53.1,0.531,,,,,
,,49,51,0.51,,,,,
,,3.7,96.3,0.963,,,,,
,,57,43,0.43,,,,,
,,19.5,80.5,0.805,,,,,
,,56.3,43.7,0.437,,,,,
,,44.8,55.2,0.552,,,,,
,,38.6,61.4,0.614,,,,,
,,49.6,50.4,0.504,,,,,
,,47.2,52.8,0.528,,,,,
,,42.7,57.3,0.573,,,,,
,,48.4,51.6,0.516,,,,,
,,33.7,66.3,0.663,,,,,
,,23.8,76.2,0.762,,,,,
,,52.4,47.6,0.476,,,,,
,,28.2,71.8,0.718,,,,,
,,48.4,51.6,0.516,,,,,
,,15.9,84.1,0.841,,,,,
,,51.1,48.9,0.489,,,,,
,,4.9,95.1,0.951,,,,,
,,8.4,91.6,0.916,,,,,
,,45.7,54.3,0.543,,,,,
,,24.67,75.33,0.7533,,,,,
,,22,78,0.78,,,,,
,,35.3,64.7,0.647,,,,,
,,13.7,86.3,0.863,,,,,
,,0,100,1,,,,,
,,47.9,52.1,0.521,,,,,
,,40.1,59.9,0.599,,,,,
,,33.23,66.77,0.6677,,,,,
,,,,0.662,,,,,
