,,test_accuracy,test_accuracy,Precision_class1,Precision_class1,Recall_class1,Recall_class1,F1_class1,F1_class1
,,mean,std,mean,std,mean,std,mean,std
experiment,data,,,,,,,,
all,mi_real,0.5548148148148152,0.0837379684691985,0.551856187622454,0.08324582171698004,0.573703703703704,0.1604859754413736,0.5546931646169567,0.10734617132131086
bio_channelsOConly_alphamu,mi_real,0.5557758620689658,0.08581888128030081,0.5604629370125509,0.09424550922376083,0.5337931034482755,0.18418273221180784,0.532579605743404,0.12303124114163805
bio_channelsPT_alphamu,mi_real,0.5572321428571428,0.08711278707980286,0.555795414804658,0.08452630623230296,0.586607142857143,0.17420867462439435,0.5600975703856693,0.11068336257609682
bio_channelsOPT_alphamu,mi_real,0.5588709677419353,0.08687033894664191,0.5599157108555475,0.08868428721073887,0.5761290322580644,0.18046465412210216,0.5554264342173538,0.11397003606334889
all_channels_alphamu,mi_real,0.5600000000000003,0.08689795872243217,0.5567052869980742,0.0832612105937781,0.5875000000000007,0.1674632289620421,0.5631621296953848,0.1085328407901413
bio_channelsPT,mi_real,0.5639285714285716,0.09075901707680388,0.5618191303499788,0.08900081333117728,0.5958928571428567,0.1721441504987818,0.5683722595818327,0.1123224117941158
bio_channelsOonly_alphamu,mi_real,0.5671551724137937,0.07754400508110611,0.588048249683477,0.1251629907048536,0.5274137931034484,0.22728699557124865,0.5247167657322388,0.14815324156196646
bio_channelsOPT,mi_real,0.5694444444444446,0.08685257916754417,0.5718062918916381,0.08621887601892361,0.5846296296296297,0.16279063758053514,0.5681940886237824,0.10307430811805511
bio_channelsConly_alphamu,mi_real,0.5735483870967748,0.08598085837614601,0.5802772340318727,0.09477142153884668,0.5572580645161292,0.17999612864264294,0.5544893611193846,0.11976442540285992
bio_channelsOPT,mi_cv,0.6355047619047633,0.19449084235801345,0.6387090449478813,0.21816898408658167,0.6417882454171732,0.2207771804091197,0.6279346435226926,0.20704074773838707
bio_channelsConly_alphamu,mi_cv,0.6458912037037061,0.18742002639230443,0.64797067556388,0.21211731456542587,0.6559743022977709,0.21518192966757035,0.6394652522323037,0.1999644129698816
bio_channelsOPT_alphamu,mi_cv,0.6555598958333365,0.19485946490170755,0.658878157565744,0.2198861632548368,0.6594492179620159,0.22170924425028074,0.6470373548346275,0.2086883952138283
bio_channelsPT_alphamu,mi_cv,0.6559777777777802,0.19739316033822166,0.6584798901176248,0.22089013288106896,0.6613258493584764,0.22571046841288478,0.6474882816222396,0.21132170848236445
bio_channelsPT,mi_cv,0.6642351190476217,0.19969103322366993,0.6661922292809935,0.2240344643044979,0.6667371368097009,0.22817286282403831,0.6548432125281756,0.21476300763136819
bio_channelsOonly_alphamu,mi_cv,0.6661593137254919,0.18832319849438772,0.670094415220499,0.21235445236409203,0.6747744225462332,0.21645480704439768,0.6592428041656966,0.20058888362475702
bio_channelsOConly_alphamu,mi_cv,0.6664611111111135,0.19481678870891933,0.6701872901364803,0.21718975630789883,0.6712552786366289,0.2187506750053709,0.6589279589751755,0.206120547225523
all,mi_cv,0.6713461538461559,0.19882812551106527,0.6735568372364206,0.22180509501777382,0.67927062065637,0.22269391017159956,0.6649488751952553,0.21128670578624675
all_channels_alphamu,mi_cv,0.6725961538461548,0.19890037835177543,0.6745381093893563,0.22192545141328163,0.6788444860506541,0.2252597340932806,0.6651884991298878,0.21263370366543252
